% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.4,371
98,20,0.5,880
97,30,0.4,1157
96,40,0.4,1587
96,50,0.3,1837
95,60,0.3,2140
94,70,0.4,2688
93,80,0.4,3040
93,90,0.4,3403
92,100,0.4,3828
91,110,0.4,4056
91,120,0.3,4358
90,130,0.3,4676
89,140,0.3,5104
89,150,0.3,5425
88,160,0.4,6053
87,170,0.4,6496
86,180,0.4,6894
85,190,0.4,7347
84,200,0.4,7869
83,210,0.5,8349
82,220,0.5,8789
81,230,0.6,9164
80,240,0.6,9715
79,250,0.6,10190
79,260,0.6,10539
78,270,0.6,10965
77,280,0.6,11280
77,290,0.5,11508
76,300,0.4,11840
75,310,0.4,12355
74,320,0.4,12713
73,330,0.5,13326
72,340,0.4,13739
72,350,0.4,14116
71,360,0.5,14566
69,370,0.5,15359
68,380,0.6,15792
67,390,0.7,16477
66,400,0.8,17064
64,410,0.8,17923
63,420,0.8,18220
63,430,0.8,18671
61,440,0.9,19538
60,450,0.9,20058
58,460,1.1,21011
56,470,1.1,21722
55,480,1.2,22511
54,490,1.2,23117
52,500,1.2,23911
50,510,1.3,24877
49,520,1.3,25362
48,530,1.4,26102
46,540,1.4,26868
45,550,1.4,27586
43,560,1.5,28787
40,570,1.6,29815
38,580,1.7,30843
35,590,2.0,32357
33,600,2.0,33337
31,610,2.1,34706
28,620,2.4,36148
26,630,2.5,37236
23,640,2.7,38718
19,650,3.1,40728
16,660,3.2,42410
12,670,3.4,44196
8,680,3.7,46026
5,690,3.8,47737
1,700,4.2,49986
1,710,4.5,52273
1,720,4.7,54375
1,730,5.0,56359
1,740,5.2,58379
1,750,5.2,60605
1,760,5.3,62347
1,770,5.4,64347
1,780,5.8,66481
1,790,5.8,68253
1,800,5.9,70548
1,810,5.9,72813
1,820,6.0,75017
1,830,6.0,77076
1,840,6.2,79872
1,850,6.2,82158
1,860,6.3,83900
1,870,6.4,86366
1,880,5.9,88061
1,890,5.9,89713
1,900,5.8,91831
1,910,5.8,94286
1,920,5.8,96333
1,930,5.8,98439
1,940,5.8,101007
1,950,5.7,102905
1,960,5.8,105256
1,970,6.0,107631
1,980,6.2,109725
1,990,6.6,112674
1,1000,6.8,115353
1,1010,6.8,117650
1,1020,7.2,119902
1,1030,7.4,122565
1,1040,7.2,124517
1,1050,7.4,126976
1,1060,7.2,128603
1,1070,6.8,130578
1,1080,6.9,132865
1,1090,6.6,134771
1,1100,6.6,137638
1,1110,6.7,140230
1,1120,6.5,142311
1,1130,6.2,144169
1,1140,6.4,146730
1,1150,6.6,149288
1,1160,6.8,151224
1,1170,7.1,154258
1,1180,7.3,156324
1,1190,7.4,158523
1,1200,7.1,160108
1,1210,6.9,162067
1,1220,7.1,164747
1,1230,7.1,166731
1,1240,6.9,169082
1,1250,6.7,171821
1,1260,6.9,174401
1,1270,6.7,176579
1,1280,6.7,179245
1,1290,6.6,181226
1,1300,6.9,184032
1,1310,6.7,185435
1,1320,6.4,187919
1,1330,6.5,190283
1,1340,6.6,192495
1,1350,6.5,194803
1,1360,6.4,197190
1,1370,6.6,199971
1,1380,6.6,202821
1,1390,6.8,204932
1,1400,7.2,207873
1,1410,7.8,210454
1,1420,7.6,212298
1,1430,7.7,214870
1,1440,7.7,217087
1,1450,7.6,218975
1,1460,7.3,220354
1,1470,7.3,222843
1,1480,7.0,225031
1,1490,7.4,227561
1,1500,6.8,229837
1,1510,6.3,231571
1,1520,6.4,233751
1,1530,6.5,236624
1,1540,6.5,238972
1,1550,6.5,241029
1,1560,6.8,243451
1,1570,6.9,245778
1,1580,7.2,248600
1,1590,6.9,250941
1,1600,7.4,253802
1,1610,7.7,255908
1,1620,7.6,257742
1,1630,7.4,259979
1,1640,7.4,261755
1,1650,7.6,264118
1,1660,7.8,266635
1,1670,7.8,269197
