game,score
1,59.0
2,79.0
3,65.0
4,42.0
5,61.0
6,41.0
7,56.0
8,74.0
9,61.0
10,50.0
11,67.0
12,47.0
13,58.0
14,66.0
15,40.0
16,28.0
17,58.0
18,40.0
19,58.0
20,45.0
21,61.0
22,54.0
23,59.0
24,89.0
25,60.0
26,85.0
27,69.0
28,45.0
29,56.0
30,58.0
31,62.0
32,58.0
33,47.0
34,65.0
35,54.0
36,54.0
37,72.0
38,71.0
39,62.0
40,118.0
41,157.0
42,63.0
43,52.0
44,70.0
45,59.0
46,51.0
47,105.0
48,65.0
49,61.0
50,54.0
51,52.0
52,58.0
53,46.0
54,44.0
55,86.0
56,47.0
57,58.0
58,28.0
59,43.0
60,272.0
61,42.0
62,76.0
63,58.0
64,46.0
65,32.0
66,262.0
67,44.0
68,77.0
69,58.0
70,42.0
71,46.0
72,71.0
73,45.0
74,50.0
75,58.0
76,71.0
77,58.0
78,57.0
79,58.0
80,54.0
81,86.0
82,70.0
83,78.0
84,47.0
85,48.0
86,48.0
87,40.0
88,80.0
89,29.0
90,37.0
91,55.0
92,36.0
93,56.0
94,51.0
95,81.0
96,87.0
97,81.0
98,75.0
99,51.0
100,47.0
101,85.0
102,40.0
103,53.0
104,48.0
105,33.0
106,92.0
107,70.0
108,37.0
109,79.0
110,58.0
111,48.0
112,49.0
113,49.0
114,54.0
115,62.0
116,76.0
117,70.0
118,58.0
119,33.0
120,56.0
121,75.0
122,71.0
123,50.0
124,41.0
125,58.0
126,58.0
127,88.0
128,45.0
129,65.0
130,32.0
131,76.0
132,48.0
133,34.0
134,40.0
135,50.0
136,58.0
137,65.0
138,74.0
139,70.0
140,61.0
141,62.0
142,71.0
143,84.0
144,82.0
145,64.0
146,53.0
147,46.0
148,79.0
149,48.0
150,157.0
151,20.0
152,51.0
153,60.0
154,44.0
155,54.0
156,49.0
157,67.0
158,41.0
159,59.0
160,41.0
161,63.0
162,93.0
163,45.0
164,83.0
165,49.0
166,71.0
167,102.0
168,83.0
169,46.0
170,30.0
171,110.0
172,90.0
173,89.0
174,95.0
175,54.0
176,93.0
177,32.0
178,71.0
179,70.0
180,79.0
181,40.0
182,102.0
183,49.0
184,90.0
185,71.0
186,63.0
187,58.0
188,33.0
189,103.0
190,58.0
191,39.0
192,47.0
193,49.0
194,58.0
195,74.0
196,55.0
197,71.0
198,54.0
199,54.0
200,95.0
201,34.0
202,58.0
203,58.0
204,68.0
205,54.0
206,99.0
207,62.0
208,262.0
209,65.0
210,157.0
211,55.0
212,28.0
213,27.0
214,93.0
215,58.0
216,77.0
217,69.0
218,59.0
219,60.0
220,56.0
221,60.0
222,58.0
223,64.0
224,54.0
225,50.0
226,33.0
227,54.0
228,37.0
229,19.0
230,71.0
231,46.0
232,58.0
233,74.0
234,95.0
235,58.0
236,49.0
237,57.0
238,83.0
239,48.0
240,48.0
241,52.0
242,256.0
243,78.0
244,32.0
245,53.0
246,58.0
247,71.0
248,71.0
249,51.0
250,87.0
251,76.0
252,65.0
253,63.0
254,71.0
255,84.0
256,52.0
257,33.0
258,53.0
259,41.0
260,65.0
261,69.0
262,35.0
263,48.0
264,54.0
265,19.0
266,54.0
267,88.0
268,113.0
269,37.0
270,95.0
271,73.0
272,90.0
273,58.0
274,56.0
275,60.0
276,73.0
277,56.0
278,183.0
279,157.0
280,58.0
281,68.0
282,58.0
283,91.0
284,157.0
285,61.0
286,71.0
287,58.0
288,71.0
289,61.0
290,26.0
291,58.0
292,60.0
293,86.0
294,157.0
295,58.0
296,69.0
297,58.0
298,55.0
299,73.0
300,58.0
301,265.0
302,75.0
303,52.0
304,54.0
305,49.0
306,63.0
307,78.0
308,108.0
309,83.0
310,22.0
311,37.0
312,26.0
313,72.0
314,52.0
315,45.0
316,40.0
317,65.0
318,60.0
319,41.0
320,43.0
321,210.0
322,23.0
323,58.0
324,59.0
325,43.0
326,43.0
327,72.0
328,61.0
329,85.0
330,86.0
331,38.0
332,54.0
333,51.0
334,71.0
335,43.0
336,87.0
337,99.0
338,58.0
339,61.0
340,272.0
341,80.0
342,51.0
343,52.0
344,73.0
345,97.0
346,27.0
347,30.0
348,71.0
349,52.0
350,76.0
351,33.0
352,53.0
353,38.0
354,54.0
355,40.0
356,53.0
357,71.0
358,58.0
359,82.0
360,51.0
361,80.0
362,54.0
363,48.0
364,48.0
365,48.0
366,61.0
367,379.0
368,69.0
369,122.0
370,56.0
371,56.0
372,55.0
373,62.0
374,37.0
375,54.0
376,50.0
377,70.0
378,73.0
379,61.0
380,62.0
381,75.0
382,65.0
383,49.0
384,32.0
385,81.0
386,56.0
387,54.0
388,52.0
389,54.0
390,52.0
391,48.0
392,52.0
393,26.0
394,79.0
395,31.0
396,102.0
397,69.0
398,80.0
399,72.0
400,61.0
401,54.0
402,60.0
403,74.0
404,48.0
405,79.0
406,53.0
407,47.0
408,65.0
409,67.0
410,45.0
411,53.0
412,64.0
413,67.0
414,57.0
415,58.0
416,54.0
417,80.0
418,48.0
419,259.0
420,30.0
421,59.0
422,58.0
423,78.0
424,69.0
425,64.0
426,77.0
427,58.0
428,40.0
429,71.0
430,29.0
431,33.0
432,58.0
433,43.0
434,54.0
435,58.0
436,54.0
437,52.0
438,65.0
439,58.0
440,49.0
441,62.0
442,65.0
443,58.0
444,90.0
445,58.0
446,44.0
447,60.0
448,67.0
449,60.0
450,54.0
451,54.0
452,76.0
453,289.0
454,63.0
455,26.0
456,63.0
457,63.0
458,45.0
459,29.0
460,50.0
461,67.0
462,75.0
463,48.0
464,48.0
465,50.0
466,79.0
467,91.0
468,88.0
469,76.0
470,26.0
471,54.0
472,69.0
473,54.0
474,63.0
475,48.0
476,77.0
477,50.0
478,58.0
479,71.0
480,51.0
481,51.0
482,61.0
483,100.0
484,77.0
485,41.0
486,71.0
487,55.0
488,26.0
489,79.0
490,39.0
491,64.0
492,47.0
493,60.0
494,55.0
495,71.0
496,58.0
497,74.0
498,54.0
499,64.0
500,39.0
501,69.0
502,51.0
503,75.0
504,59.0
505,62.0
506,74.0
507,42.0
508,38.0
509,68.0
510,26.0
511,64.0
512,87.0
513,54.0
514,258.0
515,45.0
516,63.0
517,54.0
518,68.0
519,46.0
520,64.0
521,58.0
522,67.0
523,23.0
524,102.0
525,65.0
526,79.0
527,51.0
528,259.0
529,76.0
530,53.0
531,37.0
532,69.0
533,54.0
534,78.0
535,68.0
536,61.0
537,53.0
538,93.0
539,53.0
540,68.0
541,35.0
542,53.0
543,57.0
544,24.0
545,49.0
546,45.0
547,54.0
548,52.0
549,58.0
550,177.0
551,58.0
552,54.0
553,58.0
554,54.0
555,69.0
556,65.0
557,46.0
558,57.0
559,29.0
560,53.0
561,84.0
562,80.0
563,262.0
564,69.0
565,76.0
566,70.0
567,46.0
568,65.0
569,82.0
570,71.0
571,68.0
572,61.0
573,157.0
574,25.0
575,71.0
576,64.0
577,41.0
578,90.0
579,48.0
580,71.0
581,60.0
582,56.0
583,58.0
584,75.0
585,70.0
586,69.0
587,82.0
588,53.0
589,249.0
590,121.0
591,52.0
592,46.0
593,76.0
594,71.0
595,61.0
596,326.0
597,234.0
598,58.0
599,55.0
600,72.0
601,26.0
602,51.0
603,51.0
604,72.0
605,229.0
606,252.0
607,64.0
608,48.0
609,58.0
610,61.0
611,63.0
612,58.0
613,71.0
614,56.0
615,47.0
616,74.0
617,57.0
618,51.0
619,65.0
620,42.0
621,47.0
622,42.0
623,266.0
624,58.0
625,61.0
626,44.0
627,48.0
628,55.0
629,251.0
630,72.0
631,67.0
632,71.0
633,58.0
634,239.0
635,60.0
636,55.0
637,47.0
638,83.0
639,48.0
640,97.0
641,48.0
642,54.0
643,67.0
644,67.0
645,57.0
646,77.0
647,40.0
648,38.0
649,41.0
650,49.0
651,51.0
652,58.0
653,78.0
654,68.0
655,58.0
656,85.0
657,55.0
658,34.0
659,157.0
660,63.0
661,25.0
662,211.0
663,68.0
664,115.0
665,69.0
666,42.0
667,48.0
668,51.0
669,65.0
670,128.0
671,80.0
672,283.0
673,65.0
674,55.0
675,69.0
676,54.0
677,52.0
678,80.0
679,71.0
680,38.0
681,67.0
682,54.0
683,77.0
684,35.0
685,56.0
686,75.0
687,60.0
688,60.0
689,66.0
690,71.0
691,64.0
692,67.0
693,72.0
694,157.0
695,30.0
696,76.0
697,40.0
698,70.0
699,70.0
700,71.0
701,26.0
702,54.0
703,78.0
704,73.0
705,58.0
706,47.0
707,40.0
708,58.0
709,55.0
710,59.0
711,63.0
712,71.0
713,90.0
714,256.0
715,49.0
716,71.0
717,41.0
718,77.0
719,80.0
720,93.0
721,78.0
722,100.0
723,79.0
724,96.0
725,71.0
726,71.0
727,62.0
728,30.0
729,70.0
730,76.0
731,57.0
732,48.0
733,52.0
734,76.0
735,75.0
736,102.0
737,72.0
738,58.0
739,83.0
740,58.0
741,64.0
742,26.0
743,92.0
744,75.0
745,35.0
746,56.0
747,71.0
748,74.0
749,62.0
750,53.0
751,54.0
752,146.0
753,49.0
754,50.0
755,229.0
756,34.0
757,59.0
758,51.0
759,47.0
760,71.0
761,43.0
762,67.0
763,71.0
764,54.0
765,71.0
766,58.0
767,45.0
768,41.0
769,48.0
770,75.0
771,78.0
772,76.0
773,84.0
774,49.0
775,72.0
776,26.0
777,56.0
778,26.0
779,58.0
780,61.0
781,54.0
782,60.0
783,62.0
784,80.0
785,157.0
786,58.0
787,66.0
788,59.0
789,75.0
790,185.0
791,62.0
792,42.0
793,125.0
794,54.0
795,60.0
796,58.0
797,59.0
798,74.0
799,67.0
800,73.0
801,78.0
