game,score
1,122.0
2,256.0
3,332.0
4,76.0
5,59.0
6,42.0
7,107.0
8,116.0
9,82.0
10,123.0
11,61.0
12,94.0
13,120.0
14,61.0
15,89.0
16,102.0
17,134.0
18,81.0
19,91.0
20,92.0
21,115.0
22,289.0
23,133.0
24,77.0
25,98.0
26,207.0
27,175.0
28,228.0
29,62.0
30,264.0
31,163.0
32,252.0
33,129.0
34,62.0
35,116.0
36,206.0
37,226.0
38,51.0
39,175.0
40,136.0
41,130.0
42,65.0
43,169.0
44,192.0
45,77.0
46,84.0
47,229.0
48,155.0
49,183.0
50,86.0
51,143.0
52,61.0
53,140.0
54,61.0
55,218.0
56,90.0
57,190.0
58,73.0
59,94.0
60,112.0
61,128.0
62,49.0
63,119.0
64,116.0
65,71.0
66,183.0
67,152.0
68,133.0
69,64.0
70,358.0
71,185.0
72,87.0
73,190.0
74,72.0
75,205.0
76,228.0
77,39.0
78,50.0
79,235.0
80,171.0
81,121.0
82,94.0
83,84.0
84,191.0
85,56.0
86,253.0
87,157.0
88,98.0
89,111.0
90,155.0
91,100.0
92,209.0
93,120.0
94,171.0
95,72.0
96,19.0
97,79.0
98,134.0
99,135.0
100,94.0
101,251.0
102,110.0
103,289.0
104,119.0
105,72.0
106,196.0
107,121.0
108,90.0
109,73.0
110,123.0
111,106.0
112,111.0
113,77.0
114,103.0
115,94.0
116,153.0
117,76.0
118,209.0
119,52.0
120,119.0
121,115.0
122,134.0
123,83.0
124,190.0
125,92.0
126,118.0
127,94.0
128,122.0
129,116.0
130,268.0
131,105.0
132,100.0
133,71.0
134,140.0
135,116.0
136,58.0
137,252.0
138,150.0
139,92.0
140,223.0
141,67.0
142,162.0
143,96.0
144,122.0
145,192.0
146,77.0
147,322.0
148,216.0
149,204.0
150,64.0
151,99.0
152,42.0
153,325.0
154,116.0
155,157.0
156,94.0
157,121.0
158,255.0
159,93.0
160,31.0
161,314.0
162,192.0
163,162.0
164,257.0
165,254.0
166,75.0
167,94.0
168,166.0
169,91.0
170,160.0
171,84.0
172,94.0
173,93.0
174,224.0
175,225.0
176,141.0
177,121.0
178,73.0
179,84.0
180,130.0
181,159.0
182,94.0
183,112.0
184,32.0
185,81.0
186,79.0
187,82.0
188,70.0
189,209.0
190,53.0
191,138.0
192,119.0
193,94.0
194,279.0
195,120.0
196,119.0
197,97.0
198,99.0
199,221.0
200,228.0
201,119.0
202,237.0
203,190.0
204,110.0
205,88.0
206,42.0
207,74.0
208,141.0
209,65.0
210,94.0
211,381.0
212,228.0
213,88.0
214,92.0
215,97.0
216,120.0
217,110.0
218,62.0
219,147.0
220,140.0
221,121.0
222,137.0
223,146.0
224,116.0
225,124.0
226,171.0
227,141.0
228,333.0
229,77.0
230,78.0
231,56.0
232,251.0
233,113.0
234,255.0
235,183.0
236,94.0
237,47.0
238,106.0
239,104.0
240,134.0
241,382.0
242,116.0
243,112.0
244,260.0
245,61.0
246,153.0
247,205.0
248,81.0
249,99.0
250,133.0
251,209.0
252,113.0
253,86.0
254,280.0
255,33.0
256,94.0
257,190.0
258,232.0
259,290.0
260,94.0
261,69.0
262,116.0
263,87.0
264,54.0
265,97.0
266,124.0
267,252.0
268,62.0
269,91.0
270,253.0
271,312.0
272,257.0
273,252.0
274,177.0
275,70.0
276,193.0
277,102.0
278,74.0
279,203.0
280,75.0
281,69.0
282,66.0
283,94.0
284,205.0
285,94.0
286,172.0
287,124.0
288,116.0
289,112.0
290,119.0
291,85.0
292,86.0
293,106.0
294,130.0
295,116.0
296,58.0
297,67.0
298,161.0
299,39.0
300,136.0
301,82.0
302,115.0
303,172.0
304,88.0
305,224.0
306,95.0
307,119.0
308,91.0
309,103.0
310,143.0
311,115.0
312,97.0
313,71.0
314,56.0
315,228.0
316,41.0
317,106.0
318,208.0
319,137.0
320,178.0
321,134.0
322,252.0
323,56.0
324,330.0
325,194.0
326,117.0
327,119.0
328,94.0
329,84.0
330,96.0
331,48.0
332,115.0
333,115.0
334,83.0
335,94.0
336,111.0
337,44.0
338,291.0
339,100.0
340,106.0
341,114.0
342,111.0
343,81.0
344,98.0
345,111.0
346,36.0
347,81.0
348,309.0
349,88.0
350,228.0
351,100.0
352,252.0
353,90.0
354,134.0
355,169.0
356,203.0
357,114.0
358,61.0
359,88.0
360,119.0
361,95.0
362,94.0
363,221.0
364,70.0
365,115.0
366,39.0
367,94.0
368,256.0
369,79.0
370,78.0
371,94.0
372,179.0
373,64.0
374,137.0
375,88.0
376,89.0
377,141.0
378,83.0
379,135.0
380,163.0
381,143.0
382,284.0
383,138.0
384,65.0
385,80.0
386,97.0
387,85.0
388,291.0
389,101.0
390,72.0
391,221.0
392,228.0
393,106.0
394,38.0
395,119.0
396,114.0
