% time spent exploring,episodes,mean 100 episode reward,steps
72,10,0.2,278
40,20,0.2,603
13,30,0.2,877
1,40,0.1,1107
1,50,0.2,1529
1,60,0.2,1855
1,70,0.2,2332
1,80,0.2,2608
1,90,0.2,3036
1,100,0.2,3341
1,110,0.2,3571
1,120,0.2,3801
1,130,0.2,4250
1,140,0.2,4529
1,150,0.2,4933
1,160,0.2,5259
1,170,0.2,5634
1,180,0.2,5864
1,190,0.2,6190
1,200,0.2,6619
1,210,0.2,6993
1,220,0.2,7223
1,230,0.2,7549
1,240,0.2,7903
1,250,0.2,8133
1,260,0.2,8363
1,270,0.2,8593
1,280,0.2,8823
1,290,0.2,9128
1,300,0.1,9551
1,310,0.1,9877
