game,score
1,382.0
2,72.0
3,318.0
4,253.0
5,128.0
6,324.0
7,358.0
8,305.0
9,375.0
10,416.0
11,101.0
12,229.0
13,300.0
14,365.0
15,141.0
16,377.0
17,380.0
18,371.0
19,86.0
20,302.0
21,110.0
22,159.0
23,402.0
24,239.0
25,297.0
26,363.0
27,350.0
28,233.0
29,216.0
30,347.0
31,354.0
32,298.0
33,365.0
34,100.0
35,133.0
36,336.0
37,309.0
38,362.0
39,300.0
40,311.0
41,370.0
42,61.0
43,152.0
44,307.0
45,387.0
46,103.0
47,386.0
48,384.0
49,353.0
50,126.0
51,156.0
52,112.0
53,72.0
54,353.0
55,109.0
56,230.0
57,356.0
58,99.0
59,224.0
60,287.0
61,320.0
62,121.0
63,230.0
64,148.0
65,376.0
66,399.0
67,379.0
68,200.0
69,235.0
70,254.0
71,139.0
72,103.0
73,236.0
74,256.0
75,133.0
76,246.0
77,362.0
78,99.0
79,375.0
80,226.0
81,378.0
82,312.0
83,297.0
84,348.0
85,230.0
86,272.0
87,56.0
88,332.0
89,371.0
90,300.0
91,241.0
92,349.0
93,230.0
94,348.0
95,264.0
96,411.0
97,397.0
98,124.0
99,14.0
100,282.0
101,121.0
102,352.0
103,280.0
104,74.0
105,353.0
106,302.0
107,318.0
108,126.0
109,277.0
110,278.0
111,304.0
112,319.0
113,304.0
114,44.0
115,176.0
116,345.0
117,270.0
118,330.0
119,365.0
120,300.0
121,343.0
122,327.0
123,66.0
124,190.0
125,36.0
126,232.0
127,321.0
128,136.0
129,176.0
130,147.0
131,340.0
132,132.0
133,400.0
134,247.0
135,298.0
136,214.0
137,358.0
138,126.0
139,93.0
140,78.0
141,342.0
142,349.0
143,321.0
144,253.0
145,59.0
146,375.0
147,310.0
148,249.0
149,351.0
150,375.0
151,349.0
152,202.0
153,293.0
154,176.0
155,361.0
156,335.0
157,232.0
158,288.0
159,391.0
160,365.0
161,353.0
162,348.0
163,24.0
164,64.0
165,375.0
166,394.0
167,81.0
168,341.0
169,297.0
170,159.0
171,144.0
172,189.0
173,377.0
174,230.0
175,339.0
176,309.0
177,328.0
178,344.0
179,358.0
180,352.0
181,330.0
182,348.0
183,334.0
184,398.0
185,238.0
186,347.0
187,70.0
188,313.0
189,122.0
190,326.0
191,353.0
192,362.0
193,231.0
194,268.0
195,209.0
196,365.0
197,87.0
198,304.0
199,345.0
200,318.0
201,353.0
202,388.0
203,275.0
204,359.0
205,294.0
206,271.0
207,337.0
208,338.0
209,189.0
210,108.0
211,312.0
212,266.0
213,351.0
214,271.0
215,315.0
216,271.0
217,168.0
218,159.0
219,339.0
220,52.0
221,309.0
222,365.0
223,372.0
224,94.0
225,337.0
226,163.0
227,391.0
228,275.0
229,319.0
230,320.0
231,348.0
232,230.0
233,353.0
234,94.0
235,116.0
236,376.0
237,297.0
238,225.0
239,319.0
240,301.0
241,271.0
242,230.0
243,116.0
244,367.0
245,305.0
246,201.0
247,154.0
248,366.0
249,31.0
250,300.0
251,336.0
252,252.0
253,318.0
254,341.0
255,256.0
256,343.0
257,267.0
258,211.0
259,376.0
260,129.0
261,108.0
262,385.0
263,374.0
264,121.0
265,374.0
266,276.0
267,263.0
268,61.0
269,389.0
270,206.0
271,407.0
272,127.0
273,294.0
274,328.0
275,341.0
276,391.0
277,59.0
278,230.0
279,216.0
280,358.0
281,326.0
282,133.0
283,168.0
284,299.0
285,320.0
286,100.0
287,275.0
288,254.0
289,332.0
290,264.0
291,269.0
292,312.0
293,320.0
294,141.0
295,152.0
296,299.0
