% time spent exploring,episodes,mean 100 episode reward,steps
97,10,0.0,204
95,20,0.0,428
92,30,0.1,725
90,40,0.1,955
87,50,0.1,1308
84,60,0.1,1611
81,70,0.1,1882
79,80,0.1,2106
75,90,0.1,2452
72,100,0.1,2774
70,110,0.1,2994
66,120,0.2,3413
63,130,0.2,3680
59,140,0.2,4049
56,150,0.2,4442
52,160,0.2,4815
48,170,0.3,5154
45,180,0.3,5478
41,190,0.3,5878
39,200,0.3,6142
36,210,0.3,6436
32,220,0.3,6825
28,230,0.3,7217
24,240,0.3,7606
21,250,0.3,7899
18,260,0.3,8194
15,270,0.3,8534
11,280,0.3,8974
7,290,0.3,9340
3,300,0.3,9708
1,310,0.4,10076
1,320,0.3,10347
1,330,0.3,10644
1,340,0.3,10943
1,350,0.3,11242
1,360,0.3,11662
1,370,0.3,11965
1,380,0.3,12191
1,390,0.2,12544
1,400,0.2,12813
1,410,0.2,13037
1,420,0.2,13349
1,430,0.2,13700
1,440,0.2,13986
1,450,0.2,14286
1,460,0.2,14619
1,470,0.2,15098
1,480,0.2,15403
1,490,0.2,15735
1,500,0.3,16082
1,510,0.3,16510
1,520,0.3,16786
1,530,0.3,17016
1,540,0.3,17290
1,550,0.2,17566
1,560,0.2,17796
1,570,0.2,18345
1,580,0.2,18625
1,590,0.2,18855
1,600,0.2,19129
1,610,0.1,19351
1,620,0.2,19732
1,630,0.2,20006
1,640,0.2,20357
1,650,0.2,20804
1,660,0.2,21134
1,670,0.2,21409
1,680,0.2,21664
1,690,0.2,22017
1,700,0.3,22395
1,710,0.3,22711
1,720,0.2,22987
1,730,0.2,23217
1,740,0.2,23443
1,750,0.2,23766
1,760,0.2,24186
1,770,0.2,24486
1,780,0.2,24759
1,790,0.2,24979
1,800,0.1,25255
1,810,0.1,25503
1,820,0.1,25727
1,830,0.1,25979
1,840,0.2,26257
1,850,0.1,26562
1,860,0.1,26865
1,870,0.1,27138
1,880,0.1,27410
1,890,0.1,27634
1,900,0.1,27933
1,910,0.2,28307
1,920,0.2,28739
1,930,0.2,28967
1,940,0.2,29264
1,950,0.2,29672
1,960,0.2,29944
1,970,0.2,30294
1,980,0.3,30684
1,990,0.3,31134
1,1000,0.4,31532
1,1010,0.3,31830
1,1020,0.4,32349
1,1030,0.4,32656
1,1040,0.4,33232
1,1050,0.4,33556
1,1060,0.4,33963
1,1070,0.5,34402
1,1080,0.4,34664
1,1090,0.4,34894
1,1100,0.4,35209
1,1110,0.4,35471
1,1120,0.3,35701
1,1130,0.3,35929
1,1140,0.2,36203
1,1150,0.2,36551
1,1160,0.2,36924
1,1170,0.2,37236
1,1180,0.2,37518
1,1190,0.2,37869
1,1200,0.2,38205
1,1210,0.2,38517
1,1220,0.3,38825
1,1230,0.3,39109
1,1240,0.4,39657
1,1250,0.4,40081
1,1260,0.4,40386
1,1270,0.4,40667
1,1280,0.4,40978
1,1290,0.4,41468
1,1300,0.4,41834
1,1310,0.4,42146
1,1320,0.5,42808
1,1330,0.6,43236
1,1340,0.5,43553
1,1350,0.4,43829
1,1360,0.5,44325
1,1370,0.5,44838
1,1380,0.7,45749
1,1390,0.6,46112
1,1400,0.6,46370
1,1410,0.6,46780
1,1420,0.5,47146
1,1430,0.5,47513
1,1440,0.6,48158
1,1450,0.7,48757
1,1460,0.7,49464
1,1470,0.7,49805
1,1480,0.6,50395
1,1490,0.7,51014
1,1500,0.8,51690
1,1510,0.8,52206
1,1520,0.9,52732
1,1530,1.0,53461
1,1540,1.0,54102
1,1550,1.0,54923
1,1560,1.0,55593
1,1570,1.1,56183
1,1580,1.2,57054
1,1590,1.2,57806
1,1600,1.2,58511
1,1610,1.2,59298
1,1620,1.2,59926
1,1630,1.2,60319
1,1640,1.2,61209
1,1650,1.2,61741
1,1660,1.2,62375
1,1670,1.1,62924
1,1680,1.1,63644
1,1690,1.1,64100
1,1700,1.1,64683
1,1710,1.1,65471
1,1720,1.1,66232
1,1730,1.2,67030
1,1740,1.2,67726
1,1750,1.3,68462
1,1760,1.4,69570
1,1770,1.4,70364
1,1780,1.5,71465
1,1790,1.5,72050
1,1800,1.5,72645
1,1810,1.6,73600
1,1820,1.6,74467
1,1830,1.5,75003
1,1840,1.5,75661
1,1850,1.5,76219
1,1860,1.6,77179
1,1870,1.6,77942
1,1880,1.6,78875
1,1890,1.6,79481
1,1900,1.7,80167
1,1910,1.7,81044
1,1920,1.6,81859
1,1930,1.7,82524
1,1940,1.7,83112
1,1950,1.7,83970
1,1960,1.6,84800
1,1970,1.6,85790
1,1980,1.6,86918
1,1990,1.7,87870
1,2000,1.8,88574
1,2010,1.7,89285
1,2020,1.8,90226
1,2030,1.9,91347
1,2040,2.0,92284
1,2050,2.0,93374
1,2060,2.1,94478
1,2070,2.0,95428
1,2080,2.0,96288
1,2090,2.0,97085
1,2100,2.0,98094
1,2110,2.0,98906
1,2120,2.0,99715
