game,score
1,12.0
2,20.0
3,17.0
4,13.0
5,25.0
6,20.0
7,18.0
8,13.0
9,20.0
10,20.0
11,20.0
12,20.0
13,6.0
14,33.0
15,28.0
16,24.0
17,16.0
18,6.0
19,25.0
20,17.0
21,9.0
22,44.0
23,14.0
24,6.0
25,13.0
26,20.0
27,6.0
28,44.0
29,13.0
30,6.0
31,16.0
32,6.0
33,6.0
34,18.0
35,6.0
36,6.0
37,28.0
38,13.0
39,20.0
40,6.0
41,6.0
42,10.0
43,20.0
44,16.0
45,21.0
46,6.0
47,14.0
48,28.0
49,18.0
50,52.0
51,13.0
52,28.0
53,44.0
54,20.0
55,44.0
56,16.0
57,44.0
58,44.0
59,44.0
60,28.0
61,13.0
62,6.0
63,48.0
64,8.0
65,10.0
66,6.0
67,6.0
68,28.0
69,6.0
70,13.0
71,13.0
72,6.0
73,15.0
74,13.0
75,13.0
76,19.0
77,15.0
78,13.0
79,13.0
80,6.0
81,19.0
82,25.0
83,11.0
84,6.0
85,13.0
86,28.0
87,17.0
88,15.0
89,28.0
90,6.0
91,47.0
92,20.0
93,20.0
94,11.0
95,13.0
96,13.0
97,20.0
98,7.0
99,13.0
100,13.0
101,13.0
102,26.0
103,34.0
104,16.0
105,13.0
106,13.0
107,6.0
108,12.0
109,6.0
110,6.0
111,14.0
112,13.0
113,44.0
114,13.0
115,44.0
116,28.0
117,6.0
118,28.0
119,9.0
120,11.0
121,11.0
122,20.0
123,6.0
124,15.0
125,15.0
126,44.0
127,28.0
128,14.0
129,15.0
130,44.0
131,20.0
132,20.0
133,28.0
134,25.0
135,20.0
136,13.0
137,20.0
138,44.0
139,9.0
140,13.0
141,43.0
142,42.0
143,15.0
144,16.0
145,44.0
146,6.0
147,44.0
148,20.0
149,31.0
150,44.0
151,27.0
152,11.0
153,46.0
154,16.0
155,42.0
156,20.0
157,14.0
158,35.0
159,13.0
160,13.0
161,40.0
162,51.0
163,6.0
164,20.0
165,44.0
166,14.0
167,10.0
168,13.0
169,20.0
170,34.0
171,17.0
172,13.0
173,22.0
174,13.0
175,44.0
176,23.0
177,6.0
178,6.0
179,15.0
180,32.0
