% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.2,275
99,20,0.2,576
99,30,0.2,894
98,40,0.2,1166
98,50,0.2,1514
98,60,0.2,1740
98,70,0.2,2007
97,80,0.2,2308
97,90,0.2,2582
97,100,0.2,2836
96,110,0.2,3206
96,120,0.2,3555
96,130,0.2,3829
95,140,0.2,4101
95,150,0.1,4331
95,160,0.2,4759
94,170,0.2,5086
94,180,0.2,5314
94,190,0.2,5568
94,200,0.2,5846
93,210,0.2,6118
93,220,0.1,6348
93,230,0.1,6622
93,240,0.1,6870
92,250,0.1,7126
92,260,0.1,7452
92,270,0.1,7874
91,280,0.2,8331
91,290,0.2,8559
91,300,0.2,9032
90,310,0.2,9346
90,320,0.3,9665
90,330,0.3,9937
89,340,0.3,10405
89,350,0.3,10763
88,360,0.3,11134
88,370,0.3,11454
88,380,0.3,11819
87,390,0.3,12287
87,400,0.3,12559
87,410,0.3,12983
86,420,0.3,13282
86,430,0.3,13582
86,440,0.3,13950
85,450,0.3,14348
85,460,0.3,14692
85,470,0.3,14996
84,480,0.3,15335
84,490,0.3,15711
84,500,0.3,15941
83,510,0.3,16490
83,520,0.3,16762
83,530,0.3,17087
82,540,0.3,17434
82,550,0.3,17733
82,560,0.3,18035
81,570,0.3,18353
81,580,0.2,18581
81,590,0.2,18933
80,600,0.2,19234
80,610,0.2,19777
80,620,0.2,19999
79,630,0.3,20428
79,640,0.3,20791
78,650,0.3,21329
78,660,0.3,21632
78,670,0.3,22024
77,680,0.4,22414
77,690,0.4,22715
77,700,0.4,22993
76,710,0.4,23479
76,720,0.4,23751
76,730,0.4,24146
75,740,0.3,24376
75,750,0.3,24653
75,760,0.2,24907
75,770,0.2,25133
74,780,0.2,25357
74,790,0.2,25753
74,800,0.2,26106
73,810,0.2,26405
73,820,0.2,26790
73,830,0.2,27246
72,840,0.2,27531
72,850,0.3,27981
71,860,0.3,28354
71,870,0.3,28580
71,880,0.3,28810
71,890,0.3,29087
70,900,0.3,29451
70,910,0.3,29753
70,920,0.3,30058
69,930,0.2,30358
69,940,0.2,30614
69,950,0.2,30866
69,960,0.1,31094
68,970,0.2,31443
68,980,0.2,31669
68,990,0.2,32020
67,1000,0.2,32404
67,1010,0.2,32662
67,1020,0.2,32947
67,1030,0.2,33320
66,1040,0.2,33546
66,1050,0.2,33849
66,1060,0.2,34168
65,1070,0.2,34537
65,1080,0.2,34763
65,1090,0.2,35060
64,1100,0.2,35359
64,1110,0.2,35662
64,1120,0.2,36085
63,1130,0.2,36615
63,1140,0.3,36862
63,1150,0.3,37355
62,1160,0.4,37926
61,1170,0.4,38401
61,1180,0.4,38821
61,1190,0.4,39142
60,1200,0.5,39537
60,1210,0.5,39864
60,1220,0.5,40315
59,1230,0.4,40689
59,1240,0.4,40917
59,1250,0.4,41234
58,1260,0.3,41620
58,1270,0.3,41902
58,1280,0.2,42132
58,1290,0.2,42360
57,1300,0.3,42968
57,1310,0.3,43246
56,1320,0.2,43530
56,1330,0.3,43944
56,1340,0.3,44271
55,1350,0.3,44722
55,1360,0.4,45271
54,1370,0.4,45670
54,1380,0.5,46333
53,1390,0.5,46812
53,1400,0.5,47133
52,1410,0.5,47570
52,1420,0.6,48056
52,1430,0.5,48409
51,1440,0.6,48958
51,1450,0.6,49392
50,1460,0.6,49943
49,1470,0.6,50545
49,1480,0.6,51171
48,1490,0.6,51604
48,1500,0.6,51905
48,1510,0.6,52480
47,1520,0.6,52982
46,1530,0.7,53586
46,1540,0.7,54239
45,1550,0.7,54682
45,1560,0.7,55186
44,1570,0.7,55881
43,1580,0.8,56741
43,1590,0.9,57438
42,1600,1.0,58161
41,1610,1.0,58843
41,1620,1.0,59463
40,1630,1.0,60016
40,1640,1.0,60358
39,1650,1.1,61390
38,1660,1.2,62094
37,1670,1.2,62997
36,1680,1.2,63808
35,1690,1.2,64708
35,1700,1.2,65314
34,1710,1.2,65918
34,1720,1.2,66590
33,1730,1.3,67291
32,1740,1.4,68019
31,1750,1.3,68964
31,1760,1.4,69672
30,1770,1.3,70312
29,1780,1.3,71084
28,1790,1.2,71948
27,1800,1.4,73028
26,1810,1.4,73784
26,1820,1.4,74486
25,1830,1.5,75392
24,1840,1.5,76234
23,1850,1.5,77157
22,1860,1.6,77992
22,1870,1.6,78786
21,1880,1.7,79686
20,1890,1.7,80617
19,1900,1.7,81665
18,1910,1.8,82718
16,1920,1.9,83887
16,1930,1.9,84790
15,1940,2.0,85761
13,1950,2.0,87010
12,1960,2.0,87920
11,1970,2.2,89163
10,1980,2.2,90160
9,1990,2.2,91115
8,2000,2.2,91943
8,2010,2.1,92824
7,2020,2.1,93815
6,2030,2.1,94774
5,2040,2.0,95509
4,2050,2.0,96427
3,2060,2.1,97814
2,2070,2.1,98907
1,2080,2.2,100347
1,2090,2.2,101157
1,2100,2.3,102365
1,2110,2.3,103588
1,2120,2.5,105112
1,2130,2.6,106478
1,2140,2.7,107754
1,2150,2.9,109098
1,2160,2.8,110360
1,2170,2.8,111500
1,2180,2.7,112481
1,2190,2.8,113965
1,2200,2.9,115096
1,2210,2.9,116465
1,2220,2.8,117395
1,2230,2.7,118606
1,2240,2.7,119740
1,2250,2.6,120967
1,2260,2.6,122015
1,2270,2.5,123017
1,2280,2.6,124311
1,2290,2.6,125729
1,2300,2.7,127251
1,2310,2.8,128849
1,2320,2.8,129845
1,2330,2.8,130932
1,2340,3.0,132501
1,2350,3.0,133823
1,2360,3.1,135057
1,2370,3.2,136608
1,2380,3.2,138011
1,2390,3.2,139259
1,2400,3.2,140874
1,2410,3.0,141852
1,2420,3.0,142886
1,2430,3.0,143875
1,2440,2.9,144934
1,2450,3.0,146472
1,2460,3.0,147863
1,2470,2.8,148583
1,2480,2.9,150247
1,2490,3.0,151898
1,2500,3.0,153255
1,2510,3.0,154520
1,2520,3.0,155549
1,2530,3.2,156946
1,2540,3.2,158210
1,2550,3.1,159193
1,2560,3.1,160508
1,2570,3.2,161288
1,2580,3.2,162837
1,2590,3.1,164278
1,2600,3.1,165643
1,2610,3.3,167624
1,2620,3.4,169103
1,2630,3.5,170666
1,2640,3.6,172324
1,2650,3.7,173814
1,2660,3.7,175135
1,2670,4.0,177019
1,2680,3.9,178255
1,2690,3.9,179748
1,2700,4.0,181312
1,2710,3.8,182786
1,2720,3.6,183553
1,2730,3.2,184192
1,2740,3.1,185277
1,2750,3.1,186713
1,2760,3.1,188357
1,2770,3.0,189767
1,2780,3.2,191630
1,2790,3.2,193136
1,2800,3.1,194456
1,2810,3.1,195732
1,2820,3.4,197555
1,2830,3.6,198743
1,2840,3.9,200539
1,2850,4.0,202460
1,2860,4.0,204094
1,2870,4.1,205810
1,2880,4.2,207797
1,2890,4.2,209449
1,2900,4.1,210492
1,2910,4.1,211944
1,2920,4.0,213285
1,2930,4.1,214839
1,2940,4.1,216770
1,2950,4.2,218930
1,2960,4.2,220618
1,2970,4.2,222557
1,2980,3.9,223393
1,2990,3.9,224959
1,3000,4.1,226627
1,3010,4.1,228212
1,3020,4.1,229555
1,3030,4.1,231256
1,3040,4.1,233000
1,3050,3.8,234078
1,3060,3.7,235393
1,3070,3.7,237622
1,3080,4.1,239840
1,3090,4.3,241942
1,3100,4.2,243526
1,3110,4.2,245058
1,3120,4.3,246290
1,3130,4.2,247683
1,3140,4.1,249148
1,3150,4.3,251029
1,3160,4.5,252789
1,3170,4.4,254467
1,3180,4.1,255855
1,3190,4.1,257807
1,3200,4.0,259196
1,3210,4.2,261451
1,3220,4.2,262822
1,3230,4.4,264780
1,3240,4.3,266226
1,3250,4.3,268040
1,3260,4.4,270341
1,3270,4.4,271771
1,3280,4.5,273574
1,3290,4.6,275790
1,3300,4.8,277915
1,3310,4.7,279921
1,3320,5.0,282178
1,3330,4.9,283964
1,3340,5.1,285943
1,3350,5.1,287532
1,3360,4.8,288927
1,3370,5.0,290941
1,3380,5.0,292981
1,3390,4.9,294775
1,3400,4.7,296216
1,3410,4.7,298194
1,3420,4.8,300534
1,3430,5.0,302848
1,3440,5.0,305134
1,3450,5.0,306301
1,3460,5.1,308260
1,3470,5.0,310152
1,3480,5.1,312420
1,3490,5.2,314522
1,3500,5.1,315763
1,3510,5.1,317460
1,3520,4.8,318925
1,3530,4.6,320670
1,3540,4.2,321447
1,3550,4.3,323061
1,3560,4.4,325318
1,3570,4.3,326908
1,3580,4.4,329378
1,3590,4.3,330992
1,3600,4.6,333362
1,3610,4.6,335035
1,3620,4.8,336888
1,3630,4.9,338934
1,3640,5.2,340872
1,3650,5.3,342921
1,3660,5.0,344090
1,3670,5.2,346310
1,3680,5.2,348459
1,3690,5.4,351023
1,3700,5.5,353702
1,3710,5.9,355909
1,3720,5.8,357661
1,3730,5.9,359757
1,3740,6.2,362522
1,3750,6.3,365138
1,3760,6.9,368014
1,3770,6.8,369774
1,3780,6.7,371798
1,3790,6.6,373860
1,3800,6.5,376367
1,3810,6.2,378320
1,3820,6.3,380394
1,3830,6.4,382672
1,3840,6.2,384366
1,3850,6.2,386992
1,3860,6.0,388953
1,3870,6.3,391371
1,3880,6.2,393300
1,3890,6.1,395034
1,3900,5.9,396853
1,3910,6.3,399156
1,3920,6.5,401617
1,3930,6.4,403433
1,3940,6.5,405509
1,3950,6.2,407378
1,3960,6.0,408782
1,3970,5.8,410725
1,3980,5.8,412720
1,3990,5.8,414661
1,4000,6.0,417089
1,4010,5.6,419384
1,4020,5.4,421335
1,4030,5.7,424006
1,4040,5.7,426019
1,4050,5.7,428212
1,4060,6.0,430288
1,4070,6.1,432521
1,4080,6.3,435110
1,4090,6.4,437200
1,4100,6.3,439287
1,4110,6.2,441365
1,4120,6.5,443938
1,4130,6.5,446826
1,4140,6.3,448196
1,4150,6.2,449787
1,4160,6.1,451629
1,4170,6.0,453432
1,4180,5.8,455600
1,4190,5.7,457331
1,4200,5.6,459295
1,4210,5.7,461478
1,4220,5.8,464431
1,4230,5.7,467016
1,4240,5.8,469055
1,4250,6.2,472025
1,4260,6.4,474070
1,4270,6.6,476747
1,4280,6.6,478701
1,4290,6.6,480655
1,4300,6.7,482903
1,4310,6.9,485708
1,4320,6.8,487869
1,4330,6.5,489469
1,4340,6.5,491508
1,4350,6.3,493641
1,4360,6.6,496086
1,4370,6.3,497860
1,4380,6.3,499700
1,4390,6.4,501881
1,4400,6.4,504256
1,4410,6.4,506352
1,4420,6.2,508459
1,4430,6.4,510576
1,4440,6.6,513184
1,4450,6.9,515793
1,4460,6.7,518274
1,4470,6.8,520472
1,4480,7.2,523297
1,4490,7.3,525778
1,4500,7.3,528420
1,4510,7.4,530581
1,4520,7.7,532892
1,4530,7.7,535189
1,4540,7.7,537584
1,4550,7.8,540062
1,4560,7.9,542831
1,4570,7.9,545082
1,4580,7.9,547503
1,4590,8.0,550148
1,4600,7.8,552063
1,4610,7.6,554549
1,4620,7.4,557086
1,4630,7.4,559239
1,4640,7.4,561226
1,4650,7.1,563663
1,4660,7.2,566124
1,4670,7.1,568070
1,4680,7.0,570612
1,4690,7.2,572886
1,4700,7.2,574982
1,4710,7.3,577539
1,4720,7.2,580069
1,4730,7.3,582541
1,4740,7.2,584399
1,4750,7.1,586614
1,4760,7.2,589769
1,4770,7.1,591528
1,4780,6.9,593461
1,4790,6.4,595242
1,4800,6.5,597883
1,4810,6.4,600178
1,4820,6.2,602141
1,4830,6.2,604340
1,4840,6.1,606155
1,4850,6.1,608292
1,4860,5.7,610456
1,4870,6.2,613032
1,4880,6.2,614968
1,4890,6.4,616855
1,4900,6.4,619237
1,4910,6.3,621262
1,4920,6.6,623718
1,4930,6.6,625775
1,4940,6.9,628312
1,4950,7.1,630654
1,4960,7.6,633690
1,4970,7.4,636205
1,4980,7.5,638606
1,4990,7.9,641670
1,5000,7.7,643475
1,5010,8.2,646124
1,5020,7.8,648147
1,5030,8.0,650822
1,5040,8.2,653418
1,5050,8.2,656198
