game,score
1,103.0
2,56.0
3,97.0
4,74.0
5,335.0
6,95.0
7,82.0
8,264.0
9,67.0
10,114.0
11,95.0
12,308.0
13,103.0
14,125.0
15,300.0
16,118.0
17,76.0
18,129.0
19,37.0
20,335.0
21,71.0
22,331.0
23,102.0
24,335.0
25,59.0
26,303.0
27,103.0
28,40.0
29,400.0
30,85.0
31,412.0
32,51.0
33,288.0
34,67.0
35,383.0
36,329.0
37,259.0
38,296.0
39,67.0
40,142.0
41,61.0
42,109.0
43,366.0
44,46.0
45,116.0
46,235.0
47,273.0
48,55.0
49,311.0
50,67.0
51,394.0
52,89.0
53,59.0
54,106.0
55,48.0
56,282.0
57,183.0
58,57.0
59,79.0
60,87.0
61,335.0
62,169.0
63,102.0
64,73.0
65,302.0
66,48.0
67,119.0
68,87.0
69,26.0
70,66.0
71,71.0
72,335.0
73,290.0
74,67.0
75,358.0
76,46.0
77,167.0
78,65.0
79,114.0
80,46.0
81,77.0
82,67.0
83,227.0
84,329.0
85,106.0
86,373.0
87,151.0
88,80.0
89,73.0
90,103.0
91,163.0
92,72.0
93,52.0
94,384.0
95,357.0
96,246.0
97,41.0
98,42.0
99,138.0
100,74.0
101,86.0
102,67.0
103,67.0
104,65.0
105,51.0
106,127.0
107,232.0
108,128.0
109,323.0
110,273.0
111,335.0
112,67.0
113,67.0
114,125.0
115,184.0
116,133.0
117,263.0
118,115.0
119,56.0
120,259.0
121,66.0
122,379.0
123,43.0
124,127.0
125,198.0
126,208.0
127,89.0
128,102.0
129,345.0
130,86.0
131,288.0
132,120.0
133,79.0
134,102.0
135,371.0
136,185.0
137,67.0
138,92.0
139,89.0
140,97.0
141,102.0
142,259.0
143,342.0
144,65.0
145,115.0
146,55.0
147,67.0
148,109.0
149,119.0
150,349.0
151,140.0
152,177.0
153,380.0
154,140.0
155,125.0
156,346.0
157,197.0
158,92.0
159,73.0
160,47.0
161,92.0
162,93.0
163,80.0
164,155.0
165,108.0
166,92.0
167,80.0
168,67.0
169,249.0
170,125.0
171,152.0
172,70.0
173,317.0
