game,score
1,12.0
2,13.0
3,13.0
4,6.0
5,19.0
6,16.0
7,16.0
8,22.0
9,26.0
10,13.0
11,18.0
12,24.0
13,14.0
14,12.0
15,13.0
16,20.0
17,11.0
18,12.0
19,13.0
20,24.0
21,24.0
22,13.0
23,19.0
24,20.0
25,21.0
26,13.0
27,20.0
28,13.0
29,14.0
30,21.0
31,13.0
32,23.0
33,21.0
34,16.0
35,21.0
36,13.0
37,12.0
38,19.0
39,21.0
40,17.0
41,13.0
42,22.0
43,13.0
44,21.0
45,9.0
46,13.0
47,20.0
48,20.0
49,27.0
50,15.0
51,15.0
52,11.0
53,12.0
54,17.0
55,23.0
56,11.0
57,14.0
58,13.0
59,15.0
60,19.0
61,14.0
62,18.0
63,20.0
64,14.0
65,12.0
66,18.0
67,20.0
68,21.0
69,14.0
70,20.0
71,17.0
72,15.0
73,20.0
74,16.0
75,18.0
76,13.0
77,14.0
78,16.0
79,13.0
80,15.0
81,21.0
82,20.0
83,26.0
84,13.0
85,21.0
86,13.0
87,9.0
88,18.0
89,20.0
90,26.0
91,14.0
92,20.0
93,19.0
94,21.0
95,13.0
96,21.0
97,16.0
98,21.0
99,21.0
100,20.0
101,21.0
102,30.0
103,22.0
104,21.0
105,14.0
106,19.0
107,13.0
108,10.0
109,14.0
110,20.0
111,16.0
112,21.0
113,20.0
114,20.0
115,12.0
116,14.0
117,9.0
118,8.0
119,13.0
120,13.0
121,19.0
122,8.0
123,21.0
124,20.0
125,20.0
126,18.0
127,21.0
128,20.0
129,21.0
130,14.0
131,12.0
132,13.0
133,21.0
134,20.0
135,7.0
136,10.0
137,30.0
138,13.0
139,13.0
140,12.0
141,12.0
142,22.0
143,4.0
144,25.0
145,18.0
146,13.0
147,15.0
148,18.0
149,24.0
150,13.0
151,12.0
152,13.0
153,16.0
154,16.0
155,16.0
156,20.0
157,25.0
158,25.0
159,12.0
160,16.0
161,24.0
162,17.0
163,16.0
164,21.0
165,13.0
166,19.0
167,19.0
168,15.0
169,20.0
170,22.0
171,16.0
172,20.0
173,14.0
174,22.0
175,20.0
176,13.0
177,21.0
178,21.0
179,16.0
180,9.0
181,17.0
182,13.0
183,13.0
184,29.0
185,16.0
186,22.0
187,11.0
188,20.0
189,13.0
190,20.0
191,13.0
192,13.0
193,21.0
194,15.0
195,13.0
196,13.0
197,24.0
198,12.0
199,13.0
200,12.0
201,20.0
202,16.0
203,18.0
204,20.0
205,13.0
206,13.0
207,20.0
208,9.0
209,17.0
210,13.0
211,23.0
212,23.0
213,16.0
214,22.0
215,22.0
216,12.0
217,11.0
218,15.0
219,21.0
220,21.0
221,13.0
222,4.0
223,27.0
224,24.0
225,13.0
226,16.0
227,13.0
228,19.0
229,13.0
230,21.0
231,21.0
232,15.0
233,20.0
234,12.0
235,13.0
236,14.0
237,21.0
238,36.0
239,38.0
240,14.0
241,12.0
242,14.0
243,20.0
244,19.0
245,18.0
246,14.0
247,13.0
248,27.0
249,13.0
250,13.0
251,13.0
252,17.0
253,16.0
254,20.0
255,15.0
256,10.0
257,14.0
258,13.0
259,13.0
260,20.0
261,17.0
262,19.0
263,31.0
264,12.0
265,21.0
