% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.4,376
99,20,0.3,653
99,30,0.3,1001
99,40,0.3,1352
99,50,0.3,1653
98,60,0.3,2152
98,70,0.4,2645
98,80,0.4,2991
98,90,0.4,3438
98,100,0.4,3720
98,110,0.3,3946
97,120,0.3,4267
97,130,0.3,4569
97,140,0.3,4821
97,150,0.3,5106
97,160,0.2,5336
97,170,0.2,5683
97,180,0.2,5988
96,190,0.2,6311
96,200,0.1,6539
96,210,0.1,6769
96,220,0.1,6993
96,230,0.1,7294
96,240,0.1,7641
96,250,0.1,7913
95,260,0.2,8266
95,270,0.2,8591
95,280,0.2,8970
95,290,0.2,9302
95,300,0.2,9526
95,310,0.2,9812
95,320,0.2,10070
94,330,0.2,10542
94,340,0.2,10941
94,350,0.3,11339
94,360,0.3,11695
94,370,0.3,11923
93,380,0.2,12184
93,390,0.2,12481
93,400,0.2,12703
93,410,0.2,13084
93,420,0.2,13334
93,430,0.2,13681
93,440,0.2,14048
92,450,0.2,14417
92,460,0.2,14685
92,470,0.2,15000
92,480,0.2,15422
92,490,0.2,15674
92,500,0.2,15902
91,510,0.2,16203
91,520,0.2,16429
91,530,0.2,16778
91,540,0.2,17125
91,550,0.2,17446
91,560,0.2,17747
91,570,0.2,18115
90,580,0.2,18420
90,590,0.2,18648
90,600,0.2,19025
90,610,0.2,19245
90,620,0.2,19574
90,630,0.2,19846
89,640,0.2,20266
89,650,0.2,20583
89,660,0.3,21080
89,670,0.3,21558
89,680,0.3,21784
89,690,0.3,22132
88,700,0.3,22358
88,710,0.3,22661
88,720,0.3,22915
88,730,0.3,23187
88,740,0.2,23488
88,750,0.3,23916
88,760,0.2,24144
87,770,0.2,24480
87,780,0.2,24706
87,790,0.2,25117
87,800,0.2,25467
87,810,0.2,25833
87,820,0.2,26057
86,830,0.3,26480
86,840,0.3,26734
86,850,0.3,27165
86,860,0.3,27419
86,870,0.3,27889
86,880,0.3,28214
85,890,0.3,28472
85,900,0.3,28843
85,910,0.2,29097
85,920,0.3,29396
85,930,0.2,29715
85,940,0.3,30108
84,950,0.2,30410
84,960,0.3,30832
84,970,0.2,31156
84,980,0.2,31508
84,990,0.2,31728
84,1000,0.2,32103
83,1010,0.3,32406
83,1020,0.2,32662
83,1030,0.2,32965
83,1040,0.2,33237
83,1050,0.2,33539
83,1060,0.2,33997
82,1070,0.3,34446
82,1080,0.2,34700
82,1090,0.3,35074
82,1100,0.3,35441
82,1110,0.3,35836
82,1120,0.3,36215
81,1130,0.3,36591
81,1140,0.4,36896
81,1150,0.4,37382
81,1160,0.4,37684
81,1170,0.3,37958
81,1180,0.3,38288
80,1190,0.4,38758
80,1200,0.3,38984
80,1210,0.4,39511
80,1220,0.3,39881
80,1230,0.4,40336
79,1240,0.3,40562
79,1250,0.3,40930
79,1260,0.3,41202
79,1270,0.3,41520
79,1280,0.3,41790
79,1290,0.2,42112
79,1300,0.3,42368
78,1310,0.2,42795
78,1320,0.3,43267
78,1330,0.2,43568
78,1340,0.2,43887
78,1350,0.3,44412
77,1360,0.3,44792
77,1370,0.4,45290
77,1380,0.4,45546
77,1390,0.4,46096
77,1400,0.4,46452
76,1410,0.5,47010
76,1420,0.4,47439
76,1430,0.4,47711
76,1440,0.5,48152
75,1450,0.4,48541
75,1460,0.5,49092
75,1470,0.4,49378
75,1480,0.5,49869
75,1490,0.4,50157
75,1500,0.4,50489
74,1510,0.4,50717
74,1520,0.4,51299
74,1530,0.5,51999
74,1540,0.5,52434
73,1550,0.5,52810
73,1560,0.4,53170
73,1570,0.5,53625
73,1580,0.5,54234
72,1590,0.6,54720
72,1600,0.6,55128
72,1610,0.7,55645
72,1620,0.6,55948
72,1630,0.6,56503
71,1640,0.5,56808
71,1650,0.6,57334
71,1660,0.6,57805
71,1670,0.6,58383
70,1680,0.6,58843
70,1690,0.6,59416
70,1700,0.6,59775
70,1710,0.5,60044
70,1720,0.5,60330
69,1730,0.5,60791
69,1740,0.6,61366
69,1750,0.6,61918
69,1760,0.5,62265
68,1770,0.5,62788
68,1780,0.5,63213
68,1790,0.5,63724
68,1800,0.5,64108
68,1810,0.6,64467
67,1820,0.6,65022
67,1830,0.6,65512
67,1840,0.6,65988
67,1850,0.6,66629
66,1860,0.7,67178
66,1870,0.7,67841
66,1880,0.8,68502
65,1890,0.8,69114
65,1900,0.8,69544
65,1910,0.8,69914
65,1920,0.7,70370
64,1930,0.7,70733
64,1940,0.8,71363
64,1950,0.8,72101
63,1960,0.8,72811
63,1970,0.8,73291
63,1980,0.8,73817
63,1990,0.8,74474
62,2000,0.8,74996
62,2010,0.9,75406
62,2020,0.9,76025
62,2030,0.9,76411
61,2040,0.9,76990
61,2050,0.8,77621
61,2060,0.8,78049
61,2070,0.8,78683
60,2080,0.9,79338
60,2090,0.8,79835
60,2100,0.9,80511
59,2110,0.9,81173
59,2120,1.0,81913
59,2130,1.0,82669
58,2140,1.1,83321
58,2150,1.1,84124
58,2160,1.1,84689
57,2170,1.1,85207
57,2180,1.2,86163
57,2190,1.2,86677
56,2200,1.1,87222
56,2210,1.2,88059
55,2220,1.2,89015
55,2230,1.2,89549
55,2240,1.2,90197
55,2250,1.2,90904
54,2260,1.3,91842
54,2270,1.3,92476
53,2280,1.2,93123
53,2290,1.3,93829
53,2300,1.3,94462
52,2310,1.3,95223
52,2320,1.2,95811
52,2330,1.3,96702
51,2340,1.3,97299
51,2350,1.3,98178
51,2360,1.2,98882
50,2370,1.3,99790
50,2380,1.3,100454
49,2390,1.3,101168
49,2400,1.3,101681
49,2410,1.3,102362
48,2420,1.4,103251
48,2430,1.4,103967
48,2440,1.4,104800
47,2450,1.3,105393
47,2460,1.3,106246
47,2470,1.2,106786
46,2480,1.3,107663
46,2490,1.3,108474
46,2500,1.3,109065
45,2510,1.3,109744
45,2520,1.3,110704
44,2530,1.4,111773
44,2540,1.4,112461
43,2550,1.5,113402
43,2560,1.4,113996
43,2570,1.5,114724
42,2580,1.6,115631
42,2590,1.5,116285
42,2600,1.6,117111
41,2610,1.6,118039
41,2620,1.6,118796
40,2630,1.5,119595
40,2640,1.5,120184
40,2650,1.4,120912
39,2660,1.5,121763
39,2670,1.5,122608
38,2680,1.4,123325
38,2690,1.5,124269
