% time spent exploring,episodes,mean 100 episode reward,steps
98,10,0.0,204
94,20,0.2,549
92,30,0.1,775
88,40,0.2,1175
85,50,0.2,1553
80,60,0.3,2001
78,70,0.2,2231
76,80,0.2,2503
73,90,0.2,2837
69,100,0.2,3238
64,110,0.3,3739
61,120,0.3,4095
58,130,0.3,4351
55,140,0.3,4682
51,150,0.3,5112
48,160,0.3,5381
45,170,0.3,5706
42,180,0.3,6008
40,190,0.3,6236
38,200,0.2,6506
35,210,0.2,6764
31,220,0.2,7165
27,230,0.2,7618
23,240,0.2,8023
21,250,0.2,8249
15,260,0.3,8869
13,270,0.2,9099
8,280,0.3,9598
5,290,0.4,10164
5,300,0.4,10394
5,310,0.4,10822
5,320,0.4,11095
5,330,0.4,11548
5,340,0.3,11778
5,350,0.3,12036
5,360,0.3,12504
5,370,0.4,13001
5,380,0.3,13352
5,390,0.3,13653
5,400,0.3,13881
5,410,0.2,14153
5,420,0.3,14436
5,430,0.2,14710
5,440,0.3,15239
5,450,0.3,15515
5,460,0.2,15803
5,470,0.2,16248
5,480,0.3,16816
5,490,0.3,17213
5,500,0.3,17558
5,510,0.3,17786
5,520,0.4,18142
5,530,0.4,18445
5,540,0.3,18671
5,550,0.3,19031
5,560,0.3,19261
5,570,0.3,19642
5,580,0.2,19866
5,590,0.2,20241
5,600,0.2,20515
5,610,0.2,20743
5,620,0.2,21242
5,630,0.2,21619
5,640,0.3,22238
5,650,0.3,22608
5,660,0.3,22838
5,670,0.3,23117
5,680,0.3,23375
5,690,0.3,23647
5,700,0.3,23968
5,710,0.3,24333
5,720,0.3,24613
5,730,0.2,24843
5,740,0.2,25115
5,750,0.2,25564
5,760,0.2,25912
5,770,0.2,26370
5,780,0.3,26655
5,790,0.3,26987
5,800,0.3,27289
5,810,0.3,27643
5,820,0.3,27974
5,830,0.3,28334
5,840,0.4,28661
5,850,0.3,28885
5,860,0.3,29263
5,870,0.3,29690
5,880,0.3,29948
5,890,0.3,30232
5,900,0.3,30486
5,910,0.2,30764
5,920,0.2,31080
5,930,0.2,31454
5,940,0.2,31712
5,950,0.2,31998
5,960,0.2,32451
5,970,0.2,32757
5,980,0.3,33301
5,990,0.3,33610
5,1000,0.3,33929
5,1010,0.3,34213
5,1020,0.3,34678
5,1030,0.3,34930
5,1040,0.3,35160
5,1050,0.3,35431
5,1060,0.3,35820
5,1070,0.3,36223
5,1080,0.2,36453
5,1090,0.2,36737
5,1100,0.2,36995
5,1110,0.2,37267
5,1120,0.2,37575
5,1130,0.2,37953
5,1140,0.2,38183
5,1150,0.2,38532
5,1160,0.3,39023
5,1170,0.2,39305
5,1180,0.3,39587
5,1190,0.3,39919
5,1200,0.3,40193
5,1210,0.3,40510
5,1220,0.4,41066
5,1230,0.4,41431
5,1240,0.4,41737
5,1250,0.4,42198
5,1260,0.3,42451
5,1270,0.4,42806
5,1280,0.4,43280
5,1290,0.4,43655
5,1300,0.4,43885
5,1310,0.4,44169
5,1320,0.4,44615
5,1330,0.4,44984
5,1340,0.4,45469
5,1350,0.4,45862
5,1360,0.5,46252
5,1370,0.5,46693
5,1380,0.5,47201
5,1390,0.5,47691
5,1400,0.6,48204
5,1410,0.6,48488
5,1420,0.7,49148
5,1430,0.8,49828
5,1440,0.8,50343
5,1450,0.8,50864
5,1460,0.8,51309
5,1470,0.9,51941
5,1480,0.9,52554
5,1490,0.9,52976
5,1500,0.9,53572
5,1510,1.0,54132
5,1520,1.1,55092
5,1530,1.0,55645
5,1540,1.1,56429
5,1550,1.2,57341
5,1560,1.3,58124
5,1570,1.3,58997
5,1580,1.3,59432
5,1590,1.3,60024
5,1600,1.4,61110
5,1610,1.6,62148
5,1620,1.5,63029
5,1630,1.5,63547
5,1640,1.5,64220
5,1650,1.4,65112
5,1660,1.5,66030
5,1670,1.5,66723
5,1680,1.6,67683
5,1690,1.7,68598
5,1700,1.6,69267
5,1710,1.4,69809
5,1720,1.5,70587
5,1730,1.5,71291
5,1740,1.5,72073
5,1750,1.5,72783
5,1760,1.4,73471
5,1770,1.4,74059
5,1780,1.3,74836
5,1790,1.3,75505
5,1800,1.3,76454
5,1810,1.4,77234
5,1820,1.4,77855
5,1830,1.4,78581
5,1840,1.4,79442
5,1850,1.5,80279
5,1860,1.6,81541
5,1870,1.7,82437
5,1880,1.8,83322
5,1890,1.8,84058
5,1900,1.9,85094
5,1910,1.8,85830
5,1920,1.9,86689
5,1930,2.0,87812
5,1940,2.0,88771
5,1950,2.1,89828
5,1960,2.0,90852
5,1970,2.1,91885
5,1980,2.1,92839
5,1990,2.2,93890
5,2000,2.2,94898
5,2010,2.2,95720
5,2020,2.2,96487
5,2030,2.1,97413
5,2040,2.2,98472
5,2050,2.2,99467
