% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.1,230
99,20,0.1,454
99,30,0.0,682
99,40,0.1,952
98,50,0.0,1182
98,60,0.1,1529
98,70,0.1,1759
97,80,0.1,2230
97,90,0.2,2659
97,100,0.2,3055
96,110,0.2,3361
96,120,0.2,3757
96,130,0.3,4112
95,140,0.3,4488
95,150,0.3,4787
95,160,0.3,5043
94,170,0.3,5301
94,180,0.3,5577
94,190,0.2,5862
93,200,0.3,6458
93,210,0.3,6852
93,220,0.3,7078
92,230,0.3,7558
92,240,0.3,8185
91,250,0.4,8612
91,260,0.4,8838
91,270,0.4,9141
91,280,0.4,9369
90,290,0.4,9645
90,300,0.3,9920
90,310,0.3,10238
90,320,0.3,10462
89,330,0.2,10686
89,340,0.2,11077
89,350,0.2,11502
88,360,0.2,11851
88,370,0.2,12152
88,380,0.2,12382
87,390,0.2,12756
87,400,0.2,12984
87,410,0.2,13435
86,420,0.3,13923
86,430,0.3,14343
86,440,0.3,14691
85,450,0.3,15094
85,460,0.3,15490
85,470,0.3,15763
84,480,0.3,16062
84,490,0.3,16360
84,500,0.4,16762
83,510,0.3,17097
83,520,0.3,17370
83,530,0.2,17636
82,540,0.2,17939
82,550,0.2,18167
82,560,0.2,18473
82,570,0.2,18884
81,580,0.2,19179
81,590,0.2,19609
81,600,0.2,19863
80,610,0.2,20137
80,620,0.2,20566
80,630,0.2,20790
79,640,0.2,21102
79,650,0.2,21452
79,660,0.3,21784
79,670,0.2,22010
78,680,0.3,22468
78,690,0.2,22845
77,700,0.3,23162
77,710,0.3,23428
77,720,0.2,23656
77,730,0.2,24063
76,740,0.3,24460
76,750,0.2,24732
76,760,0.2,25038
75,770,0.3,25345
75,780,0.2,25720
75,790,0.2,25997
75,800,0.2,26280
74,810,0.2,26714
74,820,0.3,27045
74,830,0.2,27269
73,840,0.2,27641
73,850,0.3,28200
72,860,0.3,28500
72,870,0.3,28771
72,880,0.2,28997
72,890,0.3,29319
71,900,0.3,29619
71,910,0.2,29893
71,920,0.2,30244
70,930,0.3,30627
70,940,0.3,31098
69,950,0.3,31640
69,960,0.3,31992
69,970,0.3,32272
68,980,0.3,32665
68,990,0.3,33017
68,1000,0.3,33291
68,1010,0.4,33643
67,1020,0.3,33897
67,1030,0.4,34319
