% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.1,230
98,20,0.2,533
98,30,0.2,817
97,40,0.2,1119
97,50,0.2,1474
96,60,0.3,1903
95,70,0.3,2208
95,80,0.2,2430
94,90,0.2,2733
93,100,0.3,3231
92,110,0.3,3751
91,120,0.3,4187
90,130,0.4,4660
90,140,0.4,4986
89,150,0.4,5460
88,160,0.4,5690
87,170,0.4,6188
86,180,0.5,6686
86,190,0.5,7022
85,200,0.5,7498
84,210,0.5,8031
83,220,0.5,8387
82,230,0.4,8782
81,240,0.5,9345
80,250,0.5,9708
80,260,0.5,10056
79,270,0.5,10374
78,280,0.4,10670
78,290,0.4,11051
77,300,0.4,11486
76,310,0.5,12086
75,320,0.5,12439
74,330,0.5,12871
73,340,0.5,13295
72,350,0.5,13709
71,360,0.6,14306
70,370,0.6,14689
69,380,0.6,15240
68,390,0.7,15798
67,400,0.7,16275
66,410,0.7,16974
65,420,0.7,17524
63,430,0.8,18283
62,440,0.8,18803
61,450,0.9,19526
60,460,0.9,19947
59,470,1.0,20672
57,480,1.0,21355
56,490,1.0,22024
54,500,1.1,22885
53,510,1.1,23488
51,520,1.2,24286
50,530,1.1,24909
48,540,1.2,25784
46,550,1.4,26938
45,560,1.5,27754
43,570,1.6,28731
41,580,1.7,29717
39,590,1.7,30578
37,600,1.8,31654
35,610,1.9,32573
32,620,2.1,34047
31,630,2.1,34711
28,640,2.2,35967
26,650,2.3,37320
23,660,2.4,38624
20,670,2.6,39935
17,680,2.8,41801
13,690,3.0,43436
11,700,3.1,44838
8,710,3.2,46366
5,720,3.5,47931
1,730,3.9,49685
1,740,4.1,51675
1,750,4.4,53631
1,760,4.7,55875
1,770,4.8,57626
1,780,4.8,59208
1,790,4.9,61100
1,800,4.9,62295
1,810,5.2,64676
1,820,5.1,66777
1,830,5.2,68849
1,840,5.2,70969
1,850,5.3,73228
1,860,5.4,75673
1,870,5.6,78051
1,880,5.8,79690
1,890,5.7,81562
1,900,6.0,83560
1,910,5.9,85929
1,920,5.9,87634
1,930,5.8,89475
1,940,5.7,91433
1,950,5.7,93711
1,960,5.5,95335
1,970,5.4,97539
1,980,5.4,99859
1,990,5.6,102278
1,1000,5.5,104222
1,1010,5.6,106701
1,1020,5.7,108913
1,1030,5.9,111286
1,1040,5.9,113190
1,1050,5.9,115228
1,1060,5.9,117031
1,1070,5.8,118943
1,1080,5.6,120724
1,1090,5.5,122859
