% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.2,276
98,20,0.4,774
98,30,0.3,1000
97,40,0.3,1394
96,50,0.3,1694
96,60,0.3,1994
94,70,0.3,2571
94,80,0.4,3016
93,90,0.3,3242
92,100,0.3,3563
92,110,0.3,3991
91,120,0.3,4326
90,130,0.3,4554
90,140,0.3,5026
89,150,0.4,5444
88,160,0.4,5770
88,170,0.3,6049
87,180,0.3,6363
86,190,0.3,6591
86,200,0.3,6927
85,210,0.2,7284
84,220,0.3,7691
83,230,0.3,8237
83,240,0.3,8535
82,250,0.3,8987
81,260,0.4,9380
80,270,0.4,9707
80,280,0.4,9991
79,290,0.4,10481
78,300,0.5,11000
77,310,0.5,11332
76,320,0.5,11693
76,330,0.4,11944
75,340,0.4,12470
74,350,0.5,12942
73,360,0.5,13369
73,370,0.4,13619
72,380,0.4,13966
70,390,0.5,14649
70,400,0.5,15036
69,410,0.5,15640
68,420,0.5,16054
67,430,0.6,16480
66,440,0.6,16937
65,450,0.6,17333
64,460,0.6,18005
63,470,0.7,18571
61,480,0.8,19235
60,490,0.8,20011
58,500,0.9,20732
58,510,0.8,21116
57,520,0.9,21712
55,530,1.0,22508
54,540,1.0,23010
52,550,1.1,23771
50,560,1.2,24955
48,570,1.4,26102
46,580,1.4,26897
44,590,1.5,27979
42,600,1.7,29261
39,610,1.9,30504
37,620,2.0,31551
34,630,2.2,33092
32,640,2.5,34319
29,650,2.6,35589
27,660,2.5,36551
24,670,2.6,37893
22,680,2.7,39062
18,690,3.0,41055
15,700,3.1,42622
11,710,3.4,44784
7,720,3.6,46662
4,730,3.7,48295
1,740,4.0,50331
1,750,4.3,52446
1,760,4.5,54097
1,770,4.8,56329
1,780,5.2,58927
1,790,5.3,60801
1,800,5.6,63278
1,810,5.6,65193
1,820,5.5,66879
1,830,5.9,69548
1,840,6.0,72231
1,850,6.1,74721
1,860,6.5,77207
1,870,6.7,79780
1,880,6.7,82550
1,890,6.9,85318
1,900,6.8,87133
1,910,7.0,89745
1,920,7.2,91959
1,930,6.9,93753
1,940,6.7,95444
1,950,6.8,97962
1,960,6.6,100348
1,970,6.2,101839
1,980,5.9,103473
1,990,5.7,105344
1,1000,5.8,107546
1,1010,5.5,109418
1,1020,5.7,111667
1,1030,6.0,114570
1,1040,6.1,116610
1,1050,6.1,119067
1,1060,6.3,121120
1,1070,6.5,123283
1,1080,6.7,125605
1,1090,6.9,128366
1,1100,7.2,130949
1,1110,7.4,132787
1,1120,7.4,135137
1,1130,7.1,137253
1,1140,7.1,139145
1,1150,7.0,141300
1,1160,6.8,143627
1,1170,6.7,145855
1,1180,7.1,148932
1,1190,7.0,151252
1,1200,6.7,153614
1,1210,6.4,155017
1,1220,6.3,157287
1,1230,6.4,159834
1,1240,6.6,162522
1,1250,6.5,164469
1,1260,6.6,166389
1,1270,6.5,168317
1,1280,6.5,170737
1,1290,6.5,173294
1,1300,6.3,174918
1,1310,6.6,177179
1,1320,6.7,179249
1,1330,6.7,181388
1,1340,6.4,183289
1,1350,6.4,185445
1,1360,6.2,187042
1,1370,6.5,189309
1,1380,6.3,191804
1,1390,6.4,194521
1,1400,6.6,196682
1,1410,6.6,199036
1,1420,6.4,201164
1,1430,6.6,203780
1,1440,6.7,205885
1,1450,6.8,208261
1,1460,7.0,210804
1,1470,6.7,212681
1,1480,6.6,214826
1,1490,6.6,217138
1,1500,6.6,219634
1,1510,6.9,222567
1,1520,7.0,224986
1,1530,6.7,226940
1,1540,7.2,230197
1,1550,7.4,233100
1,1560,7.5,235599
1,1570,7.7,238075
1,1580,7.8,240428
1,1590,8.1,243436
1,1600,8.0,245596
1,1610,7.9,247988
1,1620,8.1,250277
1,1630,8.9,253264
1,1640,8.5,255610
1,1650,8.3,257924
1,1660,8.2,259799
1,1670,8.3,262241
1,1680,8.4,265142
1,1690,8.2,267406
1,1700,8.6,270228
1,1710,8.7,272796
1,1720,8.6,275095
1,1730,8.2,277653
1,1740,8.7,280621
1,1750,8.6,282628
1,1760,8.5,284807
1,1770,8.5,287584
1,1780,8.4,290146
1,1790,8.9,292623
1,1800,8.5,295196
1,1810,9.0,297654
1,1820,8.9,299964
1,1830,8.8,302766
1,1840,8.0,304202
1,1850,8.5,307716
1,1860,8.7,310372
1,1870,9.2,312505
1,1880,9.1,314687
1,1890,8.4,316914
1,1900,8.4,319143
1,1910,7.7,321518
1,1920,7.7,323703
1,1930,7.5,326021
1,1940,8.4,328975
1,1950,8.2,331564
1,1960,8.3,334451
1,1970,8.0,337227
1,1980,8.1,339295
1,1990,8.4,341472
1,2000,8.8,344716
1,2010,9.0,347873
1,2020,9.4,351210
1,2030,9.5,353710
1,2040,9.2,356252
1,2050,8.6,357711
1,2060,8.6,360503
1,2070,9.1,363636
1,2080,9.3,365833
1,2090,9.3,367784
1,2100,8.9,370061
1,2110,8.9,372724
1,2120,8.8,375276
1,2130,8.8,377985
1,2140,8.7,380359
1,2150,9.5,383658
1,2160,9.6,386213
1,2170,9.3,389288
1,2180,9.2,391519
1,2190,9.4,394173
1,2200,9.7,397385
1,2210,9.8,400287
1,2220,9.5,402535
1,2230,9.7,405020
