game,score
1,342.0
2,133.0
3,115.0
4,130.0
5,362.0
6,96.0
7,54.0
8,86.0
9,112.0
10,103.0
11,142.0
12,126.0
13,32.0
14,215.0
15,130.0
16,42.0
17,156.0
18,294.0
19,191.0
20,275.0
21,149.0
22,143.0
23,98.0
24,122.0
25,221.0
26,365.0
27,241.0
28,207.0
29,256.0
30,27.0
31,188.0
32,207.0
33,178.0
34,130.0
35,250.0
36,175.0
37,98.0
38,346.0
39,322.0
40,97.0
41,333.0
42,234.0
43,307.0
44,413.0
45,98.0
46,149.0
47,130.0
48,75.0
49,290.0
50,162.0
51,106.0
52,293.0
53,346.0
54,223.0
55,84.0
56,107.0
57,341.0
58,122.0
59,83.0
60,129.0
61,413.0
62,149.0
63,112.0
64,224.0
65,413.0
66,341.0
67,157.0
68,105.0
69,79.0
70,349.0
71,106.0
72,130.0
73,73.0
74,182.0
75,80.0
76,317.0
77,193.0
78,98.0
79,130.0
80,313.0
81,311.0
82,303.0
83,120.0
84,356.0
85,31.0
86,111.0
87,263.0
88,248.0
89,156.0
90,27.0
91,178.0
92,112.0
93,128.0
94,127.0
95,333.0
96,68.0
97,341.0
98,207.0
99,124.0
100,209.0
101,184.0
102,278.0
103,208.0
104,61.0
105,146.0
106,113.0
107,227.0
108,147.0
109,270.0
110,313.0
111,92.0
112,127.0
113,215.0
114,81.0
115,254.0
116,361.0
117,97.0
118,79.0
119,341.0
120,122.0
121,368.0
122,321.0
123,121.0
124,185.0
125,98.0
126,87.0
127,99.0
128,361.0
129,52.0
130,96.0
131,246.0
132,148.0
133,413.0
134,265.0
135,98.0
136,257.0
137,268.0
138,24.0
139,312.0
140,273.0
141,51.0
142,81.0
143,27.0
144,189.0
145,291.0
146,62.0
147,341.0
148,209.0
149,413.0
150,140.0
151,104.0
152,202.0
153,295.0
154,232.0
155,274.0
156,124.0
157,119.0
158,87.0
159,169.0
160,69.0
161,47.0
162,358.0
163,38.0
164,327.0
165,53.0
166,83.0
167,178.0
168,87.0
169,327.0
170,413.0
171,135.0
172,105.0
173,143.0
174,278.0
175,114.0
176,134.0
177,55.0
178,341.0
179,98.0
180,98.0
181,210.0
182,186.0
183,123.0
184,109.0
185,116.0
186,246.0
187,341.0
188,92.0
189,162.0
190,132.0
191,76.0
192,278.0
193,98.0
194,161.0
195,65.0
196,75.0
197,92.0
198,350.0
199,127.0
200,192.0
201,203.0
202,124.0
203,175.0
204,38.0
205,341.0
206,27.0
207,104.0
208,78.0
209,110.0
210,162.0
211,341.0
212,84.0
213,339.0
214,153.0
215,130.0
216,208.0
217,60.0
218,146.0
219,178.0
220,279.0
221,155.0
222,51.0
223,341.0
224,69.0
225,130.0
226,238.0
227,413.0
228,77.0
229,361.0
230,82.0
231,177.0
232,109.0
233,69.0
234,371.0
235,225.0
236,179.0
237,194.0
238,285.0
239,199.0
240,67.0
241,128.0
242,223.0
243,31.0
244,132.0
245,313.0
246,323.0
247,97.0
248,118.0
249,226.0
250,121.0
251,115.0
252,130.0
253,213.0
254,65.0
255,129.0
256,309.0
257,87.0
258,341.0
259,58.0
260,341.0
261,189.0
262,160.0
263,110.0
264,301.0
265,151.0
266,154.0
267,130.0
268,106.0
269,80.0
270,84.0
271,27.0
272,144.0
273,37.0
274,37.0
275,50.0
276,281.0
277,71.0
278,206.0
279,109.0
280,101.0
281,130.0
282,63.0
283,413.0
284,31.0
285,132.0
286,130.0
287,76.0
288,62.0
289,92.0
290,341.0
291,225.0
292,294.0
293,337.0
294,206.0
295,98.0
296,128.0
297,116.0
298,355.0
299,188.0
300,98.0
301,130.0
302,277.0
303,310.0
304,302.0
305,323.0
306,147.0
307,105.0
308,158.0
309,44.0
310,48.0
311,108.0
312,154.0
313,340.0
314,27.0
315,309.0
316,166.0
317,174.0
318,98.0
319,64.0
320,309.0
321,204.0
322,149.0
323,287.0
324,413.0
325,215.0
326,156.0
327,71.0
328,126.0
329,59.0
330,154.0
331,107.0
332,152.0
333,133.0
334,341.0
335,105.0
336,114.0
337,413.0
338,170.0
339,98.0
340,75.0
341,232.0
342,413.0
343,130.0
344,341.0
345,113.0
346,133.0
347,149.0
348,146.0
349,141.0
350,93.0
351,130.0
352,342.0
353,355.0
354,66.0
355,198.0
356,114.0
357,352.0
358,207.0
359,262.0
360,38.0
361,216.0
362,136.0
363,159.0
364,27.0
365,29.0
366,280.0
367,130.0
368,170.0
369,148.0
370,31.0
371,323.0
372,119.0
373,27.0
374,122.0
375,263.0
376,224.0
377,335.0
378,325.0
379,81.0
380,341.0
381,192.0
382,90.0
383,177.0
384,177.0
385,85.0
386,125.0
387,50.0
388,42.0
389,195.0
390,110.0
391,98.0
392,88.0
393,130.0
394,135.0
395,27.0
396,130.0
