% time spent exploring,episodes,mean 100 episode reward,steps
97,10,0.2,279
90,20,0.7,958
87,30,0.5,1232
81,40,0.6,1828
77,50,0.6,2223
75,60,0.5,2497
72,70,0.4,2774
69,80,0.4,3077
64,90,0.4,3545
61,100,0.4,3929
58,110,0.4,4205
56,120,0.3,4433
53,130,0.3,4707
51,140,0.2,4935
48,150,0.2,5165
45,160,0.2,5514
42,170,0.2,5800
40,180,0.2,6030
35,190,0.2,6508
33,200,0.1,6736
30,210,0.1,7015
28,220,0.1,7245
24,230,0.2,7649
18,240,0.2,8194
16,250,0.2,8420
14,260,0.2,8676
11,270,0.2,8906
9,280,0.2,9136
3,290,0.2,9761
1,300,0.2,10042
1,310,0.2,10272
1,320,0.2,10500
1,330,0.2,10920
1,340,0.3,11646
1,350,0.4,12001
1,360,0.4,12308
1,370,0.4,12633
1,380,0.4,12863
1,390,0.4,13374
1,400,0.4,13851
1,410,0.5,14220
1,420,0.5,14448
1,430,0.5,14888
1,440,0.3,15118
1,450,0.3,15417
1,460,0.3,15817
1,470,0.3,16124
1,480,0.3,16421
1,490,0.2,16647
1,500,0.2,16923
1,510,0.2,17143
1,520,0.2,17415
1,530,0.2,17880
1,540,0.2,18274
1,550,0.2,18496
1,560,0.2,18815
1,570,0.2,19200
1,580,0.2,19473
1,590,0.2,19846
1,600,0.3,20271
1,610,0.3,20597
1,620,0.3,20927
1,630,0.3,21229
1,640,0.2,21530
1,650,0.3,21815
1,660,0.3,22240
1,670,0.3,22674
1,680,0.3,22949
1,690,0.3,23328
1,700,0.3,23558
1,710,0.3,23957
1,720,0.3,24183
1,730,0.2,24435
1,740,0.2,24716
1,750,0.2,25015
1,760,0.2,25284
1,770,0.2,25557
1,780,0.2,25856
1,790,0.1,26082
1,800,0.1,26354
1,810,0.2,26780
1,820,0.2,27064
1,830,0.2,27320
1,840,0.2,27746
1,850,0.2,28045
1,860,0.2,28417
1,870,0.3,28885
1,880,0.3,29182
1,890,0.3,29458
1,900,0.3,29710
1,910,0.3,30170
1,920,0.3,30560
1,930,0.4,31214
1,940,0.4,31563
1,950,0.4,31877
1,960,0.4,32278
1,970,0.4,32583
1,980,0.4,32837
1,990,0.4,33093
1,1000,0.4,33401
1,1010,0.4,33648
1,1020,0.3,33901
1,1030,0.2,34125
1,1040,0.2,34377
1,1050,0.2,34624
1,1060,0.1,34842
1,1070,0.1,35070
1,1080,0.1,35294
1,1090,0.1,35550
1,1100,0.1,35834
1,1110,0.1,36060
1,1120,0.0,36288
1,1130,0.1,36573
1,1140,0.1,36799
1,1150,0.1,37260
1,1160,0.2,37657
1,1170,0.2,38016
1,1180,0.3,38488
1,1190,0.2,38718
1,1200,0.2,38976
1,1210,0.2,39255
1,1220,0.3,39573
1,1230,0.3,39924
1,1240,0.3,40199
1,1250,0.3,40650
1,1260,0.3,41017
1,1270,0.3,41345
1,1280,0.2,41620
1,1290,0.2,41907
1,1300,0.3,42547
1,1310,0.3,42801
1,1320,0.4,43322
1,1330,0.4,43830
1,1340,0.4,44135
1,1350,0.4,44516
1,1360,0.5,45102
1,1370,0.5,45433
1,1380,0.5,45820
1,1390,0.6,46342
1,1400,0.5,46730
1,1410,0.6,47111
1,1420,0.5,47493
1,1430,0.6,48130
1,1440,0.7,48655
1,1450,0.7,48966
1,1460,0.6,49467
1,1470,0.7,50071
1,1480,0.7,50509
1,1490,0.7,51111
1,1500,0.8,51725
1,1510,0.8,52103
1,1520,0.9,52868
1,1530,0.8,53427
1,1540,0.9,54153
1,1550,0.9,54700
1,1560,0.9,55078
1,1570,0.9,55822
1,1580,0.9,56106
1,1590,1.0,56781
1,1600,0.9,57406
1,1610,0.9,57836
1,1620,0.9,58618
1,1630,1.0,59362
1,1640,0.9,59897
1,1650,0.9,60374
1,1660,1.0,60981
1,1670,1.0,61843
1,1680,1.2,62430
1,1690,1.1,62876
1,1700,1.3,63523
1,1710,1.4,64219
1,1720,1.4,64939
1,1730,1.4,65480
1,1740,1.4,66092
1,1750,1.4,66715
1,1760,1.4,67264
1,1770,1.3,67835
1,1780,1.2,68383
1,1790,1.2,68821
1,1800,0.9,69319
1,1810,0.8,69717
1,1820,0.8,70357
1,1830,0.8,70829
1,1840,0.8,71229
1,1850,0.8,71741
1,1860,0.8,72439
1,1870,0.9,73061
1,1880,1.0,74070
1,1890,1.1,74754
1,1900,1.2,75404
1,1910,1.4,76313
1,1920,1.4,76788
1,1930,1.4,77416
1,1940,1.5,77957
1,1950,1.8,78696
1,1960,1.7,79254
1,1970,1.7,79790
1,1980,1.7,80777
1,1990,1.7,81142
1,2000,1.8,81799
1,2010,1.7,82418
1,2020,1.7,83263
1,2030,1.8,83960
1,2040,1.8,84619
1,2050,1.6,85048
1,2060,1.5,85428
1,2070,1.6,86095
1,2080,1.4,86565
1,2090,1.5,87216
1,2100,1.3,87785
1,2110,1.3,88632
1,2120,1.3,89309
1,2130,1.2,89998
1,2140,1.3,90947
1,2150,1.5,91745
1,2160,1.9,92533
1,2170,2.0,93225
1,2180,2.2,94075
1,2190,2.3,95037
1,2200,2.4,95957
1,2210,2.4,96712
1,2220,2.4,97514
1,2230,2.3,98013
1,2240,2.4,98869
1,2250,2.4,99526
