game,score
1,74.0
2,49.0
3,307.0
4,205.0
5,59.0
6,54.0
7,54.0
8,29.0
9,75.0
10,44.0
11,132.0
12,90.0
13,109.0
14,31.0
15,35.0
16,374.0
17,348.0
18,423.0
19,38.0
20,229.0
21,35.0
22,49.0
23,36.0
24,29.0
25,25.0
26,26.0
27,156.0
28,339.0
29,355.0
30,175.0
31,26.0
32,300.0
33,163.0
34,169.0
35,64.0
36,27.0
37,132.0
38,37.0
39,157.0
40,208.0
41,322.0
42,19.0
43,29.0
44,67.0
45,335.0
46,267.0
47,21.0
48,39.0
49,51.0
50,140.0
51,42.0
52,91.0
53,115.0
54,360.0
55,339.0
56,19.0
57,23.0
58,42.0
59,38.0
60,40.0
61,181.0
62,54.0
63,343.0
64,54.0
65,34.0
66,23.0
67,188.0
68,27.0
69,54.0
70,342.0
71,371.0
72,54.0
73,304.0
74,27.0
75,35.0
76,132.0
77,37.0
78,256.0
79,42.0
80,27.0
81,62.0
82,49.0
83,59.0
84,306.0
85,33.0
86,37.0
87,69.0
88,42.0
89,47.0
90,177.0
91,402.0
92,318.0
93,35.0
94,306.0
95,25.0
96,30.0
97,26.0
98,29.0
99,306.0
100,79.0
101,371.0
102,36.0
103,33.0
104,415.0
105,25.0
106,249.0
107,101.0
108,358.0
109,54.0
110,54.0
111,249.0
112,28.0
113,29.0
114,19.0
115,382.0
116,25.0
117,243.0
118,304.0
119,84.0
120,29.0
121,50.0
122,72.0
123,51.0
124,102.0
125,320.0
126,306.0
127,287.0
128,306.0
129,276.0
130,54.0
131,352.0
132,54.0
133,237.0
134,36.0
135,113.0
136,346.0
137,52.0
138,372.0
139,30.0
140,132.0
141,320.0
142,171.0
143,44.0
144,18.0
145,305.0
146,23.0
147,70.0
148,132.0
149,347.0
150,153.0
151,36.0
152,244.0
153,22.0
154,324.0
155,273.0
156,244.0
157,26.0
158,370.0
159,279.0
160,39.0
161,35.0
162,132.0
163,360.0
164,52.0
165,328.0
166,388.0
167,26.0
168,347.0
169,45.0
170,17.0
171,241.0
172,29.0
173,132.0
174,62.0
175,24.0
176,28.0
177,16.0
178,54.0
179,279.0
180,213.0
181,18.0
182,26.0
183,227.0
184,30.0
185,63.0
186,177.0
187,94.0
188,23.0
189,72.0
190,22.0
191,235.0
192,37.0
193,387.0
194,54.0
195,34.0
196,355.0
197,306.0
198,132.0
199,58.0
200,359.0
201,300.0
202,47.0
203,74.0
204,276.0
205,56.0
206,111.0
207,379.0
208,279.0
209,328.0
210,388.0
211,320.0
212,26.0
213,69.0
214,68.0
215,242.0
216,36.0
217,27.0
218,69.0
219,306.0
220,332.0
221,114.0
222,64.0
223,405.0
224,28.0
225,28.0
226,38.0
227,306.0
228,132.0
229,34.0
230,375.0
231,30.0
232,132.0
233,41.0
234,153.0
235,26.0
236,129.0
237,306.0
238,43.0
239,301.0
240,330.0
241,40.0
242,238.0
243,27.0
244,42.0
245,306.0
246,370.0
247,54.0
248,30.0
249,79.0
250,306.0
251,74.0
252,54.0
253,27.0
254,21.0
255,54.0
256,382.0
257,41.0
258,139.0
259,83.0
260,382.0
261,132.0
262,320.0
263,65.0
264,336.0
265,57.0
266,364.0
267,267.0
268,36.0
269,39.0
270,135.0
271,173.0
272,70.0
273,111.0
274,306.0
275,336.0
276,38.0
277,39.0
278,72.0
279,69.0
280,29.0
281,282.0
282,405.0
283,36.0
284,28.0
285,209.0
286,39.0
287,81.0
288,306.0
289,376.0
290,19.0
291,22.0
292,201.0
293,185.0
294,362.0
295,288.0
296,268.0
297,29.0
298,36.0
299,185.0
300,79.0
301,347.0
302,249.0
303,19.0
304,374.0
305,28.0
306,217.0
307,20.0
308,50.0
309,364.0
310,348.0
311,47.0
312,325.0
313,382.0
314,299.0
315,34.0
316,58.0
317,258.0
318,31.0
319,91.0
320,19.0
321,48.0
322,40.0
323,33.0
324,31.0
325,336.0
326,30.0
327,54.0
328,81.0
329,372.0
330,54.0
331,342.0
332,360.0
333,44.0
334,28.0
335,104.0
336,67.0
337,88.0
338,226.0
339,92.0
340,54.0
341,345.0
342,157.0
343,41.0
344,54.0
345,250.0
346,336.0
347,304.0
348,92.0
349,35.0
350,54.0
351,132.0
352,373.0
353,24.0
354,48.0
355,326.0
356,23.0
357,27.0
358,16.0
359,167.0
360,344.0
361,40.0
362,237.0
363,139.0
364,32.0
365,370.0
366,304.0
367,28.0
368,132.0
369,41.0
370,306.0
371,66.0
372,21.0
373,313.0
374,38.0
375,79.0
376,54.0
377,88.0
378,276.0
379,289.0
380,27.0
381,88.0
382,61.0
383,47.0
384,39.0
385,17.0
386,322.0
