% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.9,531
99,20,0.8,1003
98,30,0.7,1397
98,40,0.6,1744
97,50,0.6,2164
97,60,0.5,2418
97,70,0.6,2995
96,80,0.5,3295
96,90,0.5,3713
96,100,0.5,4002
95,110,0.4,4306
95,120,0.4,4623
95,130,0.4,4984
94,140,0.4,5210
94,150,0.3,5561
94,160,0.3,5885
93,170,0.3,6201
93,180,0.3,6629
93,190,0.3,6952
92,200,0.2,7226
92,210,0.2,7500
92,220,0.2,7730
92,230,0.2,8030
91,240,0.2,8438
91,250,0.2,8907
90,260,0.2,9233
90,270,0.2,9508
90,280,0.2,9778
90,290,0.2,10034
89,300,0.2,10308
89,310,0.2,10689
89,320,0.2,10949
88,330,0.2,11171
88,340,0.2,11471
88,350,0.1,11699
88,360,0.1,11975
87,370,0.2,12450
87,380,0.2,12720
87,390,0.2,12990
86,400,0.2,13342
86,410,0.2,13568
86,420,0.2,14041
85,430,0.2,14390
85,440,0.2,14711
85,450,0.3,15068
84,460,0.3,15340
84,470,0.3,15785
83,480,0.3,16257
83,490,0.4,16765
83,500,0.4,17070
82,510,0.4,17516
82,520,0.4,17915
81,530,0.4,18195
81,540,0.4,18546
81,550,0.4,18825
81,560,0.4,19161
80,570,0.4,19585
80,580,0.4,19908
79,590,0.3,20257
79,600,0.4,20732
79,610,0.3,21002
78,620,0.3,21276
78,630,0.3,21502
78,640,0.2,21728
78,650,0.2,21952
78,660,0.2,22222
77,670,0.2,22546
77,680,0.2,22869
77,690,0.2,23168
76,700,0.1,23486
76,710,0.1,23863
76,720,0.1,24085
75,730,0.2,24385
75,740,0.2,24707
75,750,0.2,25058
74,760,0.2,25284
74,770,0.2,25559
74,780,0.2,25785
73,790,0.2,26280
73,800,0.2,26600
73,810,0.2,27016
72,820,0.3,27520
72,830,0.3,27824
72,840,0.3,28184
71,850,0.3,28685
71,860,0.3,28943
71,870,0.3,29201
70,880,0.4,29455
70,890,0.3,29739
70,900,0.3,29969
70,910,0.3,30271
69,920,0.2,30650
69,930,0.3,31076
68,940,0.3,31507
68,950,0.2,31858
68,960,0.2,32114
67,970,0.2,32415
67,980,0.3,32864
67,990,0.3,33092
66,1000,0.3,33395
66,1010,0.3,33652
66,1020,0.3,34035
66,1030,0.2,34289
65,1040,0.2,34517
65,1050,0.2,34745
65,1060,0.2,35096
64,1070,0.2,35432
64,1080,0.2,35735
64,1090,0.2,36064
64,1100,0.2,36294
63,1110,0.2,36569
63,1120,0.2,36901
63,1130,0.2,37278
62,1140,0.2,37688
62,1150,0.3,37977
62,1160,0.3,38382
61,1170,0.3,38914
61,1180,0.3,39310
60,1190,0.4,39668
60,1200,0.4,39942
60,1210,0.4,40313
59,1220,0.4,40723
59,1230,0.4,41189
58,1240,0.4,41598
58,1250,0.4,41943
57,1260,0.4,42479
57,1270,0.4,42879
57,1280,0.4,43244
56,1290,0.4,43747
55,1300,0.6,44476
55,1310,0.6,45012
55,1320,0.6,45406
54,1330,0.6,45692
54,1340,0.5,45999
53,1350,0.6,46502
53,1360,0.5,46878
53,1370,0.6,47330
52,1380,0.6,48028
51,1390,0.7,48598
51,1400,0.6,49132
50,1410,0.6,49505
50,1420,0.5,49777
50,1430,0.6,50444
49,1440,0.7,51022
48,1450,0.8,51674
48,1460,0.8,52100
48,1470,0.8,52469
47,1480,0.8,53144
46,1490,0.8,53987
45,1500,0.8,54555
45,1510,0.8,55074
44,1520,1.0,55865
44,1530,0.9,56197
43,1540,1.0,56767
43,1550,0.9,57386
42,1560,1.0,57918
42,1570,1.0,58457
41,1580,0.9,58820
41,1590,0.9,59396
40,1600,1.1,60137
39,1610,1.1,60625
39,1620,1.0,61130
38,1630,1.1,61725
38,1640,1.2,62622
37,1650,1.3,63354
36,1660,1.4,64230
35,1670,1.5,65109
35,1680,1.5,65506
34,1690,1.5,66133
33,1700,1.4,66791
33,1710,1.4,67356
32,1720,1.4,67826
32,1730,1.4,68511
31,1740,1.2,69197
30,1750,1.2,69721
30,1760,1.2,70609
29,1770,1.2,71505
28,1780,1.3,72229
27,1790,1.3,72892
26,1800,1.4,73801
26,1810,1.4,74335
25,1820,1.4,74926
25,1830,1.4,75478
24,1840,1.4,76032
23,1850,1.4,76815
23,1860,1.3,77388
22,1870,1.2,78072
21,1880,1.3,78973
21,1890,1.4,79723
20,1900,1.4,80590
19,1910,1.4,81173
19,1920,1.5,81746
18,1930,1.5,82298
17,1940,1.6,83210
16,1950,1.6,83992
16,1960,1.6,84677
15,1970,1.7,85403
14,1980,1.8,86393
13,1990,1.8,87400
12,2000,2.0,88440
11,2010,2.0,89374
10,2020,2.1,90362
9,2030,2.3,91411
8,2040,2.5,92715
7,2050,2.6,93855
6,2060,2.7,94636
5,2070,2.8,95723
4,2080,2.6,96350
3,2090,2.6,97261
2,2100,2.6,98370
1,2110,2.6,99262
