% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.1,252
98,20,0.2,603
98,30,0.2,859
97,40,0.1,1081
97,50,0.2,1450
96,60,0.2,1770
95,70,0.2,2145
95,80,0.2,2371
94,90,0.3,2962
93,100,0.2,3190
93,110,0.2,3464
92,120,0.2,3865
91,130,0.2,4140
91,140,0.3,4443
90,150,0.2,4766
89,160,0.3,5119
89,170,0.2,5436
88,180,0.2,5692
88,190,0.2,5920
87,200,0.2,6284
86,210,0.3,6814
85,220,0.3,7276
84,230,0.3,7661
84,240,0.4,8038
83,250,0.4,8553
82,260,0.4,9010
81,270,0.4,9313
80,280,0.4,9662
80,290,0.5,9918
79,300,0.4,10172
78,310,0.4,10695
78,320,0.4,11024
77,330,0.4,11570
75,340,0.5,12252
74,350,0.5,12630
74,360,0.5,13031
73,370,0.5,13553
72,380,0.5,14012
70,390,0.6,14666
70,400,0.7,15140
69,410,0.6,15531
68,420,0.6,15811
67,430,0.6,16416
66,440,0.6,16899
65,450,0.6,17309
64,460,0.6,17774
63,470,0.7,18404
62,480,0.7,19040
61,490,0.7,19633
59,500,0.8,20239
58,510,0.8,20805
57,520,0.9,21507
56,530,0.9,22142
54,540,1.0,22848
53,550,1.1,23641
51,560,1.2,24406
50,570,1.1,24752
49,580,1.2,25676
47,590,1.2,26306
46,600,1.2,27113
44,610,1.4,28121
42,620,1.3,28822
40,630,1.5,30046
38,640,1.5,30944
36,650,1.6,32135
34,660,1.7,33086
32,670,1.9,34187
30,680,1.9,35085
28,690,2.0,36070
26,700,2.1,37223
23,710,2.2,38564
21,720,2.4,39796
18,730,2.5,41189
15,740,2.6,42560
12,750,2.8,44058
10,760,2.9,45387
7,770,3.0,46955
3,780,3.3,48700
1,790,3.9,50625
1,800,4.2,52638
1,810,4.3,54401
1,820,4.7,56796
1,830,4.8,58744
1,840,5.0,60374
1,850,5.0,61748
1,860,5.2,63810
1,870,5.7,66117
1,880,5.7,67972
1,890,5.4,70143
1,900,5.5,72442
1,910,5.5,74059
1,920,5.4,76077
1,930,5.6,78596
1,940,5.5,80034
1,950,5.4,81097
1,960,5.3,82802
1,970,4.8,84344
1,980,4.9,86211
1,990,4.8,87888
1,1000,4.7,90009
1,1010,5.0,92462
1,1020,4.9,94340
1,1030,4.9,96721
1,1040,5.2,99180
1,1050,5.5,101437
1,1060,5.4,102666
1,1070,5.7,104560
1,1080,5.7,106413
1,1090,5.9,108218
1,1100,5.8,110004
1,1110,5.6,111872
1,1120,5.7,114363
1,1130,5.8,116786
1,1140,5.6,119022
1,1150,5.5,120860
1,1160,5.6,122407
1,1170,5.6,124844
1,1180,5.9,127598
1,1190,5.8,129674
1,1200,6.0,131788
1,1210,6.0,133565
1,1220,5.8,135316
1,1230,5.6,137248
1,1240,5.5,138860
1,1250,5.7,141487
1,1260,5.9,143626
1,1270,5.9,145957
1,1280,5.5,147609
1,1290,5.4,149513
1,1300,5.2,151032
1,1310,5.3,153437
1,1320,5.4,155251
1,1330,5.4,157403
1,1340,5.8,159915
1,1350,5.5,161560
1,1360,5.5,163706
1,1370,5.2,165217
1,1380,5.2,166875
1,1390,5.1,168260
1,1400,5.4,170807
1,1410,5.3,172808
1,1420,5.3,174418
1,1430,5.3,176859
1,1440,5.0,178563
1,1450,5.4,181348
1,1460,5.2,182743
1,1470,5.2,184477
1,1480,5.4,186489
1,1490,5.6,188608
1,1500,5.7,190832
1,1510,5.7,192972
1,1520,5.8,195166
1,1530,5.8,197328
1,1540,6.1,199883
1,1550,6.0,202189
1,1560,6.2,204440
1,1570,6.5,207263
1,1580,6.8,209864
1,1590,6.8,212260
1,1600,6.8,214821
1,1610,6.7,216727
1,1620,6.8,218996
1,1630,6.7,221086
1,1640,6.8,223833
1,1650,6.7,225947
1,1660,6.7,228293
1,1670,6.7,230957
1,1680,6.3,232411
1,1690,6.4,234937
1,1700,6.3,237343
1,1710,6.4,239441
1,1720,6.5,242069
1,1730,6.9,244647
1,1740,6.8,246873
1,1750,6.6,248569
1,1760,6.6,250564
1,1770,6.8,253254
1,1780,7.4,255641
1,1790,7.2,257555
1,1800,7.1,259676
1,1810,7.4,262666
1,1820,7.1,264519
1,1830,6.6,265982
1,1840,6.6,268065
1,1850,6.8,269990
1,1860,6.8,272115
1,1870,6.5,274656
1,1880,6.1,276752
1,1890,6.0,278247
1,1900,5.8,280161
1,1910,5.5,281908
1,1920,5.8,284597
1,1930,6.2,287445
1,1940,6.5,290573
1,1950,6.7,293203
1,1960,7.0,295893
1,1970,6.9,298054
1,1980,7.0,300620
1,1990,7.3,302949
1,2000,7.7,305538
1,2010,7.8,307623
1,2020,7.5,309300
1,2030,7.2,311324
1,2040,6.9,313864
1,2050,6.7,315710
1,2060,6.7,318628
1,2070,6.8,321079
1,2080,6.7,323493
1,2090,6.8,325827
1,2100,6.6,328228
1,2110,6.6,330605
1,2120,6.9,333583
1,2130,6.9,335517
1,2140,6.9,338195
1,2150,7.1,340393
1,2160,6.8,342483
1,2170,7.4,345512
1,2180,7.2,347717
1,2190,7.1,349687
1,2200,7.1,352145
1,2210,7.1,354370
1,2220,6.9,356346
1,2230,7.2,359105
1,2240,7.4,361897
1,2250,7.2,363971
1,2260,7.2,366301
1,2270,7.0,368713
1,2280,7.0,370535
1,2290,7.2,373322
1,2300,7.1,375292
1,2310,6.9,377090
1,2320,6.7,378412
1,2330,6.5,380276
1,2340,5.9,381703
1,2350,6.4,384819
1,2360,6.5,387142
1,2370,6.2,389579
1,2380,6.1,391233
1,2390,6.0,393221
1,2400,6.3,396006
1,2410,6.5,398217
1,2420,7.0,400799
1,2430,7.4,403065
1,2440,7.8,405825
1,2450,7.6,408705
1,2460,7.7,411600
1,2470,7.7,413928
1,2480,8.0,416601
1,2490,8.1,418924
1,2500,7.8,421056
1,2510,7.8,423543
1,2520,7.6,425714
1,2530,7.5,428254
1,2540,7.1,429988
1,2550,7.0,432401
1,2560,6.8,434325
1,2570,6.8,436857
1,2580,6.7,439157
1,2590,6.5,441104
1,2600,6.6,443762
1,2610,6.4,445619
1,2620,6.4,447797
1,2630,6.3,449751
1,2640,6.7,452356
1,2650,6.9,455060
1,2660,7.0,457415
1,2670,6.8,459601
1,2680,7.2,462844
1,2690,7.2,464906
1,2700,7.0,466950
1,2710,7.2,469223
1,2720,7.4,471663
1,2730,7.6,474954
1,2740,7.9,477638
1,2750,7.8,480464
1,2760,7.8,482618
1,2770,7.9,484998
1,2780,7.6,487186
1,2790,8.0,488969
1,2800,8.0,491128
1,2810,8.3,494174
1,2820,8.2,496284
1,2830,7.9,498758
