game,score
1,63.0
2,85.0
3,67.0
4,48.0
5,86.0
6,62.0
7,65.0
8,77.0
9,54.0
10,45.0
11,47.0
12,42.0
13,48.0
14,74.0
15,67.0
16,82.0
17,81.0
18,57.0
19,117.0
20,85.0
21,58.0
22,55.0
23,69.0
24,86.0
25,67.0
26,85.0
27,80.0
28,67.0
29,101.0
30,53.0
31,87.0
32,67.0
33,80.0
34,67.0
35,60.0
36,67.0
37,75.0
38,85.0
39,93.0
40,110.0
41,107.0
42,67.0
43,71.0
44,53.0
45,63.0
46,42.0
47,71.0
48,89.0
49,155.0
50,41.0
51,67.0
52,66.0
53,65.0
54,47.0
55,67.0
56,105.0
57,60.0
58,32.0
59,76.0
60,85.0
61,93.0
62,52.0
63,113.0
64,60.0
65,82.0
66,81.0
67,67.0
68,70.0
69,57.0
70,92.0
71,85.0
72,70.0
73,69.0
74,67.0
75,67.0
76,105.0
77,38.0
78,71.0
79,72.0
80,67.0
81,58.0
82,67.0
83,63.0
84,51.0
85,51.0
86,54.0
87,60.0
88,50.0
89,69.0
90,60.0
91,67.0
92,64.0
93,304.0
94,68.0
95,62.0
96,44.0
97,232.0
98,79.0
99,79.0
100,80.0
101,46.0
102,27.0
103,106.0
104,69.0
105,67.0
106,81.0
107,85.0
108,57.0
109,53.0
110,67.0
111,54.0
112,101.0
113,33.0
114,68.0
115,77.0
116,84.0
117,53.0
118,64.0
119,85.0
120,67.0
121,79.0
122,67.0
123,179.0
124,46.0
125,117.0
126,76.0
127,239.0
128,66.0
129,48.0
130,95.0
131,77.0
132,39.0
133,69.0
134,67.0
135,67.0
136,77.0
137,90.0
138,81.0
139,77.0
140,52.0
141,37.0
142,76.0
143,66.0
144,130.0
145,91.0
146,53.0
147,67.0
148,76.0
149,61.0
150,72.0
151,69.0
152,61.0
153,173.0
154,77.0
155,67.0
156,95.0
157,156.0
158,76.0
159,59.0
160,43.0
161,54.0
162,65.0
163,281.0
164,47.0
165,121.0
166,86.0
167,39.0
168,67.0
169,27.0
170,58.0
171,70.0
172,67.0
173,50.0
174,335.0
175,73.0
176,69.0
177,79.0
178,104.0
179,69.0
180,62.0
181,61.0
182,67.0
183,120.0
184,34.0
185,78.0
186,138.0
187,304.0
188,81.0
189,53.0
190,87.0
191,113.0
192,157.0
193,69.0
194,67.0
195,77.0
196,45.0
197,212.0
198,38.0
199,114.0
200,85.0
201,74.0
202,50.0
203,61.0
204,325.0
205,74.0
206,58.0
207,49.0
208,109.0
209,75.0
210,102.0
211,85.0
212,49.0
213,79.0
214,67.0
215,59.0
216,71.0
217,50.0
218,67.0
219,71.0
220,67.0
221,32.0
222,64.0
223,95.0
224,67.0
225,51.0
226,106.0
227,71.0
228,52.0
229,63.0
230,78.0
231,54.0
232,69.0
233,52.0
234,44.0
235,161.0
236,59.0
237,66.0
238,67.0
239,81.0
240,156.0
241,85.0
242,67.0
243,218.0
244,85.0
245,74.0
246,37.0
247,49.0
248,44.0
249,67.0
250,67.0
251,96.0
252,55.0
253,51.0
254,75.0
255,86.0
256,92.0
257,82.0
258,45.0
259,63.0
260,72.0
261,86.0
262,212.0
263,90.0
264,62.0
265,79.0
266,51.0
267,112.0
268,42.0
269,72.0
270,38.0
271,214.0
272,55.0
273,67.0
274,58.0
275,43.0
276,51.0
277,86.0
278,67.0
279,78.0
280,40.0
281,51.0
282,45.0
283,73.0
284,44.0
285,88.0
286,77.0
287,256.0
288,125.0
289,81.0
290,67.0
291,76.0
292,101.0
293,96.0
294,68.0
295,79.0
296,55.0
297,67.0
298,85.0
299,100.0
300,105.0
301,57.0
302,69.0
303,38.0
304,67.0
305,60.0
306,66.0
307,167.0
308,72.0
309,72.0
310,69.0
311,53.0
312,100.0
313,73.0
314,67.0
315,248.0
316,31.0
317,67.0
318,92.0
319,71.0
320,170.0
321,118.0
322,94.0
323,62.0
324,50.0
325,53.0
326,117.0
327,65.0
328,71.0
329,38.0
330,82.0
331,69.0
332,67.0
333,76.0
334,62.0
335,65.0
336,76.0
337,82.0
338,86.0
339,85.0
340,69.0
341,63.0
342,70.0
343,59.0
344,44.0
345,67.0
346,71.0
347,67.0
348,68.0
349,107.0
350,48.0
351,98.0
352,85.0
353,180.0
354,39.0
355,85.0
356,109.0
357,32.0
358,49.0
359,112.0
360,36.0
361,57.0
362,52.0
363,76.0
364,69.0
365,69.0
366,83.0
367,69.0
368,150.0
369,74.0
370,94.0
371,58.0
372,113.0
373,66.0
374,188.0
375,44.0
376,51.0
377,62.0
378,335.0
379,84.0
380,131.0
381,69.0
382,40.0
383,63.0
384,48.0
385,88.0
386,90.0
387,67.0
388,88.0
389,85.0
390,67.0
391,68.0
392,38.0
393,93.0
394,58.0
395,45.0
396,45.0
397,38.0
398,64.0
399,73.0
400,85.0
401,57.0
402,65.0
403,45.0
404,58.0
405,95.0
406,67.0
407,67.0
408,115.0
409,38.0
410,86.0
411,118.0
412,76.0
413,85.0
414,94.0
415,64.0
416,38.0
417,32.0
418,113.0
419,61.0
420,68.0
421,46.0
422,51.0
423,51.0
424,83.0
425,38.0
426,40.0
427,88.0
428,158.0
429,68.0
430,38.0
431,63.0
432,67.0
433,240.0
434,51.0
435,93.0
436,185.0
437,75.0
438,71.0
439,65.0
440,85.0
441,85.0
442,77.0
443,65.0
444,62.0
445,70.0
446,206.0
447,69.0
448,67.0
449,63.0
450,82.0
451,82.0
452,53.0
453,69.0
454,67.0
455,63.0
456,38.0
457,94.0
458,90.0
459,86.0
460,76.0
461,85.0
462,67.0
463,69.0
464,67.0
465,47.0
466,71.0
467,96.0
468,71.0
469,206.0
470,48.0
471,92.0
472,76.0
473,67.0
474,70.0
475,253.0
476,53.0
477,42.0
478,65.0
479,79.0
480,88.0
481,67.0
482,69.0
483,81.0
484,85.0
485,65.0
486,63.0
487,62.0
488,45.0
489,67.0
490,69.0
491,90.0
492,42.0
493,53.0
494,103.0
495,56.0
496,85.0
497,87.0
498,90.0
499,89.0
500,66.0
501,67.0
502,38.0
503,47.0
504,73.0
505,42.0
506,96.0
507,71.0
508,81.0
509,37.0
510,53.0
511,67.0
512,72.0
513,67.0
514,85.0
515,48.0
516,53.0
517,52.0
518,81.0
519,63.0
520,55.0
521,63.0
522,35.0
523,67.0
524,43.0
525,68.0
526,38.0
527,54.0
528,67.0
529,118.0
530,55.0
531,45.0
532,88.0
533,67.0
534,80.0
535,67.0
536,85.0
537,47.0
538,70.0
539,77.0
540,102.0
541,117.0
542,76.0
543,67.0
544,51.0
545,109.0
546,71.0
547,70.0
548,31.0
549,73.0
550,88.0
551,73.0
552,111.0
553,34.0
554,70.0
555,65.0
556,29.0
557,62.0
558,75.0
559,71.0
560,59.0
561,150.0
562,62.0
563,71.0
564,75.0
565,63.0
566,69.0
567,332.0
568,55.0
569,60.0
570,67.0
571,45.0
572,80.0
573,68.0
574,69.0
575,38.0
576,77.0
577,94.0
578,53.0
579,353.0
580,42.0
581,70.0
582,85.0
583,85.0
584,61.0
585,96.0
586,58.0
587,69.0
588,85.0
589,69.0
590,101.0
591,53.0
592,69.0
593,127.0
594,68.0
595,155.0
596,85.0
597,315.0
598,44.0
599,121.0
600,45.0
601,69.0
602,39.0
603,63.0
604,75.0
605,79.0
606,37.0
607,41.0
608,65.0
609,51.0
610,98.0
611,63.0
612,79.0
613,146.0
614,67.0
615,73.0
616,52.0
617,67.0
618,46.0
619,332.0
620,69.0
621,54.0
622,71.0
623,82.0
624,94.0
625,61.0
626,105.0
627,67.0
628,67.0
629,48.0
630,53.0
631,67.0
632,304.0
633,85.0
634,69.0
635,25.0
636,97.0
637,85.0
638,46.0
639,107.0
640,327.0
641,53.0
642,68.0
643,76.0
644,61.0
645,96.0
646,103.0
647,69.0
648,54.0
649,47.0
650,94.0
651,51.0
652,50.0
653,85.0
654,67.0
655,67.0
656,57.0
657,79.0
658,91.0
659,38.0
660,70.0
661,330.0
662,67.0
663,63.0
664,47.0
665,104.0
666,39.0
667,67.0
668,82.0
669,91.0
670,51.0
671,100.0
672,80.0
673,114.0
674,46.0
675,56.0
676,76.0
677,31.0
678,38.0
679,82.0
680,68.0
681,85.0
682,67.0
683,67.0
684,67.0
685,59.0
686,105.0
687,259.0
688,69.0
689,45.0
690,67.0
691,57.0
692,107.0
693,56.0
694,57.0
695,75.0
696,55.0
697,102.0
698,59.0
699,69.0
700,209.0
701,90.0
702,85.0
703,33.0
704,89.0
705,63.0
706,208.0
707,83.0
708,51.0
709,49.0
710,61.0
711,97.0
712,98.0
713,74.0
714,47.0
715,55.0
716,70.0
717,83.0
718,84.0
719,118.0
720,68.0
721,68.0
722,60.0
723,70.0
724,44.0
725,49.0
726,105.0
727,85.0
728,272.0
729,62.0
730,96.0
731,89.0
732,44.0
733,83.0
734,68.0
735,81.0
736,53.0
737,58.0
738,96.0
739,46.0
740,53.0
741,39.0
742,123.0
743,52.0
744,102.0
745,22.0
746,91.0
747,118.0
748,45.0
749,38.0
750,51.0
751,38.0
752,89.0
753,57.0
754,67.0
755,53.0
756,56.0
757,110.0
758,72.0
759,53.0
760,66.0
761,34.0
762,79.0
763,112.0
764,40.0
765,81.0
766,67.0
767,55.0
768,146.0
769,178.0
770,304.0
771,81.0
772,69.0
773,96.0
774,81.0
775,87.0
776,223.0
777,52.0
778,83.0
779,67.0
780,84.0
781,34.0
782,71.0
783,87.0
784,69.0
785,29.0
786,50.0
787,104.0
788,48.0
789,46.0
790,62.0
791,24.0
792,164.0
793,41.0
794,85.0
795,42.0
796,47.0
797,95.0
798,98.0
799,57.0
800,73.0
801,76.0
802,27.0
803,46.0
804,91.0
805,63.0
806,52.0
807,58.0
808,108.0
809,73.0
810,38.0
811,36.0
812,67.0
813,22.0
814,82.0
815,48.0
816,86.0
817,77.0
818,53.0
819,51.0
820,57.0
821,69.0
822,95.0
823,95.0
824,81.0
825,72.0
826,94.0
827,69.0
828,194.0
829,105.0
830,92.0
831,61.0
832,79.0
833,94.0
834,225.0
835,44.0
836,72.0
837,38.0
838,45.0
839,114.0
840,59.0
841,51.0
842,206.0
843,41.0
844,53.0
845,69.0
846,96.0
847,67.0
848,318.0
849,48.0
850,114.0
851,65.0
852,63.0
853,40.0
854,75.0
855,60.0
856,332.0
857,63.0
858,67.0
859,114.0
860,64.0
861,42.0
862,67.0
863,109.0
864,81.0
865,82.0
866,63.0
867,79.0
868,55.0
869,61.0
870,114.0
871,103.0
872,84.0
873,59.0
874,85.0
875,94.0
876,67.0
877,79.0
878,45.0
879,61.0
880,88.0
881,92.0
882,107.0
883,85.0
884,36.0
885,60.0
886,95.0
887,67.0
888,112.0
889,53.0
890,89.0
891,65.0
892,74.0
893,57.0
894,81.0
895,67.0
896,87.0
897,76.0
898,69.0
899,101.0
900,63.0
901,53.0
902,92.0
903,72.0
904,80.0
905,45.0
906,98.0
907,120.0
908,67.0
909,63.0
910,67.0
911,78.0
912,47.0
913,107.0
914,62.0
915,46.0
916,100.0
917,38.0
918,94.0
919,75.0
920,63.0
921,69.0
922,72.0
923,63.0
924,93.0
925,51.0
926,55.0
927,53.0
928,80.0
929,332.0
930,45.0
931,90.0
932,73.0
933,34.0
934,47.0
935,106.0
936,33.0
937,52.0
938,67.0
939,56.0
940,80.0
941,47.0
942,206.0
943,123.0
944,69.0
945,39.0
946,80.0
947,81.0
948,69.0
949,67.0
950,45.0
951,57.0
952,60.0
953,129.0
954,55.0
955,85.0
956,61.0
957,87.0
958,71.0
959,91.0
960,61.0
961,43.0
962,60.0
963,45.0
964,62.0
965,51.0
966,32.0
967,97.0
968,49.0
969,57.0
970,98.0
971,41.0
972,127.0
973,58.0
974,123.0
975,69.0
976,54.0
977,69.0
978,67.0
979,78.0
980,67.0
981,45.0
982,38.0
983,60.0
984,52.0
985,77.0
986,48.0
987,125.0
988,67.0
989,105.0
990,100.0
991,67.0
992,33.0
993,46.0
994,93.0
995,69.0
996,47.0
997,41.0
998,57.0
999,84.0
1000,69.0
