game,score
1,69.0
2,106.0
3,24.0
4,128.0
5,22.0
6,85.0
7,326.0
8,113.0
9,215.0
10,64.0
11,133.0
12,79.0
13,276.0
14,99.0
15,215.0
16,54.0
17,128.0
18,134.0
19,274.0
20,130.0
21,96.0
22,215.0
23,54.0
24,71.0
25,61.0
26,58.0
27,128.0
28,38.0
29,354.0
30,170.0
31,53.0
32,188.0
33,109.0
34,54.0
35,63.0
36,53.0
37,38.0
38,254.0
39,66.0
40,211.0
41,73.0
42,83.0
43,86.0
44,54.0
45,70.0
46,63.0
47,96.0
48,54.0
49,128.0
50,38.0
51,215.0
52,190.0
53,215.0
54,100.0
55,31.0
56,43.0
57,54.0
58,215.0
59,114.0
60,215.0
61,95.0
62,47.0
63,73.0
64,54.0
65,16.0
66,60.0
67,103.0
68,104.0
69,53.0
70,128.0
71,64.0
72,215.0
73,38.0
74,168.0
75,76.0
76,86.0
77,64.0
78,38.0
79,103.0
80,87.0
81,54.0
82,33.0
83,119.0
84,47.0
85,65.0
86,101.0
87,76.0
88,48.0
89,74.0
90,58.0
91,54.0
92,29.0
93,54.0
94,58.0
95,43.0
96,262.0
97,215.0
98,29.0
99,91.0
100,60.0
101,47.0
102,31.0
103,71.0
104,83.0
105,61.0
106,38.0
107,128.0
108,39.0
109,120.0
110,128.0
111,297.0
112,184.0
113,84.0
114,74.0
115,27.0
116,64.0
117,52.0
118,74.0
119,60.0
120,356.0
121,63.0
122,69.0
123,64.0
124,87.0
125,90.0
126,187.0
127,105.0
128,40.0
129,17.0
130,38.0
131,66.0
132,47.0
133,30.0
134,120.0
135,108.0
136,142.0
137,66.0
138,67.0
139,253.0
140,36.0
141,71.0
142,96.0
143,331.0
144,44.0
145,38.0
146,299.0
147,82.0
148,37.0
149,295.0
150,46.0
151,78.0
152,186.0
153,43.0
154,64.0
155,95.0
156,54.0
157,63.0
158,65.0
159,11.0
160,42.0
161,79.0
162,314.0
163,215.0
164,34.0
165,98.0
166,76.0
167,64.0
168,86.0
169,54.0
170,68.0
171,64.0
172,215.0
173,99.0
174,101.0
175,128.0
176,103.0
177,78.0
178,126.0
179,55.0
180,188.0
181,40.0
182,128.0
183,67.0
184,79.0
185,175.0
186,86.0
187,68.0
188,215.0
189,103.0
190,215.0
191,52.0
192,318.0
193,228.0
194,89.0
195,40.0
196,326.0
197,52.0
198,54.0
199,128.0
200,84.0
201,125.0
202,193.0
203,64.0
204,215.0
205,96.0
206,128.0
207,34.0
208,64.0
209,77.0
210,34.0
211,57.0
212,43.0
213,275.0
214,263.0
215,64.0
216,215.0
217,136.0
218,54.0
219,247.0
220,75.0
221,46.0
222,58.0
223,118.0
224,152.0
225,216.0
226,87.0
227,40.0
228,183.0
229,41.0
230,43.0
231,74.0
232,61.0
233,275.0
234,66.0
235,103.0
236,92.0
237,29.0
238,90.0
239,55.0
240,90.0
241,41.0
242,46.0
243,64.0
244,59.0
245,44.0
246,64.0
247,54.0
248,34.0
249,65.0
250,61.0
251,47.0
252,40.0
253,64.0
254,188.0
255,247.0
256,71.0
257,63.0
258,105.0
259,16.0
260,112.0
261,100.0
262,123.0
263,71.0
264,64.0
265,16.0
266,68.0
267,62.0
268,26.0
269,46.0
270,71.0
271,54.0
272,34.0
273,105.0
274,149.0
275,61.0
276,54.0
277,128.0
278,215.0
279,215.0
280,52.0
281,64.0
282,133.0
283,103.0
284,128.0
285,62.0
286,77.0
287,106.0
288,122.0
289,69.0
290,113.0
291,116.0
292,108.0
293,30.0
294,312.0
295,71.0
296,215.0
297,128.0
298,215.0
299,215.0
300,109.0
301,64.0
302,229.0
303,101.0
304,64.0
305,43.0
306,68.0
307,81.0
308,61.0
309,188.0
310,54.0
311,67.0
312,54.0
313,79.0
314,258.0
315,248.0
316,128.0
317,54.0
318,31.0
319,64.0
320,64.0
321,50.0
322,69.0
323,63.0
324,73.0
325,206.0
326,106.0
327,83.0
328,36.0
329,215.0
330,215.0
331,113.0
332,61.0
333,36.0
334,111.0
335,28.0
336,215.0
337,124.0
338,31.0
339,100.0
340,80.0
341,79.0
342,88.0
343,112.0
344,128.0
345,42.0
346,106.0
347,64.0
348,58.0
349,54.0
350,95.0
351,52.0
352,95.0
353,44.0
354,186.0
355,107.0
356,215.0
357,132.0
358,54.0
359,104.0
360,64.0
361,106.0
362,318.0
363,71.0
364,84.0
365,275.0
366,108.0
367,54.0
368,33.0
369,58.0
370,215.0
371,102.0
372,43.0
373,54.0
374,66.0
375,71.0
376,47.0
377,64.0
378,73.0
379,108.0
380,118.0
381,67.0
382,40.0
383,54.0
384,105.0
385,73.0
386,86.0
387,167.0
388,81.0
389,215.0
390,215.0
391,43.0
392,104.0
393,64.0
394,89.0
395,54.0
396,100.0
397,54.0
398,80.0
399,87.0
400,36.0
401,208.0
402,215.0
403,66.0
404,195.0
405,128.0
406,76.0
407,65.0
408,51.0
409,71.0
