% time spent exploring,episodes,mean 100 episode reward,steps
91,10,-20.4,8232
82,20,-20.3,17358
74,30,-20.4,25878
65,40,-20.3,35179
56,50,-20.3,44334
47,60,-20.3,53517
38,70,-20.4,62043
29,80,-20.4,70813
21,90,-20.3,79505
12,100,-20.3,88362
2,110,-20.2,98572
1,120,-20.1,110504
1,130,-19.8,122794
1,140,-19.2,138798
1,150,-18.9,153398
1,160,-18.4,168881
1,170,-17.8,186707
1,180,-17.0,205141
1,190,-16.7,222249
1,200,-15.6,243987
1,210,-14.9,264231
1,220,-13.6,294705
1,230,-12.5,321769
1,240,-11.5,351403
1,250,-9.5,379461
1,260,-6.6,401360
1,270,-3.9,422244
1,280,-1.0,441844
1,290,2.4,460015
1,300,5.1,479234
1,310,8.1,497808
1,320,10.5,516225
1,330,13.0,534498
1,340,15.2,552531
1,350,16.8,570080
1,360,17.5,587386
1,370,17.9,606212
1,380,17.9,625551
1,390,17.9,643650
1,400,18.0,662112
1,410,18.0,681194
1,420,18.0,700004
1,430,18.0,718764
1,440,18.0,736685
1,450,17.8,755713
1,460,17.6,773911
1,470,17.7,792865
1,480,17.9,811183
1,490,18.0,829344
1,500,18.1,847199
1,510,18.2,865221
1,520,18.3,882982
1,530,18.4,900558
1,540,18.4,919281
1,550,18.7,936562
1,560,18.9,953970
1,570,19.0,972370
1,580,19.1,989835
