% time spent exploring,episodes,mean 100 episode reward,steps
99,10,-20.2,8836
98,20,-20.0,18623
97,30,-20.0,28223
96,40,-20.1,37114
95,50,-20.2,46353
94,60,-20.2,55983
93,70,-20.2,64847
92,80,-20.3,73796
91,90,-20.3,83025
90,100,-20.3,92579
89,110,-20.2,102626
88,120,-20.3,112043
87,130,-20.3,121870
86,140,-20.3,131941
85,150,-20.1,142683
84,160,-20.1,152940
83,170,-20.0,164396
82,180,-19.9,176032
81,190,-19.8,187199
80,200,-19.7,198719
79,210,-19.6,210701
78,220,-19.5,221532
76,230,-19.3,234016
75,240,-19.3,245280
74,250,-19.3,257432
73,260,-19.2,269752
72,270,-19.1,281630
70,280,-19.1,293943
69,290,-19.0,306187
68,300,-19.0,318864
67,310,-19.0,331659
65,320,-18.9,344842
64,330,-18.9,356878
63,340,-18.9,369325
62,350,-18.9,381544
60,360,-18.9,394094
59,370,-18.9,407270
58,380,-18.7,421649
56,390,-18.7,435241
55,400,-18.6,450088
54,410,-18.6,463969
52,420,-18.6,479054
51,430,-18.4,494607
49,440,-18.4,508183
48,450,-18.1,522873
46,460,-18.0,538858
45,470,-17.9,554466
43,480,-18.0,569928
41,490,-17.8,586125
40,500,-17.7,601712
38,510,-17.4,618687
37,520,-17.3,634632
35,530,-17.3,651634
33,540,-16.9,670812
31,550,-16.9,688043
29,560,-16.7,707385
27,570,-16.2,729629
25,580,-15.7,752163
23,590,-15.2,776129
20,600,-13.9,804567
17,610,-12.6,834662
14,620,-10.1,860964
12,630,-7.6,887170
9,640,-4.8,910898
7,650,-1.6,932596
5,660,1.5,953424
3,670,4.6,972772
1,680,7.7,992525
1,690,10.9,1009624
1,700,13.2,1027565
1,710,15.6,1045515
1,720,16.7,1063126
1,730,17.8,1080463
1,740,18.6,1098489
1,750,18.8,1116758
1,760,19.2,1134560
1,770,19.4,1152168
1,780,19.5,1169903
1,790,19.5,1187252
1,800,19.6,1204724
1,810,19.5,1222413
1,820,19.5,1239882
1,830,19.5,1257674
1,840,19.6,1275227
1,850,19.7,1292968
1,860,19.8,1310271
1,870,19.8,1328235
1,880,19.8,1345392
1,890,19.8,1363473
1,900,19.8,1381260
1,910,19.8,1398751
1,920,19.8,1416433
1,930,19.8,1433720
1,940,19.8,1451007
1,950,19.8,1468412
1,960,19.8,1485910
1,970,19.8,1503907
1,980,19.8,1521384
1,990,19.8,1538613
1,1000,19.9,1555887
1,1010,19.9,1573541
1,1020,19.9,1590606
1,1030,19.9,1607544
1,1040,19.8,1625250
1,1050,19.8,1642665
1,1060,19.8,1660902
1,1070,19.9,1677979
1,1080,19.8,1695668
1,1090,19.8,1712972
1,1100,19.8,1730054
1,1110,19.8,1747278
1,1120,19.9,1764381
1,1130,19.9,1781685
1,1140,19.9,1799415
1,1150,20.0,1816932
1,1160,20.1,1833655
1,1170,20.1,1850907
1,1180,20.0,1869048
1,1190,20.1,1886155
1,1200,20.1,1903014
1,1210,20.1,1920089
1,1220,20.1,1937356
1,1230,20.1,1954178
1,1240,20.1,1971422
1,1250,20.2,1988182
1,1260,20.1,2005925
1,1270,20.0,2023897
1,1280,20.0,2041583
1,1290,20.0,2058812
1,1300,19.9,2076207
1,1310,19.8,2094090
1,1320,19.8,2111300
1,1330,19.7,2128944
1,1340,19.6,2146231
1,1350,19.6,2163244
1,1360,19.6,2180614
1,1370,19.7,2197553
1,1380,19.8,2214613
1,1390,19.8,2231550
1,1400,19.9,2248585
1,1410,20.0,2265636
1,1420,20.1,2282627
1,1430,20.2,2299712
1,1440,20.3,2316822
1,1450,20.2,2334205
1,1460,20.3,2351033
1,1470,20.3,2367970
1,1480,20.3,2385089
1,1490,20.3,2402092
1,1500,20.3,2418876
1,1510,20.2,2436199
1,1520,19.9,2454034
1,1530,19.9,2470862
1,1540,19.9,2487627
1,1550,20.0,2504271
1,1560,20.0,2521929
1,1570,19.9,2539033
1,1580,19.9,2556323
1,1590,19.8,2573737
1,1600,19.8,2591009
1,1610,19.8,2607816
1,1620,20.1,2624759
1,1630,20.2,2641515
1,1640,20.1,2658667
1,1650,20.1,2675086
1,1660,20.2,2692215
