% time spent exploring,episodes,mean 100 episode reward,steps
80,10,-19.9,9663
56,20,-19.7,21861
24,30,-18.7,38286
1,40,-18.4,56593
1,50,-16.8,82796
1,60,-13.9,111378
1,70,-9.8,133454
1,80,-6.6,154051
1,90,-3.9,172680
1,100,-1.6,190458
1,110,2.1,208341
1,120,5.8,226753
1,130,9.4,244181
1,140,13.1,261615
1,150,16.1,279394
1,160,18.1,296280
1,170,18.5,314200
1,180,18.8,332958
1,190,19.0,350614
1,200,19.1,368085
1,210,19.2,385202
1,220,19.4,402698
1,230,19.4,420394
1,240,19.4,438100
1,250,19.4,455523
1,260,19.4,472729
1,270,19.5,489834
