% time spent exploring,episodes,mean 100 episode reward,steps
91,10,-20.4,8251
82,20,-20.3,17653
73,30,-20.3,26417
65,40,-20.4,35349
55,50,-20.4,44545
46,60,-20.4,53563
38,70,-20.4,62581
28,80,-20.5,71911
17,90,-20.4,83054
3,100,-20.4,97168
1,110,-20.3,114084
1,120,-20.0,134185
1,130,-19.7,156467
1,140,-19.4,178659
1,150,-19.1,201380
1,160,-18.3,229561
1,170,-17.5,259766
1,180,-15.9,290376
1,190,-14.1,319367
1,200,-13.0,346093
1,210,-11.7,378757
1,220,-9.7,413041
1,230,-8.1,453324
1,240,-6.2,493075
1,250,-3.1,517613
1,260,0.1,535665
1,270,3.0,555727
1,280,5.4,573941
1,290,7.7,591287
1,300,10.1,612215
1,310,12.5,631417
1,320,14.2,649258
1,330,16.2,667667
1,340,17.9,685654
1,350,18.4,704928
1,360,18.3,724438
1,370,18.6,741593
1,380,18.6,759490
1,390,18.6,776550
1,400,19.1,794273
1,410,19.0,812767
1,420,19.1,830179
1,430,19.1,848199
1,440,19.2,865541
1,450,19.4,883154
1,460,19.4,901534
1,470,19.4,919182
1,480,19.4,936840
1,490,19.4,954339
1,500,19.3,972539
1,510,19.6,990189
