game,score
1,21.0
2,17.0
3,17.0
4,17.0
5,21.0
6,21.0
7,21.0
8,14.0
9,21.0
10,21.0
11,19.0
12,21.0
13,20.0
14,21.0
15,21.0
16,15.0
17,21.0
18,20.0
19,20.0
20,18.0
21,21.0
22,14.0
23,21.0
24,17.0
25,21.0
26,21.0
27,19.0
28,17.0
29,21.0
30,15.0
31,19.0
32,21.0
33,21.0
34,21.0
35,21.0
36,20.0
37,19.0
38,20.0
39,20.0
40,21.0
41,21.0
42,21.0
43,17.0
44,17.0
45,18.0
46,20.0
47,17.0
48,14.0
49,17.0
50,19.0
51,18.0
52,18.0
53,11.0
54,20.0
55,21.0
56,18.0
57,17.0
58,16.0
59,20.0
60,20.0
61,21.0
62,16.0
63,21.0
64,21.0
65,21.0
66,21.0
67,20.0
68,19.0
69,20.0
70,21.0
71,21.0
72,19.0
73,21.0
74,12.0
75,19.0
76,21.0
77,21.0
78,19.0
79,21.0
80,21.0
81,18.0
82,17.0
83,21.0
84,21.0
85,21.0
86,18.0
87,21.0
88,19.0
89,20.0
90,17.0
91,21.0
92,17.0
93,17.0
94,17.0
95,21.0
96,19.0
97,21.0
98,21.0
99,20.0
100,19.0
101,12.0
102,19.0
103,21.0
104,20.0
105,19.0
106,17.0
107,16.0
108,19.0
109,21.0
110,21.0
111,18.0
112,21.0
113,21.0
114,21.0
115,21.0
116,19.0
117,21.0
118,21.0
119,20.0
120,21.0
121,17.0
122,21.0
123,21.0
124,20.0
125,21.0
126,20.0
127,17.0
128,13.0
129,21.0
130,21.0
131,21.0
132,15.0
133,20.0
134,20.0
135,19.0
136,21.0
137,20.0
138,19.0
139,21.0
140,17.0
141,20.0
142,20.0
143,18.0
144,21.0
145,11.0
146,21.0
147,21.0
148,21.0
149,18.0
150,21.0
151,21.0
152,21.0
153,21.0
154,15.0
155,19.0
156,19.0
157,19.0
158,20.0
159,18.0
160,21.0
161,21.0
162,21.0
163,18.0
164,21.0
165,20.0
166,18.0
167,17.0
168,21.0
169,21.0
170,20.0
171,20.0
172,21.0
173,21.0
174,14.0
175,21.0
176,13.0
177,20.0
178,16.0
179,18.0
180,19.0
181,18.0
182,17.0
183,21.0
184,17.0
185,17.0
186,20.0
187,13.0
188,19.0
189,17.0
190,21.0
191,19.0
192,20.0
193,17.0
194,21.0
195,17.0
196,18.0
197,17.0
198,21.0
199,19.0
200,20.0
201,17.0
202,18.0
203,16.0
204,16.0
205,21.0
206,21.0
207,12.0
208,21.0
209,21.0
210,20.0
211,21.0
212,21.0
213,21.0
214,19.0
215,21.0
216,21.0
217,17.0
218,21.0
219,19.0
220,21.0
221,18.0
222,11.0
223,14.0
224,20.0
225,19.0
226,20.0
227,21.0
228,21.0
229,21.0
230,21.0
231,17.0
232,18.0
233,21.0
234,21.0
235,21.0
236,20.0
237,21.0
238,16.0
239,21.0
240,21.0
241,21.0
242,19.0
243,21.0
244,21.0
245,21.0
246,19.0
247,19.0
248,21.0
249,21.0
250,21.0
251,13.0
252,18.0
253,20.0
254,16.0
255,21.0
256,19.0
257,20.0
258,21.0
259,13.0
260,19.0
261,21.0
262,21.0
263,18.0
264,17.0
265,21.0
266,20.0
267,17.0
268,19.0
269,20.0
270,20.0
271,18.0
272,21.0
273,21.0
274,21.0
275,21.0
276,20.0
277,19.0
278,21.0
279,21.0
280,20.0
281,21.0
282,15.0
283,20.0
284,21.0
285,20.0
286,18.0
287,11.0
288,21.0
289,15.0
290,19.0
291,21.0
292,17.0
293,21.0
294,21.0
295,19.0
296,20.0
297,17.0
298,21.0
299,21.0
300,20.0
301,20.0
302,17.0
303,21.0
304,16.0
305,13.0
306,19.0
307,19.0
308,16.0
309,19.0
310,20.0
311,21.0
312,21.0
313,21.0
314,21.0
315,19.0
316,21.0
317,11.0
318,9.0
319,18.0
320,17.0
321,21.0
322,18.0
323,21.0
324,21.0
325,21.0
326,21.0
327,19.0
328,21.0
329,19.0
330,20.0
331,21.0
332,21.0
333,19.0
334,21.0
335,20.0
336,19.0
337,21.0
338,19.0
339,16.0
340,14.0
341,19.0
342,21.0
343,21.0
344,21.0
345,19.0
346,21.0
347,21.0
348,17.0
349,17.0
350,21.0
351,17.0
352,20.0
353,21.0
354,21.0
355,21.0
356,19.0
357,21.0
358,21.0
359,19.0
360,14.0
361,18.0
362,21.0
363,18.0
364,21.0
365,19.0
366,21.0
367,21.0
368,19.0
369,18.0
370,21.0
371,21.0
372,14.0
373,21.0
374,20.0
375,19.0
376,21.0
377,20.0
378,17.0
379,21.0
380,20.0
381,15.0
382,21.0
383,20.0
384,21.0
385,20.0
386,19.0
387,20.0
388,21.0
389,21.0
390,21.0
391,19.0
392,21.0
393,17.0
394,21.0
395,21.0
396,21.0
397,21.0
398,13.0
399,14.0
400,19.0
401,21.0
402,13.0
403,21.0
404,21.0
405,17.0
406,21.0
407,21.0
408,19.0
409,18.0
410,21.0
411,19.0
412,17.0
413,17.0
414,14.0
415,21.0
416,21.0
417,21.0
418,21.0
419,21.0
420,21.0
421,14.0
422,19.0
423,21.0
424,20.0
425,21.0
426,9.0
427,18.0
428,21.0
429,13.0
430,21.0
431,21.0
432,16.0
433,14.0
434,21.0
435,18.0
436,20.0
437,16.0
438,21.0
439,19.0
440,21.0
441,21.0
442,21.0
443,20.0
444,17.0
445,15.0
446,21.0
447,15.0
448,21.0
449,21.0
450,10.0
451,21.0
452,17.0
453,17.0
454,19.0
455,21.0
456,17.0
457,21.0
458,21.0
459,21.0
460,21.0
461,21.0
462,18.0
463,20.0
464,19.0
465,20.0
466,20.0
467,17.0
468,17.0
469,15.0
470,19.0
471,13.0
472,21.0
473,17.0
474,21.0
475,14.0
476,17.0
477,17.0
478,21.0
479,20.0
480,19.0
481,17.0
482,17.0
483,19.0
484,21.0
485,21.0
486,19.0
487,19.0
488,21.0
489,21.0
490,20.0
491,19.0
492,19.0
493,19.0
494,20.0
495,19.0
496,19.0
497,21.0
498,21.0
499,21.0
500,21.0
501,21.0
502,21.0
503,21.0
504,21.0
505,17.0
506,18.0
507,19.0
508,21.0
509,18.0
510,21.0
511,16.0
512,19.0
513,21.0
514,17.0
515,12.0
516,21.0
517,21.0
518,21.0
519,21.0
520,21.0
521,21.0
522,18.0
523,21.0
524,20.0
525,19.0
526,20.0
527,15.0
528,21.0
529,21.0
530,17.0
531,20.0
532,18.0
533,17.0
534,21.0
535,21.0
536,15.0
537,17.0
538,21.0
539,16.0
540,18.0
541,21.0
542,20.0
543,21.0
544,21.0
545,18.0
546,21.0
547,21.0
548,20.0
549,19.0
550,16.0
551,13.0
552,21.0
553,19.0
554,21.0
555,21.0
556,19.0
557,21.0
558,18.0
559,14.0
560,19.0
561,19.0
562,19.0
563,19.0
564,21.0
565,17.0
566,21.0
567,21.0
568,21.0
569,17.0
570,17.0
571,21.0
572,21.0
573,19.0
574,20.0
575,21.0
576,21.0
577,20.0
578,18.0
579,17.0
580,19.0
581,21.0
582,20.0
583,20.0
584,17.0
585,21.0
586,20.0
587,19.0
588,17.0
589,17.0
590,21.0
591,20.0
592,21.0
593,21.0
594,19.0
595,21.0
596,18.0
597,20.0
598,20.0
599,17.0
600,14.0
601,20.0
602,20.0
603,16.0
604,19.0
605,17.0
606,21.0
607,20.0
608,16.0
609,20.0
610,17.0
611,21.0
612,21.0
613,21.0
614,21.0
615,21.0
616,19.0
617,19.0
618,18.0
619,21.0
620,17.0
621,19.0
622,21.0
623,19.0
624,20.0
625,20.0
626,21.0
627,19.0
628,21.0
629,21.0
630,21.0
631,21.0
632,21.0
633,19.0
634,21.0
635,21.0
636,21.0
637,16.0
638,16.0
639,21.0
640,14.0
641,21.0
642,19.0
643,19.0
644,21.0
645,21.0
646,21.0
647,20.0
648,21.0
649,21.0
650,14.0
651,14.0
652,20.0
653,14.0
654,20.0
655,19.0
656,21.0
657,21.0
658,20.0
659,14.0
660,16.0
661,21.0
662,19.0
663,19.0
664,18.0
665,21.0
666,20.0
667,21.0
668,19.0
669,17.0
670,21.0
671,19.0
672,21.0
673,21.0
674,20.0
675,17.0
