game,score,steps
1,-12.0,4039
2,-3.0,6259
3,1.0,8528
4,-8.0,5018
5,-5.0,9757
6,2.0,7930
7,-8.0,4150
8,-12.0,4142
9,-11.0,4659
10,-7.0,6832
11,-2.0,6293
12,-5.0,6939
13,-6.0,7379
14,-13.0,4587
15,-15.0,3331
16,-12.0,4809
17,-14.0,4468
18,-9.0,5279
19,-11.0,4964
20,-12.0,6532
21,-7.0,5489
22,-2.0,7791
23,-12.0,5015
24,-14.0,4597
25,-8.0,7592
26,-12.0,3978
27,-12.0,5699
28,-16.0,3673
29,-8.0,6316
30,-10.0,7774
31,-16.0,5402
32,-5.0,6453
33,-1.0,6985
34,-9.0,5106
35,-7.0,7426
36,-9.0,4732
37,-3.0,5318
38,-11.0,5575
39,-4.0,7830
40,-6.0,6232
41,-8.0,5188
42,-8.0,4685
43,-7.0,6012
44,-10.0,5338
45,-15.0,5469
46,-17.0,4833
47,-12.0,4061
48,-9.0,4908
49,-8.0,6409
50,-15.0,4203
51,-6.0,5297
52,-13.0,5141
53,-8.0,4236
54,-10.0,5553
55,-13.0,4102
56,-8.0,4710
57,-13.0,4227
58,-11.0,4922
59,-8.0,4378
60,-10.0,3319
61,-1.0,6361
62,-13.0,3946
63,-10.0,6351
64,-17.0,2855
65,-11.0,4687
66,-2.0,5654
67,-14.0,3464
68,-8.0,4836
69,-13.0,4280
70,-7.0,5524
71,-15.0,3567
72,-6.0,5696
73,-11.0,4975
74,-6.0,4743
75,-17.0,3478
76,-2.0,6844
77,-6.0,4626
78,-13.0,4080
79,-10.0,5675
80,-12.0,6007
81,-1.0,9473
82,-12.0,3332
83,-16.0,3702
84,-9.0,5917
85,-14.0,3927
86,-11.0,6193
87,-16.0,4240
88,-13.0,5419
89,-11.0,5108
90,-14.0,4249
91,-2.0,6656
92,-13.0,4475
93,-3.0,6425
94,-15.0,6312
95,-15.0,5698
96,-6.0,8713
97,-11.0,4228
98,-11.0,4517
99,-12.0,3962
100,-13.0,4619
101,-6.0,7307
102,2.0,7031
103,-18.0,4513
104,-11.0,2803
105,-16.0,3221
106,12.0,4410
107,-12.0,3557
108,-9.0,6422
109,-12.0,3386
110,-8.0,5927
111,-8.0,5733
112,-14.0,4575
113,-14.0,3128
114,-4.0,6574
115,-13.0,3620
116,-12.0,3926
117,-10.0,4822
118,-10.0,6199
119,-11.0,4181
120,-10.0,3597
121,-16.0,3772
122,-5.0,7044
123,-14.0,6054
124,-3.0,6294
125,-10.0,6480
126,-11.0,3850
127,-12.0,5571
128,-14.0,4143
129,-8.0,4104
130,-4.0,7023
131,-8.0,8097
132,-11.0,4210
133,-4.0,8185
134,-11.0,3271
135,-13.0,4694
136,-7.0,5183
137,-3.0,7270
138,1.0,9557
139,-16.0,3039
140,-18.0,4375
141,-10.0,6294
142,-14.0,3586
143,-9.0,5631
144,-13.0,5953
145,-9.0,4402
146,-9.0,3946
147,-6.0,4840
148,-9.0,3446
149,-7.0,5646
150,-5.0,7772
151,1.0,6501
152,-8.0,5014
153,-4.0,10973
154,-14.0,3052
155,-13.0,3330
156,-9.0,5215
157,-12.0,6317
158,-11.0,5746
159,-10.0,4219
160,-14.0,4671
161,-12.0,5197
162,-8.0,5029
163,-13.0,4652
164,-10.0,3801
165,-10.0,7324
166,-12.0,4497
167,-14.0,3642
168,-10.0,5545
169,-15.0,5588
170,8.0,5325
171,-12.0,4619
172,-11.0,6116
173,-6.0,6120
174,-14.0,4991
175,-11.0,4531
176,-5.0,7975
177,-14.0,5094
178,-5.0,7268
179,-6.0,6719
180,-9.0,7044
181,-7.0,6321
182,-12.0,4379
183,-3.0,7343
184,1.0,7212
185,-4.0,6023
186,-14.0,4447
187,-12.0,4165
188,-14.0,4239
189,-12.0,4092
190,-2.0,6928
191,-3.0,4957
192,-11.0,4877
193,-13.0,3817
194,-10.0,4301
195,-2.0,6163
196,-6.0,7291
197,-8.0,4372
198,-11.0,3245
199,-14.0,3880
200,-6.0,4842
201,-14.0,4612
202,11.0,6312
203,1.0,8736
204,2.0,7902
205,-11.0,4712
206,-11.0,5714
207,-8.0,6714
208,-12.0,4657
209,-2.0,6062
210,-17.0,3494
211,-13.0,3932
212,-8.0,6154
213,-7.0,5234
214,-10.0,8774
215,-11.0,7057
216,-5.0,6119
217,-14.0,3903
218,-7.0,6842
219,-6.0,5428
220,-8.0,5353
221,-5.0,5985
222,3.0,6377
223,-12.0,5091
224,-11.0,5283
225,-7.0,5507
226,-4.0,7598
227,-10.0,5430
228,-16.0,4056
229,-11.0,5694
230,-16.0,4898
231,-14.0,3590
232,-13.0,4212
233,-7.0,5331
234,-4.0,6007
235,-3.0,6959
236,-6.0,5508
237,-10.0,5119
238,8.0,5979
239,-5.0,8415
240,-5.0,6871
241,-7.0,7972
242,-14.0,7706
243,-10.0,5055
244,-12.0,4519
245,-10.0,6254
246,9.0,5651
247,-6.0,4431
248,7.0,7187
249,-10.0,5073
250,-14.0,3567
251,-5.0,9670
252,-5.0,5403
253,-12.0,5500
254,-12.0,6190
255,-7.0,5450
256,-4.0,5290
257,-11.0,4117
258,-20.0,3706
259,-15.0,3903
260,-3.0,7275
261,-7.0,5346
262,-8.0,4553
263,-8.0,4842
264,-11.0,9348
265,-4.0,5537
266,-10.0,4153
267,-9.0,5383
268,-9.0,4630
269,-1.0,6534
270,-10.0,4955
271,-10.0,7109
272,-8.0,5079
273,-13.0,4250
274,-14.0,4704
275,-9.0,4797
276,-8.0,5727
277,-2.0,6713
278,-10.0,4398
279,-11.0,5574
280,-15.0,4234
281,-6.0,4150
282,-12.0,3351
283,-7.0,5875
284,-6.0,7379
285,-10.0,6694
286,-13.0,5257
287,-4.0,7144
288,-12.0,4507
289,-4.0,4724
290,-11.0,6498
291,-12.0,3738
292,-11.0,4537
293,-11.0,4139
294,-4.0,6115
295,-8.0,5099
296,-11.0,3875
297,-6.0,5231
298,-15.0,3689
299,-11.0,3959
300,-8.0,9580
301,-8.0,5784
302,-12.0,4865
303,-9.0,3709
304,-1.0,8090
305,-13.0,3566
306,-6.0,5136
307,-8.0,5088
308,-13.0,4829
309,-7.0,4649
310,-11.0,6136
311,-12.0,6166
312,-5.0,10364
313,-12.0,4319
314,-15.0,4524
315,-13.0,3505
316,-7.0,5797
317,-11.0,4756
318,-10.0,4258
319,-11.0,6871
320,6.0,5892
321,-11.0,4137
322,-9.0,4853
323,-12.0,3576
324,-6.0,6637
325,-6.0,5612
326,-13.0,4854
327,-3.0,7995
328,-10.0,3723
329,1.0,5950
330,-6.0,7296
331,-7.0,7007
332,-7.0,5580
333,-12.0,4946
334,-10.0,5518
335,-9.0,4639
336,-14.0,3177
337,-10.0,4457
338,-10.0,6012
339,-3.0,5774
340,-9.0,6002
341,-4.0,6962
342,-14.0,3509
343,-3.0,9282
344,-12.0,3953
345,-7.0,6712
346,-13.0,3086
347,-4.0,9529
348,-11.0,4611
349,-6.0,5038
350,-11.0,5065
351,-13.0,3772
352,-10.0,4764
353,-6.0,5211
354,-8.0,4446
355,3.0,6962
356,-9.0,3272
357,-9.0,5550
358,-12.0,6856
359,1.0,6014
360,-15.0,3738
361,-12.0,3160
362,-16.0,4696
363,-11.0,5410
364,-12.0,3753
365,-3.0,9642
366,-6.0,6915
367,-10.0,4354
368,-8.0,6644
369,-14.0,3962
370,-14.0,3639
371,-15.0,4372
372,-7.0,5556
373,-7.0,5358
374,-6.0,5525
375,-13.0,5172
376,-12.0,5559
377,-5.0,5018
378,-10.0,8319
379,-11.0,6702
380,-15.0,4673
381,-6.0,5554
382,-17.0,2762
383,-11.0,5192
384,-6.0,5819
385,2.0,9297
386,-15.0,4098
387,-12.0,3682
388,-12.0,6177
389,3.0,6678
390,-7.0,7710
391,-18.0,4149
392,-11.0,5823
393,-13.0,6247
394,-1.0,7343
395,-4.0,5809
396,-3.0,7342
397,-7.0,7684
398,-9.0,5537
399,-10.0,4229
400,-11.0,6043
401,-14.0,3729
402,-17.0,3347
403,-6.0,6614
404,-13.0,4941
405,-13.0,3486
406,-14.0,4059
407,-17.0,3724
408,-15.0,3572
409,-13.0,4992
410,-10.0,4987
411,-1.0,5788
412,-7.0,6546
413,1.0,6809
414,-8.0,6148
415,-15.0,5590
416,-11.0,4221
417,-6.0,5312
418,-15.0,3691
419,-1.0,7407
420,-13.0,3173
421,-12.0,4746
422,-8.0,5207
423,-12.0,4208
424,-14.0,6211
425,-6.0,5086
426,-3.0,6221
427,-5.0,8612
428,-14.0,4548
429,-11.0,4352
430,-5.0,9725
431,-11.0,4077
432,-13.0,3717
433,-10.0,5052
434,-7.0,5107
435,-11.0,5653
436,-13.0,4475
437,-12.0,3568
438,-13.0,3996
439,-17.0,4347
440,-10.0,4049
441,-2.0,6721
442,-3.0,7895
443,-13.0,5695
444,-12.0,4887
445,-11.0,6308
446,-11.0,5319
447,-11.0,6851
448,-11.0,4632
449,-5.0,8227
450,-2.0,5999
451,-9.0,5107
452,-15.0,4586
453,-11.0,4707
454,-14.0,4271
455,-4.0,6344
456,-8.0,6546
457,-4.0,7062
458,-9.0,3982
459,-13.0,3094
460,-2.0,4755
461,-13.0,7293
462,-2.0,7718
463,-12.0,4727
464,-10.0,5760
465,-13.0,5224
466,-17.0,3127
467,-1.0,6841
468,-4.0,5121
469,-15.0,3849
470,-6.0,4592
471,-8.0,5367
472,-8.0,5210
473,-13.0,4665
474,1.0,5520
475,-17.0,4969
476,-7.0,6842
477,-13.0,4776
478,-17.0,2161
479,-11.0,3604
480,-11.0,3725
481,1.0,7581
482,-15.0,2746
483,-9.0,3943
484,-6.0,5884
485,3.0,9130
486,-10.0,4269
487,-11.0,5032
488,-11.0,4633
489,-12.0,5496
490,-16.0,2870
491,-1.0,7890
492,-14.0,4846
493,-11.0,4923
494,-7.0,6727
495,-10.0,3839
496,-14.0,3183
497,-12.0,3688
498,-7.0,6302
499,-5.0,7071
500,-8.0,4180
501,-9.0,5691
502,-16.0,3303
503,-5.0,7161
504,-15.0,4220
505,-4.0,5366
506,-5.0,4918
507,-10.0,4427
508,-3.0,6745
509,-10.0,6123
510,-13.0,3887
511,-15.0,4428
512,-8.0,5342
513,-14.0,3490
514,-14.0,5620
515,-10.0,3448
516,-13.0,4355
517,-14.0,4507
518,-16.0,4892
519,-10.0,6225
520,-1.0,8001
521,-4.0,7799
522,-9.0,5686
523,-11.0,5815
524,-3.0,7229
525,-2.0,7712
526,-14.0,7094
527,-8.0,4489
528,-6.0,7103
529,-15.0,3649
530,-3.0,7463
531,-7.0,5897
532,-8.0,4859
533,-16.0,3562
534,-16.0,2623
535,-10.0,4230
536,-6.0,7332
537,-6.0,6717
538,-13.0,4117
539,-8.0,6550
540,-13.0,3901
541,-5.0,7169
542,-9.0,3891
543,5.0,7117
544,-5.0,6530
545,1.0,6391
546,-6.0,8050
547,-8.0,5787
548,-13.0,3761
549,-12.0,2748
550,-16.0,3048
551,-2.0,6391
552,-11.0,4221
553,-6.0,6317
554,-14.0,3761
555,-16.0,2653
556,-6.0,6575
557,-6.0,6355
558,-11.0,5709
559,-16.0,3514
560,-10.0,5200
561,-13.0,3497
562,-5.0,9234
563,-17.0,2674
564,-8.0,4376
565,-10.0,4228
566,-8.0,5037
567,-13.0,3653
568,-9.0,4902
569,-11.0,4347
570,-14.0,4228
571,-10.0,3765
572,-5.0,6888
573,-15.0,3036
574,-11.0,3638
575,-11.0,5948
576,-14.0,3633
