% time spent exploring,episodes,mean 100 episode reward,steps
91,10,-20.2,8141
82,20,-20.2,17386
73,30,-20.1,26736
64,40,-20.2,35830
54,50,-20.0,45676
45,60,-20.0,55286
36,70,-20.1,64342
27,80,-20.2,73362
18,90,-20.2,82008
8,100,-20.2,92815
1,110,-20.1,105407
1,120,-19.9,120414
1,130,-19.3,140058
1,140,-18.8,161705
1,150,-18.3,182329
1,160,-17.7,206305
1,170,-16.7,236597
1,180,-15.1,267627
1,190,-13.3,302083
1,200,-11.1,335297
1,210,-9.1,363631
1,220,-6.6,390028
1,230,-4.7,423774
1,240,-2.3,452552
1,250,0.7,476011
1,260,3.5,502197
1,270,5.9,526248
1,280,8.2,547933
1,290,9.6,576667
1,300,11.0,599584
1,310,12.7,621489
1,320,13.7,641851
1,330,14.9,664220
1,340,15.5,688757
1,350,15.7,711367
1,360,16.0,733529
1,370,16.0,759122
1,380,15.8,783798
1,390,16.4,806236
1,400,16.3,828435
1,410,16.3,849685
1,420,16.2,870227
1,430,16.4,889372
1,440,16.7,910312
1,450,16.7,929734
1,460,16.8,949337
1,470,17.3,967953
1,480,17.6,987183
