% time spent exploring,episodes,mean 100 episode reward 1,mean 100 episode reward 2,steps
98,10,2.7,2.8,1472
95,20,3.7,4.2,4684
93,30,3.6,4.0,6848
90,40,3.5,4.1,9350
88,50,3.5,4.1,11482
86,60,3.4,3.9,13533
84,70,3.4,3.8,15941
82,80,3.4,3.7,18071
79,90,3.5,3.8,20441
77,100,3.7,3.8,22798
75,110,3.7,4.0,25114
73,120,3.7,3.8,26953
71,130,3.7,3.8,28800
69,140,3.7,3.7,30722
67,150,3.6,3.7,32595
66,160,3.7,3.7,34301
64,170,3.6,3.6,35922
62,180,3.5,3.6,37598
61,190,3.4,3.5,39138
59,200,3.2,3.5,41110
56,210,3.3,3.5,43695
54,220,3.2,3.5,45562
52,230,3.3,3.5,47589
50,240,3.5,3.7,50262
48,250,3.4,3.6,51758
46,260,3.6,3.8,53861
44,270,3.7,4.0,56249
42,280,3.9,4.1,58269
40,290,4.0,4.2,60277
38,300,4.1,4.3,62365
35,310,4.2,4.4,64756
34,320,4.1,4.4,66432
32,330,4.0,4.3,67974
30,340,3.8,4.0,69938
28,350,3.8,4.1,71947
26,360,3.8,4.2,74445
23,370,3.9,4.1,76982
20,380,4.0,4.3,79828
19,390,3.9,4.2,81708
17,400,3.8,4.0,83226
15,410,3.8,4.0,85656
13,420,3.8,3.8,87296
11,430,3.7,3.8,89017
9,440,3.9,3.9,91286
7,450,3.9,3.9,93167
6,460,3.8,3.6,94829
4,470,3.7,3.4,96266
2,480,3.5,3.2,98288
1,490,3.6,3.2,100176
1,500,3.7,3.3,102497
1,510,3.5,3.1,104122
1,520,3.6,3.2,105738
1,530,3.8,3.3,108541
1,540,3.7,3.2,110571
1,550,3.9,3.2,113327
1,560,4.0,3.3,115345
1,570,4.1,3.4,117491
1,580,4.1,3.4,119495
1,590,4.3,3.7,122757
1,600,4.1,3.5,124042
1,610,4.2,3.6,125885
1,620,4.2,3.6,127764
1,630,4.1,3.7,129999
1,640,4.1,3.8,132349
1,650,3.8,3.8,133975
1,660,3.9,3.9,135880
1,670,3.8,3.8,137731
1,680,3.9,3.8,140021
1,690,3.8,3.6,142091
1,700,3.9,3.8,144090
1,710,3.9,3.8,145954
1,720,3.9,3.9,147850
1,730,3.9,3.8,149769
1,740,3.8,3.6,151597
1,750,4.0,3.7,154063
1,760,3.9,3.6,155786
1,770,3.9,3.7,157749
1,780,3.8,3.6,159632
1,790,3.6,3.6,161628
1,800,3.9,3.8,164335
1,810,4.1,3.9,167114
1,820,4.2,4.0,169429
1,830,4.3,4.1,171640
1,840,4.1,4.0,172987
1,850,4.0,3.9,175073
1,860,4.1,3.9,177028
1,870,4.1,3.9,178925
1,880,4.2,4.0,181029
1,890,4.2,3.9,182937
1,900,4.1,3.7,184859
1,910,3.9,3.7,186879
1,920,3.9,3.6,189043
1,930,3.9,3.6,190838
1,940,4.0,3.7,192668
1,950,4.0,3.7,194314
1,960,3.9,3.6,196194
1,970,3.8,3.5,197703
1,980,3.8,3.6,200328
1,990,3.9,3.8,202838
1,1000,3.9,3.8,205017
1,1010,3.8,3.8,206743
1,1020,3.8,3.7,208871
1,1030,3.9,3.9,211560
1,1040,3.9,4.0,213422
1,1050,4.0,4.2,215468
1,1060,4.2,4.4,217794
1,1070,4.4,4.5,219608
1,1080,4.4,4.6,221776
1,1090,4.2,4.5,223775
1,1100,4.3,4.6,225828
1,1110,4.2,4.4,227235
1,1120,4.2,4.4,229575
1,1130,4.1,4.3,231714
1,1140,4.2,4.3,234071
1,1150,4.3,4.2,236053
1,1160,4.2,4.2,238417
1,1170,4.3,4.3,240771
1,1180,4.1,4.2,242878
1,1190,4.2,4.3,245073
1,1200,4.1,4.2,247344
1,1210,4.3,4.3,249250
1,1220,4.4,4.4,251310
1,1230,4.4,4.4,253231
1,1240,4.2,4.3,254974
1,1250,4.4,4.4,257146
1,1260,4.3,4.4,259415
1,1270,4.1,4.3,261523
1,1280,4.1,4.3,263604
1,1290,4.0,4.2,265356
1,1300,4.0,4.1,267001
1,1310,3.9,4.1,268636
1,1320,4.0,4.1,271029
1,1330,4.0,4.2,273185
1,1340,4.1,4.3,275132
1,1350,3.8,4.1,276586
1,1360,3.8,4.1,278355
1,1370,3.8,4.1,280528
1,1380,3.9,4.0,282619
1,1390,3.8,4.0,284172
1,1400,3.9,4.0,285992
1,1410,3.9,4.1,287986
1,1420,3.7,3.9,289767
1,1430,3.6,3.7,291730
1,1440,3.8,3.9,294214
1,1450,4.0,4.1,296693
1,1460,4.1,4.2,298940
1,1470,4.0,4.0,300518
1,1480,4.1,4.1,303752
1,1490,4.2,4.3,305906
1,1500,4.3,4.4,307685
1,1510,4.2,4.2,309285
1,1520,4.2,4.2,311487
1,1530,4.2,4.4,313736
1,1540,4.1,4.3,316263
1,1550,4.3,4.3,318811
1,1560,4.2,4.4,320802
1,1570,4.3,4.5,322670
1,1580,4.3,4.5,325364
1,1590,4.3,4.5,327393
1,1600,4.3,4.7,329673
1,1610,4.4,4.8,331671
1,1620,4.6,4.9,334226
1,1630,4.5,4.8,336010
1,1640,4.6,5.0,338864
1,1650,4.5,5.0,340863
1,1660,4.7,5.1,343166
1,1670,4.8,5.1,345251
1,1680,4.7,5.0,347423
1,1690,4.8,5.1,349435
1,1700,4.8,5.0,351767
1,1710,4.8,5.1,353856
1,1720,4.7,5.0,356198
1,1730,4.9,5.2,358916
1,1740,4.7,4.8,360660
1,1750,4.7,4.8,362712
1,1760,4.6,4.7,364791
1,1770,4.6,4.7,367015
1,1780,4.6,4.7,368979
1,1790,4.5,4.6,371178
1,1800,4.3,4.3,372729
1,1810,4.3,4.3,374748
1,1820,4.4,4.3,376643
1,1830,4.1,4.1,378584
1,1840,4.2,4.2,380223
1,1850,4.1,4.2,382425
1,1860,4.2,4.1,384523
1,1870,4.1,4.0,386325
1,1880,4.1,4.1,388422
1,1890,4.1,4.3,390858
1,1900,4.3,4.6,393307
1,1910,4.4,4.7,395724
1,1920,4.3,4.8,397979
1,1930,4.5,4.8,400271
1,1940,4.4,4.9,401978
1,1950,4.5,5.0,404189
1,1960,4.2,4.8,405565
1,1970,4.3,4.9,407700
1,1980,4.3,4.8,409528
1,1990,4.4,4.9,412141
1,2000,4.4,4.9,414416
1,2010,4.3,4.8,416579
1,2020,4.4,4.9,418914
1,2030,4.4,5.0,421096
1,2040,4.4,4.9,422841
1,2050,4.5,4.8,425098
1,2060,4.7,5.1,427115
1,2070,4.7,5.1,429215
1,2080,4.8,5.3,431951
1,2090,4.9,5.1,434370
1,2100,4.9,5.1,436659
1,2110,5.0,5.2,439265
1,2120,5.0,5.1,441373
1,2130,4.8,4.9,443035
1,2140,5.1,5.2,446565
1,2150,5.0,5.2,448568
1,2160,5.2,5.3,451397
1,2170,5.3,5.4,454316
1,2180,5.3,5.4,456950
1,2190,5.3,5.4,459145
1,2200,5.0,5.2,460614
1,2210,5.0,5.1,462780
1,2220,4.9,5.2,465494
1,2230,5.0,5.3,467760
1,2240,4.7,5.1,469559
1,2250,4.8,5.1,471624
1,2260,4.6,4.9,473670
1,2270,4.4,4.7,475302
1,2280,4.4,4.6,477807
1,2290,4.4,4.6,480324
1,2300,4.7,5.0,483245
1,2310,4.7,4.9,485451
1,2320,4.6,4.8,487383
1,2330,4.6,4.8,489444
1,2340,4.7,4.8,491347
1,2350,4.6,4.7,493485
1,2360,4.7,4.8,495962
1,2370,4.7,4.8,497650
1,2380,4.7,4.8,500141
1,2390,4.7,4.8,502477
1,2400,4.6,4.7,505030
1,2410,4.6,4.8,507014
1,2420,4.7,4.9,509445
1,2430,4.8,5.0,511772
1,2440,5.1,5.3,514686
1,2450,5.1,5.3,516851
1,2460,4.9,5.0,518661
1,2470,5.2,5.2,521480
1,2480,5.0,5.2,523482
1,2490,5.0,5.3,525690
1,2500,5.0,5.3,528081
1,2510,5.1,5.2,530356
1,2520,5.1,5.1,532462
1,2530,5.0,5.2,534783
1,2540,4.6,4.8,536355
1,2550,4.8,4.9,538901
1,2560,4.8,5.0,540607
1,2570,4.8,5.0,544073
1,2580,4.7,5.1,546518
1,2590,4.7,5.0,548683
1,2600,4.7,5.0,551346
1,2610,4.7,5.0,553282
1,2620,4.8,5.1,556090
1,2630,4.8,5.1,558758
1,2640,5.2,5.6,562138
1,2650,5.1,5.6,564372
1,2660,5.3,5.8,567265
1,2670,5.3,5.6,569593
1,2680,5.4,5.7,572352
1,2690,5.4,5.8,574729
1,2700,5.5,5.9,577478
1,2710,5.5,5.9,579744
1,2720,5.5,5.9,582218
1,2730,5.5,6.0,585180
1,2740,5.4,5.9,588315
1,2750,5.4,5.8,590474
1,2760,5.4,5.8,592730
1,2770,5.3,5.7,594979
1,2780,5.2,5.5,597019
1,2790,5.4,5.6,599993
1,2800,5.1,5.3,601684
1,2810,5.2,5.3,604220
1,2820,5.1,5.2,606449
1,2830,5.0,5.0,608597
1,2840,4.9,4.8,610737
1,2850,4.9,4.8,612748
1,2860,4.8,4.7,614915
1,2870,4.8,4.6,617076
1,2880,4.8,4.8,619389
1,2890,4.7,4.7,621768
1,2900,4.9,4.8,624283
1,2910,4.9,4.8,626328
1,2920,5.0,4.9,628782
1,2930,5.1,5.0,631024
1,2940,5.0,5.1,633274
1,2950,5.0,5.2,635568
1,2960,5.2,5.4,638489
1,2970,5.2,5.4,640541
1,2980,5.2,5.3,642626
1,2990,5.2,5.3,645447
