% time spent exploring,episodes,mean 100 episode reward,steps
98,10,1.4,1430
95,20,3.2,4151
93,30,3.2,6497
91,40,3.2,8299
90,50,3.0,9795
88,60,3.1,11983
86,70,3.0,13714
83,80,3.0,16310
81,90,3.1,19018
79,100,3.0,20628
77,110,3.2,23012
74,120,3.1,25404
73,130,2.9,27225
70,140,3.1,29917
68,150,3.3,32267
65,160,3.3,34645
62,170,3.7,37559
59,180,3.8,40429
57,190,3.8,42970
55,200,4.0,45348
53,210,3.9,47156
51,220,3.8,48767
49,230,3.9,50609
47,240,3.9,53094
45,250,3.8,55384
43,260,3.7,57348
40,270,3.7,60273
37,280,3.9,62906
35,290,3.7,64831
32,300,3.9,67824
30,310,4.0,69900
27,320,4.3,72986
25,330,4.4,75407
22,340,4.5,78282
20,350,4.6,80661
17,360,4.8,82971
15,370,4.6,85240
13,380,4.3,87643
10,390,4.4,90086
8,400,4.2,92679
6,410,4.2,94833
3,420,4.0,97168
1,430,4.0,99385
1,440,3.8,102090
1,450,3.7,104809
1,460,3.8,108087
1,470,3.7,109996
1,480,3.8,112115
1,490,3.9,114512
1,500,4.0,116978
1,510,4.0,119349
1,520,4.3,122434
1,530,4.3,125130
1,540,4.4,127651
1,550,4.6,130471
1,560,4.6,133135
1,570,5.0,136044
1,580,4.9,137961
1,590,4.7,140038
1,600,4.7,142323
1,610,4.7,144765
1,620,4.5,146883
1,630,4.4,148997
1,640,4.3,150812
1,650,4.4,153713
1,660,4.3,156102
1,670,4.2,158772
1,680,4.3,160786
1,690,4.6,163728
1,700,4.7,166508
1,710,4.7,169066
1,720,5.1,172162
1,730,5.4,174942
1,740,5.4,177076
1,750,5.4,179799
1,760,5.6,182847
1,770,5.5,185219
1,780,5.8,188248
1,790,5.8,191804
1,800,5.8,194426
1,810,6.0,197686
1,820,5.9,200310
1,830,5.7,202913
1,840,6.1,206805
1,850,6.2,210218
1,860,6.3,213297
1,870,6.2,215800
1,880,6.1,218802
1,890,6.0,221263
1,900,5.9,224057
1,910,5.6,225884
1,920,5.4,227905
1,930,5.6,230934
1,940,5.3,233092
1,950,5.0,235359
1,960,5.0,237902
1,970,5.1,240072
1,980,5.3,243605
1,990,5.4,246563
1,1000,5.6,249230
1,1010,5.8,252009
1,1020,5.7,254304
1,1030,5.7,256936
1,1040,5.6,259168
1,1050,5.9,261982
1,1060,5.8,264624
1,1070,5.9,267177
1,1080,5.7,269903
1,1090,5.8,272994
1,1100,5.6,275486
1,1110,5.6,278201
1,1120,5.8,280866
1,1130,5.8,283418
1,1140,6.0,286618
1,1150,5.9,289340
1,1160,6.2,292414
1,1170,6.2,295148
1,1180,6.2,298671
1,1190,5.9,300495
1,1200,6.0,302693
1,1210,5.8,304998
1,1220,5.9,307769
1,1230,5.8,310109
1,1240,5.8,313151
1,1250,5.8,316025
1,1260,5.4,318331
1,1270,5.4,320894
1,1280,5.2,323207
1,1290,5.2,325512
1,1300,5.4,328771
1,1310,5.4,330772
1,1320,5.4,333167
1,1330,5.4,335329
1,1340,5.2,337522
1,1350,5.1,339689
1,1360,5.2,341813
1,1370,5.1,344214
1,1380,5.1,346291
1,1390,5.2,349325
1,1400,4.9,351571
1,1410,5.2,354550
1,1420,5.2,356914
1,1430,5.2,359203
1,1440,5.5,361830
1,1450,5.5,364111
1,1460,5.6,366966
1,1470,5.7,369658
1,1480,5.8,372120
1,1490,5.9,374547
1,1500,6.0,377530
1,1510,5.6,379728
1,1520,5.4,381516
1,1530,5.5,384436
1,1540,5.6,387742
1,1550,5.5,389867
1,1560,5.6,392532
1,1570,5.7,395722
1,1580,5.9,398411
1,1590,5.9,400951
1,1600,5.9,403967
1,1610,6.1,406513
1,1620,6.2,408744
1,1630,6.1,411390
1,1640,6.0,414089
1,1650,6.1,417196
1,1660,6.6,421316
1,1670,6.5,424057
1,1680,6.3,426340
1,1690,6.4,428838
1,1700,6.5,431662
1,1710,6.5,433940
1,1720,6.6,436182
1,1730,6.7,439296
1,1740,6.7,441927
1,1750,6.5,444000
1,1760,6.0,446586
1,1770,5.9,449611
1,1780,6.0,452058
1,1790,5.9,454438
1,1800,5.8,457235
1,1810,5.7,459627
1,1820,5.8,462819
1,1830,5.9,465876
1,1840,5.9,468750
1,1850,6.0,471509
1,1860,6.0,474334
1,1870,5.9,476516
1,1880,5.9,479105
1,1890,6.1,481630
1,1900,6.0,484405
1,1910,6.3,487389
1,1920,6.3,490192
1,1930,6.1,492680
1,1940,6.2,495831
1,1950,6.4,499338
1,1960,6.4,501884
1,1970,6.2,503794
1,1980,6.3,506817
1,1990,6.4,510180
1,2000,6.7,513712
1,2010,6.8,516811
1,2020,7.2,521135
1,2030,7.3,523896
1,2040,7.1,526519
1,2050,7.0,530715
1,2060,7.2,533780
1,2070,7.7,536808
1,2080,7.7,539793
1,2090,7.7,542382
1,2100,7.4,545070
1,2110,7.4,548610
1,2120,7.1,551736
1,2130,7.3,554874
1,2140,7.5,558023
1,2150,7.5,560844
1,2160,7.6,563443
1,2170,7.3,565967
1,2180,7.3,569015
1,2190,7.2,571248
1,2200,7.5,574885
1,2210,7.5,578392
1,2220,7.5,581633
1,2230,7.4,584146
1,2240,7.4,587127
1,2250,7.3,589872
1,2260,7.2,592612
1,2270,7.3,595057
1,2280,7.0,597508
1,2290,7.2,601448
1,2300,7.0,603818
1,2310,6.9,606789
1,2320,6.7,609265
1,2330,6.9,613234
1,2340,6.8,616204
1,2350,6.7,619154
1,2360,6.6,621935
1,2370,6.6,624608
1,2380,6.6,626838
1,2390,6.3,629092
1,2400,6.0,630870
1,2410,5.8,633656
1,2420,5.7,635954
1,2430,5.1,637715
1,2440,5.0,640298
1,2450,5.0,643314
1,2460,4.8,645516
1,2470,4.7,648071
1,2480,4.6,650439
1,2490,4.5,652786
1,2500,5.0,656162
1,2510,4.8,658195
1,2520,4.9,660350
1,2530,5.1,662754
1,2540,5.0,665218
1,2550,5.1,668334
1,2560,5.4,671440
1,2570,5.6,674236
1,2580,5.6,676637
1,2590,5.9,679277
1,2600,5.7,682363
1,2610,5.9,685043
1,2620,5.8,687200
1,2630,5.8,689659
1,2640,5.9,692596
1,2650,5.7,695894
1,2660,5.4,698156
1,2670,5.4,700373
1,2680,5.2,701995
1,2690,5.1,704227
1,2700,5.1,706495
1,2710,4.9,708556
1,2720,5.3,711738
1,2730,5.4,714266
1,2740,5.5,717020
1,2750,5.8,721115
1,2760,6.1,724316
1,2770,6.0,726576
1,2780,6.3,729431
1,2790,6.1,731485
1,2800,6.3,734272
1,2810,6.3,736609
1,2820,6.5,740082
1,2830,6.7,743548
1,2840,6.7,746648
1,2850,6.4,749223
1,2860,6.5,752942
1,2870,6.7,755757
1,2880,6.7,758166
1,2890,6.9,760654
1,2900,6.8,762935
1,2910,7.0,765897
1,2920,7.0,769259
1,2930,6.6,771383
1,2940,6.6,775063
1,2950,6.7,777749
1,2960,6.5,780760
1,2970,6.4,783492
1,2980,6.3,785851
1,2990,6.2,788372
1,3000,6.2,790534
1,3010,5.9,792761
1,3020,5.7,795188
1,3030,6.0,798163
1,3040,5.9,801158
1,3050,5.8,803434
1,3060,5.8,806741
1,3070,5.6,809223
1,3080,5.6,810679
1,3090,5.6,813032
1,3100,5.5,815068
1,3110,5.9,817788
1,3120,5.8,820229
1,3130,5.6,822160
1,3140,5.5,824553
1,3150,5.8,827647
1,3160,5.8,830600
1,3170,5.9,833227
1,3180,6.5,836731
1,3190,6.7,840105
1,3200,6.6,842002
1,3210,6.4,844844
1,3220,6.5,847687
1,3230,6.5,850247
1,3240,6.7,853439
1,3250,6.8,856822
1,3260,6.6,859553
1,3270,6.6,861884
1,3280,6.2,864646
1,3290,5.7,866276
1,3300,5.8,868693
1,3310,5.7,870868
1,3320,5.5,872969
1,3330,5.5,875510
1,3340,5.3,877570
1,3350,5.0,880178
1,3360,5.0,882345
1,3370,5.0,884517
1,3380,5.0,886900
1,3390,5.1,889258
1,3400,5.0,891158
1,3410,5.0,893471
1,3420,4.9,895186
1,3430,4.8,897190
1,3440,4.9,899553
1,3450,4.8,901930
1,3460,4.8,904259
1,3470,4.9,906582
1,3480,5.0,909588
1,3490,4.9,911506
1,3500,5.3,914657
1,3510,5.4,917276
1,3520,5.8,920620
1,3530,5.9,923065
1,3540,6.1,926965
1,3550,6.2,930005
1,3560,6.4,932604
1,3570,6.2,934315
1,3580,5.9,936299
1,3590,6.1,938591
1,3600,5.7,940842
1,3610,5.6,943043
1,3620,5.5,946181
1,3630,5.4,948663
1,3640,5.3,951462
1,3650,5.0,953649
1,3660,4.9,955681
1,3670,5.1,958289
1,3680,5.3,961060
1,3690,5.2,963500
1,3700,5.8,966968
1,3710,5.7,969140
1,3720,5.6,971370
1,3730,5.7,974039
1,3740,5.4,976258
1,3750,5.5,978488
1,3760,5.4,980837
1,3770,5.4,983233
1,3780,5.3,985476
1,3790,5.2,987852
1,3800,5.0,990914
1,3810,5.0,993343
1,3820,5.1,995846
1,3830,4.9,998177
