% time spent exploring,episodes,mean 100 episode reward 1,mean 100 episode reward 2,steps
89,10,2.7,-2.7,10933
78,20,3.1,-3.1,22114
66,30,0.8,-0.8,34021
55,40,0.3,-0.3,45009
43,50,0.0,-0.0,56576
33,60,0.7,-0.7,66883
24,70,0.7,-0.7,76445
14,80,-0.3,0.3,86625
2,90,-0.5,0.5,98246
1,100,0.5,-0.5,107921
1,110,1.3,-1.3,117190
1,120,1.5,-1.5,128296
1,130,3.2,-3.2,138623
1,140,5.0,-5.0,149123
1,150,6.2,-6.2,159684
1,160,5.8,-5.8,168945
1,170,7.0,-7.0,179618
1,180,9.2,-9.2,190728
1,190,10.7,-10.7,203274
1,200,11.4,-11.4,214154
1,210,11.7,-11.7,223876
1,220,12.9,-12.9,232890
1,230,12.9,-12.9,242107
1,240,13.2,-13.2,250985
1,250,13.9,-13.9,260004
1,260,15.6,-15.6,269906
1,270,16.0,-16.0,280125
1,280,16.0,-16.0,291611
1,290,15.9,-15.9,303130
1,300,15.7,-15.7,316536
1,310,15.8,-15.8,328373
1,320,15.3,-15.3,343804
1,330,15.2,-15.2,358055
1,340,15.0,-15.0,369787
1,350,14.7,-14.7,383856
1,360,13.9,-13.9,402788
1,370,12.8,-12.8,424020
1,380,11.7,-11.7,446205
1,390,10.9,-10.9,469945
1,400,9.5,-9.5,494783
1,410,8.1,-8.1,517760
1,420,7.1,-7.1,542573
1,430,6.1,-6.1,568605
1,440,4.6,-4.6,594100
1,450,3.0,-3.0,620961
1,460,1.8,-1.8,645008
1,470,0.8,-0.8,669340
1,480,-0.1,0.1,696036
1,490,-0.5,0.5,725072
1,500,-0.5,0.5,750643
1,510,-0.8,0.8,775035
1,520,-1.7,1.7,799009
1,530,-2.5,2.5,826076
1,540,-2.0,2.0,849302
1,550,-1.6,1.6,873082
1,560,-1.0,1.0,896845
1,570,-1.0,1.0,919646
1,580,-0.5,0.5,944566
1,590,-0.6,0.6,969905
1,600,-0.5,0.5,994678
