% time spent exploring,episodes,mean 100 episode reward 1,mean 100 episode reward 2,steps
98,10,5.3,-5.3,10947
97,20,6.1,-6.1,22771
96,30,5.6,-5.6,34255
95,40,3.6,-3.6,46396
94,50,3.3,-3.3,59574
92,60,2.9,-2.9,72827
91,70,2.6,-2.6,85578
90,80,2.8,-2.8,97379
89,90,2.3,-2.3,110531
87,100,1.9,-1.9,123564
86,110,2.0,-2.0,136148
85,120,0.5,-0.5,146533
84,130,-0.2,0.2,160832
82,140,-0.2,0.2,175455
81,150,-0.3,0.3,187152
80,160,-0.8,0.8,199655
79,170,-1.2,1.2,211723
77,180,-1.6,1.6,224286
76,190,-1.2,1.2,238128
75,200,-1.2,1.2,251787
73,210,-1.8,1.8,265913
72,220,-1.2,1.2,280646
70,230,-1.2,1.2,295594
69,240,-1.3,1.3,309496
67,250,-1.7,1.7,324271
66,260,-1.2,1.2,338917
64,270,-0.8,0.8,354780
63,280,-0.7,0.7,370998
61,290,-1.2,1.2,386728
60,300,-1.6,1.6,401968
58,310,-2.1,2.1,418075
56,320,-2.0,2.0,434804
55,330,-1.9,1.9,452101
53,340,-1.6,1.6,469240
51,350,-1.2,1.2,485910
50,360,-1.3,1.3,503115
48,370,-1.4,1.4,520212
46,380,-1.9,1.9,537170
45,390,-1.5,1.5,554335
43,400,-1.2,1.2,572855
41,410,-0.5,0.5,590578
39,420,0.2,-0.2,608120
37,430,0.2,-0.2,626912
36,440,0.2,-0.2,645308
34,450,0.3,-0.3,663897
32,460,-0.1,0.1,683275
30,470,-0.4,0.4,700857
28,480,-0.1,0.1,721010
26,490,-0.4,0.4,740641
24,500,-0.4,0.4,760335
22,510,-0.9,0.9,780211
20,520,-1.1,1.1,800430
18,530,-1.0,1.0,819902
16,540,-1.0,1.0,840588
14,550,-1.5,1.5,861051
12,560,-1.5,1.5,882181
10,570,-1.0,1.0,902893
8,580,-1.1,1.1,924626
6,590,-1.5,1.5,945349
4,600,-2.0,2.0,966171
2,610,-2.3,2.3,988798
1,620,-2.9,2.9,1017849
1,630,-3.8,3.8,1045054
1,640,-3.8,3.8,1071151
1,650,-3.8,3.8,1098425
1,660,-4.0,4.0,1125650
1,670,-4.9,4.9,1150879
1,680,-5.7,5.7,1174743
1,690,-5.2,5.2,1200421
1,700,-4.9,4.9,1227225
1,710,-5.2,5.2,1249164
1,720,-5.1,5.1,1275813
1,730,-5.1,5.1,1298029
1,740,-5.8,5.8,1321573
1,750,-6.0,6.0,1347907
1,760,-6.4,6.4,1372166
1,770,-6.1,6.1,1397404
1,780,-5.8,5.8,1421019
1,790,-5.8,5.8,1447986
1,800,-5.7,5.7,1470442
1,810,-5.4,5.4,1492465
1,820,-5.3,5.3,1518786
1,830,-4.8,4.8,1545507
1,840,-4.6,4.6,1569130
1,850,-4.3,4.3,1592980
1,860,-3.8,3.8,1618206
1,870,-3.8,3.8,1642019
1,880,-3.8,3.8,1666030
1,890,-4.4,4.4,1688829
1,900,-5.1,5.1,1711022
1,910,-5.5,5.5,1734275
1,920,-5.8,5.8,1759024
1,930,-6.1,6.1,1782672
1,940,-6.4,6.4,1806934
1,950,-6.5,6.5,1831914
1,960,-6.7,6.7,1854791
1,970,-6.9,6.9,1878975
1,980,-6.9,6.9,1903635
1,990,-6.7,6.7,1926616
1,1000,-6.1,6.1,1950973
1,1010,-5.8,5.8,1975063
1,1020,-5.7,5.7,1999169
1,1030,-5.7,5.7,2022617
1,1040,-5.7,5.7,2047524
1,1050,-5.9,5.9,2071948
1,1060,-6.0,6.0,2097198
1,1070,-6.2,6.2,2121054
1,1080,-6.2,6.2,2144608
1,1090,-5.9,5.9,2169792
1,1100,-6.3,6.3,2195965
1,1110,-6.6,6.6,2221391
1,1120,-6.4,6.4,2248755
1,1130,-6.5,6.5,2273608
1,1140,-6.4,6.4,2301238
1,1150,-6.0,6.0,2329210
1,1160,-6.0,6.0,2354381
1,1170,-5.8,5.8,2379643
1,1180,-5.7,5.7,2405686
1,1190,-6.1,6.1,2430571
1,1200,-6.0,6.0,2454301
1,1210,-5.6,5.6,2480239
1,1220,-6.1,6.1,2504766
1,1230,-6.3,6.3,2527950
1,1240,-6.7,6.7,2551811
1,1250,-7.0,7.0,2576010
1,1260,-7.1,7.1,2599799
1,1270,-6.7,6.7,2626348
1,1280,-6.8,6.8,2650615
1,1290,-7.2,7.2,2674422
1,1300,-7.4,7.4,2699553
1,1310,-7.8,7.8,2724854
1,1320,-7.9,7.9,2747735
1,1330,-8.0,8.0,2770122
1,1340,-8.0,8.0,2793286
1,1350,-8.3,8.3,2816503
1,1360,-8.4,8.4,2840247
1,1370,-9.1,9.1,2863230
1,1380,-9.4,9.4,2885102
1,1390,-9.4,9.4,2908728
1,1400,-9.0,9.0,2935592
1,1410,-8.8,8.8,2961433
1,1420,-8.6,8.6,2987382
1,1430,-8.1,8.1,3014518
1,1440,-7.5,7.5,3042630
1,1450,-7.2,7.2,3070297
1,1460,-7.0,7.0,3097626
1,1470,-6.6,6.6,3125196
1,1480,-6.6,6.6,3149834
1,1490,-6.5,6.5,3176475
1,1500,-7.0,7.0,3198905
1,1510,-7.1,7.1,3223828
1,1520,-7.2,7.2,3249112
1,1530,-7.2,7.2,3275996
1,1540,-7.9,7.9,3302582
1,1550,-8.2,8.2,3330331
1,1560,-7.9,7.9,3359264
1,1570,-7.9,7.9,3385094
1,1580,-7.6,7.6,3413611
1,1590,-7.5,7.5,3441644
1,1600,-7.2,7.2,3469884
1,1610,-6.6,6.6,3501265
1,1620,-6.5,6.5,3530815
1,1630,-6.6,6.6,3562333
1,1640,-6.0,6.0,3596262
1,1650,-5.6,5.6,3626676
1,1660,-5.2,5.2,3660204
1,1670,-5.1,5.1,3690961
1,1680,-5.0,5.0,3719001
1,1690,-4.5,4.5,3750511
1,1700,-3.7,3.7,3783227
1,1710,-3.6,3.6,3815722
1,1720,-2.7,2.7,3848181
1,1730,-2.1,2.1,3878265
1,1740,-2.1,2.1,3908851
1,1750,-1.2,1.2,3938171
1,1760,-1.0,1.0,3969632
1,1770,-0.8,0.8,4000275
1,1780,-0.3,0.3,4033974
1,1790,-0.4,0.4,4067178
1,1800,-0.8,0.8,4096932
1,1810,-0.6,0.6,4129026
1,1820,-0.7,0.7,4162212
1,1830,-0.6,0.6,4198164
1,1840,-0.5,0.5,4235130
1,1850,-0.7,0.7,4271251
1,1860,-0.5,0.5,4309754
1,1870,0.2,-0.2,4346617
1,1880,0.4,-0.4,4382637
1,1890,0.5,-0.5,4418169
1,1900,0.6,-0.6,4455240
1,1910,0.7,-0.7,4492236
1,1920,0.9,-0.9,4533020
1,1930,1.2,-1.2,4573801
1,1940,1.0,-1.0,4618648
1,1950,0.9,-0.9,4660411
1,1960,-0.1,0.1,4706677
1,1970,-0.4,0.4,4745553
1,1980,-0.6,0.6,4791804
1,1990,-0.6,0.6,4838316
1,2000,-0.5,0.5,4889124
1,2010,-1.0,1.0,4934292
1,2020,-2.1,2.1,4975268
1,2030,-2.9,2.9,5021025
1,2040,-2.8,2.8,5071504
1,2050,-3.2,3.2,5127193
1,2060,-2.6,2.6,5171107
1,2070,-2.5,2.5,5218925
1,2080,-2.4,2.4,5279885
1,2090,-2.5,2.5,5331267
