game,score
1,-19.0
2,-19.0
3,-8.0
4,-15.0
5,-16.0
6,-18.0
7,-11.0
8,-14.0
9,-15.0
10,-15.0
11,-14.0
12,-14.0
13,-9.0
14,-9.0
15,-20.0
16,-18.0
17,-13.0
18,-11.0
19,-16.0
20,-21.0
21,-18.0
22,-14.0
23,-15.0
24,-17.0
25,-11.0
26,-18.0
27,-19.0
28,-12.0
29,-17.0
30,-12.0
31,-9.0
32,-13.0
33,-13.0
34,-17.0
35,-16.0
36,-12.0
37,-14.0
38,-11.0
39,-10.0
40,-10.0
41,-16.0
42,-15.0
43,-14.0
44,-7.0
45,-14.0
46,-11.0
47,-18.0
48,-14.0
49,-12.0
50,-19.0
51,-19.0
52,-14.0
53,-12.0
54,-10.0
55,-18.0
56,-15.0
57,-9.0
58,-15.0
59,-13.0
60,-16.0
61,-16.0
62,-12.0
63,-14.0
64,-14.0
65,-14.0
66,-15.0
67,-17.0
68,-15.0
69,-9.0
70,-14.0
71,-14.0
72,-10.0
73,-19.0
74,-14.0
75,-14.0
76,-16.0
77,-17.0
78,-17.0
79,-19.0
80,-11.0
81,-16.0
82,-14.0
83,-11.0
84,-13.0
85,-17.0
86,-10.0
87,-16.0
88,-14.0
89,-14.0
90,-16.0
91,-19.0
92,-19.0
93,-13.0
94,-13.0
95,-13.0
96,-8.0
97,-8.0
98,-19.0
99,-19.0
100,-16.0
101,-16.0
102,-19.0
103,-17.0
104,-17.0
105,-14.0
106,-16.0
107,-10.0
108,-13.0
109,-14.0
110,-11.0
111,-14.0
112,-17.0
113,-17.0
114,-17.0
115,-16.0
116,-19.0
117,-14.0
118,-12.0
119,-16.0
120,-9.0
121,-18.0
122,-18.0
123,-8.0
124,-13.0
125,-12.0
126,-14.0
127,-11.0
128,-15.0
129,-18.0
130,-20.0
131,-21.0
132,-13.0
133,-15.0
134,-16.0
135,-14.0
136,-19.0
137,-14.0
138,-12.0
139,-18.0
140,-13.0
141,-10.0
142,-13.0
143,-16.0
144,-17.0
145,-11.0
146,-12.0
147,-15.0
148,-14.0
149,-10.0
150,-11.0
151,-14.0
152,-8.0
153,-17.0
154,-14.0
155,-11.0
156,-15.0
157,-14.0
158,-14.0
159,-15.0
160,-13.0
161,-14.0
162,-14.0
163,-18.0
164,-13.0
165,-16.0
166,-13.0
167,-14.0
168,-15.0
169,-14.0
170,-11.0
171,-14.0
172,-15.0
173,-19.0
174,-10.0
175,-12.0
176,-18.0
177,-14.0
178,-14.0
179,-15.0
180,-9.0
181,-19.0
182,-10.0
183,-19.0
184,-14.0
185,-15.0
186,-15.0
187,-19.0
188,-16.0
189,-19.0
190,-14.0
191,-10.0
192,-12.0
193,-17.0
194,-15.0
195,-21.0
196,-14.0
197,-11.0
198,-17.0
199,-19.0
200,-16.0
201,-9.0
202,-10.0
203,-10.0
204,-12.0
205,-14.0
206,-15.0
207,-12.0
208,-9.0
209,-15.0
210,-10.0
211,-12.0
212,-14.0
213,-13.0
214,-11.0
215,-19.0
216,-12.0
217,-17.0
218,-17.0
219,-11.0
220,-16.0
221,-16.0
222,-8.0
223,-10.0
224,-19.0
225,-15.0
226,-19.0
227,-16.0
228,-15.0
229,-15.0
230,-11.0
231,-11.0
232,-15.0
233,-13.0
234,-17.0
235,-15.0
236,-19.0
237,-17.0
238,-19.0
239,-14.0
240,-19.0
241,-13.0
242,-10.0
243,-10.0
244,-17.0
245,-17.0
246,-14.0
247,-19.0
248,-17.0
249,-19.0
250,-12.0
251,-17.0
252,-13.0
253,-13.0
254,-13.0
255,-19.0
256,-19.0
257,-17.0
258,-15.0
259,-15.0
260,-19.0
261,-14.0
262,-14.0
263,-15.0
264,-3.0
265,-14.0
266,-15.0
267,-19.0
268,-19.0
269,-10.0
270,-11.0
271,-12.0
272,-18.0
273,-12.0
274,-14.0
275,-15.0
276,-16.0
277,-19.0
278,-16.0
279,-12.0
280,-15.0
281,-19.0
282,-9.0
283,-19.0
284,-16.0
285,-17.0
286,-11.0
287,-18.0
288,-9.0
289,-13.0
290,-7.0
291,-13.0
292,-14.0
293,-15.0
294,-19.0
295,-13.0
296,-19.0
297,-7.0
298,-13.0
299,-11.0
300,-11.0
301,-19.0
302,-14.0
303,-17.0
304,-19.0
305,-7.0
306,-19.0
307,-14.0
308,-17.0
309,-13.0
310,-18.0
311,-8.0
312,-8.0
313,-9.0
314,-15.0
315,-9.0
316,-15.0
317,-16.0
318,-17.0
319,-15.0
320,-19.0
321,-13.0
322,-20.0
323,-8.0
