game,score,steps
1,-11.0,1982
2,-5.0,2593
3,-11.0,1968
4,-13.0,1763
5,1.0,3409
6,2.0,2761
7,-16.0,1678
8,4.0,2328
9,5.0,2665
10,1.0,2542
11,2.0,2335
12,-5.0,2590
13,2.0,2702
14,11.0,2153
15,-4.0,2355
16,-13.0,1896
17,1.0,2944
18,-12.0,1858
19,9.0,2191
20,-3.0,2545
21,-2.0,2979
22,-1.0,3240
23,-4.0,2908
24,-6.0,2379
25,9.0,2160
26,-3.0,3295
27,1.0,3488
28,2.0,2766
29,-6.0,2404
30,-6.0,2522
31,4.0,2358
32,5.0,3322
33,2.0,2839
34,-6.0,2413
35,-2.0,2532
36,-5.0,2824
37,-5.0,2535
38,-1.0,2724
39,-8.0,2029
40,-3.0,2633
41,-4.0,2719
42,1.0,2523
43,8.0,2272
44,-7.0,2587
45,-5.0,2782
46,-2.0,2557
47,-4.0,2841
48,1.0,2889
49,-5.0,2164
50,-5.0,3236
51,-12.0,1984
52,-12.0,1839
53,4.0,2803
54,-7.0,2633
55,-5.0,3039
56,7.0,2568
57,-6.0,2352
58,5.0,2840
59,-6.0,2596
60,-1.0,3082
61,-4.0,3502
62,1.0,2874
63,2.0,2569
64,-4.0,2680
65,-1.0,4057
66,7.0,2529
67,4.0,2571
68,4.0,2477
69,-6.0,2428
70,5.0,2324
71,3.0,2549
72,-6.0,2240
73,-4.0,3287
74,1.0,2625
75,9.0,2277
76,-1.0,3153
77,-2.0,2679
78,-1.0,3245
79,-9.0,2012
80,-3.0,2544
81,-2.0,2589
82,1.0,2838
83,4.0,3291
84,9.0,2161
85,6.0,2408
86,-1.0,3192
87,-2.0,2655
88,4.0,2852
89,-2.0,2623
90,-4.0,2300
91,-2.0,2923
92,-7.0,2876
93,-7.0,2434
94,1.0,3199
95,-13.0,1725
96,-9.0,2048
97,-1.0,3201
98,-3.0,3138
99,8.0,2411
100,2.0,2619
101,7.0,2865
102,10.0,2174
103,-10.0,2291
104,-1.0,2999
105,-1.0,3270
106,4.0,2573
107,8.0,2388
108,3.0,2602
109,-2.0,2772
110,-3.0,2750
111,-5.0,2693
112,-3.0,2794
113,-8.0,2256
114,-1.0,2952
115,-11.0,1747
116,-1.0,2765
117,2.0,3232
118,-4.0,2478
119,2.0,3443
120,3.0,2428
121,1.0,3167
122,-1.0,3455
123,4.0,2717
124,4.0,2305
125,11.0,2102
126,-1.0,3187
127,11.0,2163
128,9.0,2197
129,-1.0,2875
130,-5.0,2667
131,5.0,2555
132,1.0,2859
133,1.0,2885
134,-7.0,2777
135,2.0,3045
136,-11.0,2269
137,6.0,2155
138,-1.0,3128
139,-2.0,3392
140,-5.0,2538
141,5.0,2597
142,11.0,2081
143,7.0,2326
144,2.0,2743
145,-2.0,2685
146,-10.0,2198
147,4.0,2784
148,-3.0,2399
149,2.0,3189
150,2.0,3196
151,1.0,3440
