% time spent exploring,episodes,mean 100 episode reward 1,mean 100 episode reward 2,steps
98,10,4.0,3.0,1630
95,20,4.3,3.9,4041
93,30,5.0,4.8,7057
91,40,4.7,4.6,9006
88,50,4.5,4.5,11202
86,60,4.3,4.3,13252
84,70,4.3,4.2,15381
82,80,4.1,4.2,17569
80,90,4.0,4.1,19379
78,100,4.1,4.0,21557
76,110,4.0,4.1,23646
74,120,3.9,3.9,25302
72,130,3.7,3.7,27654
70,140,3.8,3.7,29752
68,150,3.8,3.7,31904
66,160,3.7,3.7,33822
64,170,3.9,3.8,36271
62,180,3.9,3.8,37980
60,190,3.8,3.7,39459
58,200,3.9,3.8,42264
55,210,4.0,3.8,44607
54,220,3.9,3.8,45986
52,230,3.8,3.7,47899
50,240,3.5,3.5,49750
48,250,3.6,3.5,51566
47,260,3.4,3.4,53140
45,270,3.4,3.3,55325
