% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.1,250
98,20,0.1,520
98,30,0.2,887
97,40,0.2,1157
97,50,0.1,1409
96,60,0.1,1665
96,70,0.1,1940
95,80,0.2,2271
94,90,0.2,2601
94,100,0.2,2946
93,110,0.2,3345
92,120,0.3,3784
91,130,0.3,4296
90,140,0.3,4705
89,150,0.4,5100
89,160,0.4,5526
88,170,0.5,6002
87,180,0.5,6475
86,190,0.5,6752
86,200,0.5,7050
85,210,0.5,7476
84,220,0.5,7927
83,230,0.4,8270
82,240,0.4,8674
82,250,0.4,9083
80,260,0.5,9778
80,270,0.4,10082
79,280,0.4,10442
77,290,0.5,11125
76,300,0.6,11725
75,310,0.6,12234
74,320,0.6,12676
73,330,0.7,13302
73,340,0.7,13633
72,350,0.7,14124
71,360,0.6,14595
69,370,0.8,15417
68,380,0.8,15837
67,390,0.8,16337
66,400,0.8,16858
65,410,0.8,17449
64,420,0.8,17884
63,430,0.8,18507
62,440,0.8,19035
60,450,0.9,19715
59,460,1.0,20595
57,470,1.0,21479
55,480,1.1,22244
54,490,1.1,22804
53,500,1.2,23627
51,510,1.3,24445
50,520,1.4,25227
48,530,1.4,25969
47,540,1.4,26612
45,550,1.4,27314
43,560,1.5,28327
41,570,1.5,29293
39,580,1.7,30482
38,590,1.7,31229
36,600,1.7,32048
33,610,1.9,33466
30,620,2.1,34908
28,630,2.2,36090
26,640,2.3,36970
24,650,2.4,37982
22,660,2.5,39113
18,670,2.8,40946
16,680,2.8,42362
13,690,3.0,43591
11,700,3.1,44819
8,710,3.2,46410
4,720,3.4,48212
1,730,3.6,50014
1,740,4.1,52473
1,750,4.3,54345
1,760,4.6,56398
1,770,4.9,58927
1,780,5.0,60732
1,790,5.3,63024
1,800,5.7,65686
1,810,5.9,67884
1,820,6.1,70050
1,830,6.3,72164
1,840,6.3,74364
1,850,6.1,75725
1,860,6.3,78336
1,870,6.1,80244
1,880,6.1,82179
1,890,6.2,84840
1,900,5.9,86291
1,910,5.9,88692
1,920,5.9,90917
1,930,5.9,93368
1,940,5.9,95435
1,950,6.2,97549
1,960,6.1,99819
1,970,6.2,102109
1,980,6.4,104351
1,990,6.4,106815
1,1000,6.6,109106
1,1010,6.6,111413
1,1020,6.3,113233
1,1030,6.3,115380
1,1040,6.3,117567
1,1050,6.6,120037
1,1060,6.5,122288
1,1070,6.6,124832
1,1080,6.9,126945
1,1090,7.0,129771
1,1100,7.0,132014
1,1110,7.1,134286
1,1120,7.2,136109
1,1130,7.4,138469
1,1140,7.5,141063
1,1150,7.4,143665
1,1160,7.5,146112
1,1170,7.3,147619
1,1180,6.9,149347
1,1190,6.8,152082
1,1200,6.8,154348
1,1210,6.8,156821
1,1220,7.0,159380
1,1230,6.9,161812
1,1240,6.9,164418
1,1250,7.0,167193
1,1260,7.0,169615
1,1270,7.3,172208
1,1280,7.6,175015
1,1290,7.1,176335
1,1300,7.1,178301
1,1310,7.4,181305
1,1320,7.6,184303
1,1330,7.6,186720
1,1340,7.4,188955
1,1350,7.7,191592
1,1360,7.7,194196
1,1370,7.4,196579
1,1380,7.2,198542
1,1390,7.4,200483
1,1400,7.7,203396
1,1410,7.3,205289
1,1420,7.4,208026
1,1430,7.3,210444
1,1440,7.3,212501
1,1450,6.8,214455
1,1460,6.9,217164
1,1470,7.2,219977
1,1480,7.7,222280
1,1490,7.9,224962
1,1500,7.5,226332
1,1510,7.8,229343
1,1520,7.5,231942
1,1530,7.5,234265
1,1540,7.7,237195
1,1550,8.0,240023
1,1560,7.8,241933
1,1570,7.8,244529
1,1580,7.7,247894
1,1590,8.1,250304
1,1600,8.2,252310
1,1610,8.1,255055
1,1620,8.4,257813
1,1630,8.4,260171
1,1640,8.5,262604
1,1650,8.6,265386
1,1660,9.1,268170
1,1670,8.7,270578
1,1680,8.5,273007
1,1690,8.1,275473
1,1700,8.1,277324
1,1710,8.3,279360
1,1720,8.0,281944
1,1730,8.0,284145
1,1740,8.3,287068
1,1750,8.4,289749
1,1760,7.8,291521
1,1770,7.6,293090
1,1780,7.5,294976
1,1790,7.2,296561
1,1800,7.3,298837
1,1810,6.8,300527
1,1820,7.4,303491
1,1830,7.5,305798
1,1840,7.0,308195
1,1850,6.9,310698
1,1860,7.4,313362
1,1870,7.7,315178
1,1880,7.9,317501
1,1890,8.5,320149
1,1900,8.6,322692
1,1910,9.0,325517
1,1920,8.4,328029
1,1930,8.2,330363
1,1940,8.3,333036
1,1950,8.1,335124
1,1960,8.1,338176
1,1970,8.1,340762
1,1980,8.2,343368
1,1990,8.2,345787
1,2000,8.2,348506
1,2010,8.2,350799
1,2020,8.5,353733
1,2030,8.8,356240
1,2040,8.8,358918
1,2050,8.8,361034
1,2060,8.8,363866
1,2070,9.2,366683
1,2080,9.1,369154
1,2090,8.7,371401
1,2100,8.7,374118
1,2110,8.6,376453
1,2120,8.6,379511
1,2130,8.2,381468
1,2140,8.3,383850
1,2150,8.6,385688
1,2160,8.5,387911
1,2170,8.0,390201
1,2180,8.0,392619
1,2190,8.4,395066
1,2200,8.2,397324
1,2210,8.3,400515
1,2220,7.9,402387
1,2230,8.1,405299
1,2240,8.1,408302
