% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.2,276
98,20,0.2,546
98,30,0.1,774
97,40,0.1,1022
97,50,0.1,1341
96,60,0.2,1674
96,70,0.2,1960
95,80,0.2,2311
94,90,0.2,2662
93,100,0.2,3089
93,110,0.2,3436
92,120,0.3,4037
91,130,0.3,4259
91,140,0.3,4489
90,150,0.3,4887
89,160,0.3,5192
89,170,0.3,5416
88,180,0.3,5719
88,190,0.3,6018
87,200,0.3,6517
86,210,0.3,6968
85,220,0.2,7323
84,230,0.2,7579
84,240,0.2,7805
83,250,0.3,8227
83,260,0.2,8453
82,270,0.2,8681
81,280,0.3,9133
81,290,0.2,9363
80,300,0.2,9783
79,310,0.2,10134
79,320,0.2,10579
78,330,0.2,10851
77,340,0.3,11248
77,350,0.2,11523
76,360,0.2,11751
76,370,0.2,12056
75,380,0.2,12376
74,390,0.2,12632
74,400,0.2,12934
73,410,0.2,13192
73,420,0.1,13414
72,430,0.1,13686
72,440,0.1,14041
71,450,0.1,14317
71,460,0.1,14541
70,470,0.2,14939
69,480,0.1,15165
69,490,0.2,15563
68,500,0.2,16044
67,510,0.2,16424
66,520,0.2,16680
66,530,0.3,17032
65,540,0.3,17505
64,550,0.3,17731
64,560,0.3,18062
63,570,0.3,18487
62,580,0.4,18850
62,590,0.3,19108
61,600,0.3,19336
61,610,0.3,19695
60,620,0.3,19949
59,630,0.2,20223
59,640,0.2,20449
59,650,0.2,20675
58,660,0.2,20949
57,670,0.2,21291
56,680,0.2,21732
56,690,0.2,22006
55,700,0.2,22307
55,710,0.2,22656
54,720,0.2,23003
53,730,0.3,23518
52,740,0.3,23774
52,750,0.3,24137
51,760,0.3,24407
51,770,0.3,24693
50,780,0.3,24949
49,790,0.3,25344
49,800,0.3,25698
48,810,0.3,26098
47,820,0.3,26425
46,830,0.3,26850
46,840,0.3,27143
45,850,0.3,27449
44,860,0.3,27918
44,870,0.3,28146
43,880,0.3,28469
43,890,0.3,28697
42,900,0.2,28923
41,910,0.2,29337
40,920,0.3,29834
40,930,0.3,30209
39,940,0.2,30433
38,950,0.3,30858
38,960,0.2,31186
37,970,0.2,31406
37,980,0.2,31735
36,990,0.3,32064
35,1000,0.3,32470
35,1010,0.3,32692
34,1020,0.2,33019
34,1030,0.2,33323
33,1040,0.2,33640
32,1050,0.2,34015
31,1060,0.2,34349
31,1070,0.3,34607
30,1080,0.2,34912
30,1090,0.2,35210
29,1100,0.2,35462
29,1110,0.2,35839
28,1120,0.2,36182
27,1130,0.2,36456
27,1140,0.2,36777
26,1150,0.2,37192
25,1160,0.3,37579
24,1170,0.3,37881
24,1180,0.3,38260
23,1190,0.3,38666
22,1200,0.3,38896
22,1210,0.3,39221
21,1220,0.3,39599
20,1230,0.3,39900
20,1240,0.3,40124
19,1250,0.3,40521
18,1260,0.3,41021
18,1270,0.3,41380
17,1280,0.3,41801
16,1290,0.3,42102
15,1300,0.4,42611
14,1310,0.5,43333
13,1320,0.5,43755
12,1330,0.5,44232
11,1340,0.6,44655
10,1350,0.6,45105
10,1360,0.5,45415
8,1370,0.6,45989
7,1380,0.6,46651
6,1390,0.7,47296
5,1400,0.7,47733
4,1410,0.6,48262
3,1420,0.7,48933
1,1430,0.8,49600
1,1440,0.8,50239
1,1450,0.8,50765
1,1460,0.8,51170
1,1470,0.9,51736
1,1480,0.9,52494
1,1490,0.9,53165
1,1500,1.0,54041
1,1510,1.1,54981
1,1520,1.2,55919
1,1530,1.2,56483
1,1540,1.2,57132
1,1550,1.2,57804
1,1560,1.2,58163
1,1570,1.3,58813
1,1580,1.3,59583
1,1590,1.3,60230
1,1600,1.3,61086
1,1610,1.3,61963
1,1620,1.3,62935
1,1630,1.4,63828
1,1640,1.4,64456
1,1650,1.4,65194
1,1660,1.5,65780
1,1670,1.7,66965
1,1680,1.7,67829
1,1690,1.7,68410
1,1700,1.7,69316
1,1710,1.8,70160
1,1720,1.6,70698
1,1730,1.6,71536
1,1740,1.7,72387
1,1750,1.7,73200
1,1760,1.8,74061
1,1770,1.6,74981
1,1780,1.6,75798
1,1790,1.7,76747
1,1800,1.7,77693
1,1810,1.7,78629
1,1820,1.8,79316
1,1830,1.7,80048
1,1840,1.7,80769
1,1850,1.7,81557
1,1860,1.8,82542
1,1870,1.8,83317
1,1880,1.8,84315
1,1890,1.8,85359
1,1900,1.8,86283
1,1910,1.9,87292
1,1920,2.0,88494
1,1930,2.0,89297
1,1940,2.1,90110
1,1950,2.2,91193
1,1960,2.2,92117
1,1970,2.2,93146
1,1980,2.2,94264
1,1990,2.2,95438
1,2000,2.3,96439
1,2010,2.2,97453
1,2020,2.2,98304
1,2030,2.2,99377
1,2040,2.3,100388
1,2050,2.3,101263
1,2060,2.3,102205
1,2070,2.4,103634
1,2080,2.4,104465
1,2090,2.3,105212
1,2100,2.4,106450
1,2110,2.4,107531
1,2120,2.4,108577
1,2130,2.5,109784
1,2140,2.4,110919
1,2150,3.0,112636
1,2160,3.0,113349
1,2170,2.8,114380
1,2180,2.9,115577
1,2190,3.0,116743
1,2200,2.9,117437
1,2210,2.9,118685
1,2220,2.9,119771
1,2230,2.8,120749
1,2240,2.9,121970
1,2250,2.4,123016
1,2260,2.4,123859
1,2270,2.4,124969
1,2280,2.5,126259
1,2290,2.4,127351
1,2300,2.4,127980
