% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.1,250
99,20,0.1,520
99,30,0.1,790
99,40,0.2,1235
99,50,0.2,1514
99,60,0.2,1910
99,70,0.3,2366
99,80,0.2,2594
99,90,0.2,2866
99,100,0.2,3118
99,110,0.2,3446
99,120,0.2,3794
99,130,0.3,4106
99,140,0.2,4406
99,150,0.3,4895
99,160,0.3,5170
99,170,0.2,5494
99,180,0.3,5936
99,190,0.3,6235
99,200,0.3,6461
99,210,0.3,6863
99,220,0.3,7164
99,230,0.3,7534
99,240,0.3,7818
99,250,0.2,8169
99,260,0.3,8491
99,270,0.2,8747
99,280,0.2,8973
99,290,0.2,9261
99,300,0.2,9661
99,310,0.2,9960
98,320,0.2,10227
98,330,0.2,10453
98,340,0.2,11070
98,350,0.3,11473
98,360,0.3,12000
98,370,0.3,12299
98,380,0.3,12573
98,390,0.4,12948
98,400,0.3,13224
98,410,0.4,13729
98,420,0.4,14104
98,430,0.5,14725
98,440,0.4,15001
98,450,0.4,15348
98,460,0.3,15648
98,470,0.3,15878
98,480,0.3,16108
98,490,0.3,16411
98,500,0.3,16708
98,510,0.2,17033
98,520,0.2,17339
98,530,0.2,17612
98,540,0.2,18158
98,550,0.2,18550
98,560,0.2,18885
98,570,0.3,19139
98,580,0.3,19367
98,590,0.3,19719
98,600,0.3,20020
97,610,0.3,20344
97,620,0.2,20570
97,630,0.2,20871
97,640,0.2,21300
97,650,0.2,21700
97,660,0.2,22017
97,670,0.2,22271
97,680,0.2,22600
97,690,0.2,22920
97,700,0.2,23266
97,710,0.3,23703
97,720,0.3,24073
97,730,0.3,24297
97,740,0.2,24602
97,750,0.2,24921
97,760,0.2,25193
97,770,0.2,25478
97,780,0.2,25752
97,790,0.2,26133
97,800,0.2,26455
97,810,0.2,26784
97,820,0.2,27374
97,830,0.3,27694
97,840,0.3,28014
97,850,0.3,28390
97,860,0.3,28690
97,870,0.3,28989
97,880,0.3,29344
97,890,0.3,29814
97,900,0.3,30068
96,910,0.3,30386
96,920,0.2,30661
96,930,0.3,31111
96,940,0.3,31335
96,950,0.2,31609
96,960,0.2,31913
96,970,0.2,32232
96,980,0.3,32709
96,990,0.3,33187
96,1000,0.3,33610
96,1010,0.3,33913
96,1020,0.3,34185
96,1030,0.3,34504
96,1040,0.3,34830
96,1050,0.4,35200
96,1060,0.4,35674
96,1070,0.4,35956
96,1080,0.3,36229
96,1090,0.3,36527
96,1100,0.2,36797
96,1110,0.2,37023
96,1120,0.2,37277
96,1130,0.2,37628
96,1140,0.2,37953
96,1150,0.2,38207
96,1160,0.2,38463
96,1170,0.2,38792
96,1180,0.2,39020
96,1190,0.2,39415
96,1200,0.2,39699
96,1210,0.2,39973
96,1220,0.2,40241
95,1230,0.2,40540
95,1240,0.2,40863
95,1250,0.2,41209
95,1260,0.3,41856
95,1270,0.3,42175
95,1280,0.3,42525
95,1290,0.3,43031
95,1300,0.3,43380
95,1310,0.4,43713
95,1320,0.4,43988
95,1330,0.3,44239
95,1340,0.4,44683
95,1350,0.4,44986
95,1360,0.3,45531
95,1370,0.4,45901
95,1380,0.4,46356
95,1390,0.4,46801
95,1400,0.4,47099
95,1410,0.4,47523
95,1420,0.4,47828
95,1430,0.4,48125
95,1440,0.4,48549
95,1450,0.4,48899
95,1460,0.4,49276
95,1470,0.4,49604
95,1480,0.3,49921
95,1490,0.3,50177
94,1500,0.3,50526
94,1510,0.3,50800
94,1520,0.3,51133
94,1530,0.3,51389
