game,score
1,200.0
2,71.0
3,121.0
4,84.0
5,41.0
6,191.0
7,78.0
8,214.0
9,187.0
10,72.0
11,77.0
12,190.0
13,53.0
14,232.0
15,288.0
16,66.0
17,223.0
18,191.0
19,196.0
20,54.0
21,244.0
22,191.0
23,132.0
24,103.0
25,191.0
26,107.0
27,78.0
28,50.0
29,46.0
30,91.0
31,234.0
32,192.0
33,191.0
34,62.0
35,239.0
36,98.0
37,326.0
38,191.0
39,191.0
40,63.0
41,50.0
42,378.0
43,47.0
44,234.0
45,76.0
46,269.0
47,380.0
48,191.0
49,64.0
50,47.0
51,284.0
52,249.0
53,93.0
54,222.0
55,154.0
56,42.0
57,48.0
58,50.0
59,385.0
60,154.0
61,53.0
62,191.0
63,319.0
64,234.0
65,63.0
66,108.0
67,194.0
68,103.0
69,42.0
70,187.0
71,123.0
72,73.0
73,50.0
74,71.0
75,320.0
76,55.0
77,191.0
78,418.0
79,50.0
80,97.0
81,43.0
82,47.0
83,112.0
84,191.0
85,54.0
86,132.0
87,234.0
88,216.0
89,234.0
90,64.0
91,70.0
92,66.0
93,100.0
94,36.0
95,32.0
96,53.0
97,41.0
98,224.0
99,27.0
100,56.0
101,75.0
102,50.0
103,234.0
104,128.0
105,234.0
106,234.0
107,161.0
108,283.0
109,50.0
110,49.0
111,98.0
112,81.0
113,100.0
114,139.0
115,213.0
116,50.0
117,191.0
118,78.0
119,234.0
120,264.0
121,62.0
122,73.0
123,186.0
124,100.0
125,85.0
126,70.0
127,55.0
128,50.0
129,171.0
130,70.0
131,81.0
132,191.0
133,48.0
134,345.0
135,268.0
136,189.0
137,191.0
138,418.0
139,56.0
140,306.0
141,93.0
142,194.0
143,234.0
144,63.0
145,88.0
146,139.0
147,280.0
148,50.0
149,291.0
150,234.0
151,82.0
152,116.0
153,111.0
154,71.0
155,74.0
156,87.0
157,66.0
158,253.0
159,50.0
160,219.0
161,155.0
162,191.0
163,32.0
164,326.0
165,62.0
166,234.0
167,65.0
168,279.0
169,102.0
170,418.0
171,50.0
172,50.0
173,97.0
174,234.0
175,191.0
176,189.0
177,189.0
178,92.0
179,109.0
180,52.0
181,53.0
182,44.0
183,45.0
184,32.0
185,384.0
186,89.0
187,385.0
188,50.0
189,191.0
190,234.0
191,297.0
192,97.0
193,256.0
194,87.0
195,50.0
196,385.0
197,43.0
198,363.0
199,130.0
200,136.0
201,78.0
202,60.0
203,376.0
204,130.0
205,199.0
206,109.0
207,43.0
208,67.0
209,189.0
210,47.0
211,298.0
212,191.0
213,62.0
214,53.0
215,416.0
216,191.0
217,56.0
218,50.0
219,91.0
220,191.0
221,120.0
222,33.0
223,189.0
224,234.0
225,191.0
226,50.0
227,78.0
228,63.0
229,191.0
230,50.0
231,191.0
232,336.0
233,191.0
234,87.0
235,58.0
236,88.0
237,280.0
238,128.0
239,54.0
240,62.0
241,97.0
242,78.0
243,207.0
244,78.0
245,41.0
246,129.0
247,46.0
248,238.0
249,234.0
250,36.0
251,50.0
252,43.0
253,181.0
254,199.0
255,76.0
256,257.0
257,339.0
258,256.0
259,192.0
260,191.0
261,26.0
262,57.0
263,76.0
264,65.0
265,126.0
266,191.0
267,63.0
268,44.0
269,86.0
270,77.0
271,384.0
272,234.0
273,54.0
274,234.0
275,102.0
276,74.0
277,191.0
278,116.0
279,191.0
280,285.0
281,215.0
282,91.0
283,50.0
284,227.0
285,85.0
286,158.0
287,40.0
288,76.0
289,187.0
290,191.0
291,191.0
292,394.0
293,78.0
294,96.0
295,252.0
296,87.0
297,82.0
298,57.0
299,191.0
300,78.0
301,87.0
302,234.0
303,64.0
304,232.0
305,112.0
306,81.0
307,82.0
308,67.0
309,52.0
