% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.7,475
99,20,0.4,756
99,30,0.5,1303
99,40,0.5,1824
99,50,0.5,2153
99,60,0.5,2508
99,70,0.5,2949
99,80,0.4,3179
99,90,0.4,3498
99,100,0.4,3770
99,110,0.3,4069
99,120,0.3,4390
99,130,0.3,4664
99,140,0.2,4965
99,150,0.2,5408
99,160,0.2,5777
99,170,0.2,6095
99,180,0.2,6513
99,190,0.3,7176
99,200,0.3,7453
99,210,0.3,7779
99,220,0.3,8092
99,230,0.4,8443
99,240,0.4,8798
99,250,0.3,9024
99,260,0.3,9325
99,270,0.3,9743
99,280,0.3,9973
98,290,0.2,10259
98,300,0.3,10785
98,310,0.3,11251
98,320,0.3,11528
98,330,0.3,11948
98,340,0.3,12220
98,350,0.3,12619
98,360,0.3,12985
98,370,0.3,13259
98,380,0.3,13705
98,390,0.3,14024
98,400,0.3,14248
98,410,0.2,14628
98,420,0.3,15143
98,430,0.3,15373
98,440,0.3,15816
98,450,0.3,16218
98,460,0.3,16585
98,470,0.3,16985
98,480,0.4,17606
98,490,0.4,18094
98,500,0.4,18350
98,510,0.4,18576
98,520,0.3,18852
98,530,0.4,19108
98,540,0.3,19475
98,550,0.3,19703
98,560,0.3,20097
97,570,0.3,20558
97,580,0.2,20914
97,590,0.2,21285
97,600,0.2,21509
97,610,0.2,21791
97,620,0.2,22045
97,630,0.3,22563
97,640,0.3,22963
97,650,0.4,23470
97,660,0.3,23799
97,670,0.3,24100
97,680,0.3,24497
97,690,0.3,24769
97,700,0.3,25119
97,710,0.3,25416
97,720,0.3,25646
97,730,0.2,25870
97,740,0.2,26100
97,750,0.1,26328
97,760,0.1,26650
97,770,0.2,27106
97,780,0.2,27535
97,790,0.2,27868
97,800,0.2,28190
97,810,0.2,28492
97,820,0.3,28983
97,830,0.3,29213
97,840,0.3,29560
97,850,0.3,29834
97,860,0.3,30058
97,870,0.2,30288
96,880,0.2,30540
96,890,0.3,31259
96,900,0.2,31485
96,910,0.2,31753
96,920,0.2,32035
96,930,0.2,32459
96,940,0.2,32834
96,950,0.2,33088
96,960,0.3,33386
96,970,0.3,33707
96,980,0.3,34066
96,990,0.2,34518
96,1000,0.3,35026
96,1010,0.3,35248
96,1020,0.3,35645
96,1030,0.3,35994
96,1040,0.3,36271
96,1050,0.3,36592
96,1060,0.3,36820
96,1070,0.3,37144
96,1080,0.3,37548
96,1090,0.3,37897
96,1100,0.2,38253
96,1110,0.3,38631
96,1120,0.3,39017
96,1130,0.3,39390
96,1140,0.3,39812
96,1150,0.3,40040
96,1160,0.3,40343
95,1170,0.3,40743
95,1180,0.3,41150
95,1190,0.3,41406
95,1200,0.3,41737
95,1210,0.3,42259
95,1220,0.4,42696
95,1230,0.3,42977
95,1240,0.3,43276
95,1250,0.3,43577
95,1260,0.3,43805
95,1270,0.3,44351
95,1280,0.3,44764
95,1290,0.4,45121
95,1300,0.4,45528
95,1310,0.3,45756
95,1320,0.3,46042
95,1330,0.3,46420
95,1340,0.3,46841
95,1350,0.3,47111
95,1360,0.3,47365
95,1370,0.3,47666
95,1380,0.3,48015
95,1390,0.2,48287
95,1400,0.2,48587
95,1410,0.3,49164
95,1420,0.3,49487
95,1430,0.3,49772
95,1440,0.3,50116
95,1450,0.3,50417
94,1460,0.3,50894
94,1470,0.3,51290
94,1480,0.3,51641
94,1490,0.3,51869
94,1500,0.3,52142
94,1510,0.2,52370
94,1520,0.2,52675
94,1530,0.2,52897
94,1540,0.2,53364
94,1550,0.2,53590
94,1560,0.2,53848
94,1570,0.2,54181
94,1580,0.2,54530
94,1590,0.2,54786
94,1600,0.2,55088
94,1610,0.2,55450
94,1620,0.2,55863
94,1630,0.3,56138
94,1640,0.2,56364
94,1650,0.2,56680
94,1660,0.3,57087
94,1670,0.2,57385
94,1680,0.2,57641
94,1690,0.2,57939
94,1700,0.3,58566
94,1710,0.3,58839
94,1720,0.3,59191
94,1730,0.3,59587
94,1740,0.3,60000
94,1750,0.4,60347
94,1760,0.3,60601
93,1770,0.3,60956
93,1780,0.4,61454
93,1790,0.4,61980
93,1800,0.4,62387
93,1810,0.4,62895
93,1820,0.4,63213
93,1830,0.4,63626
93,1840,0.4,63931
93,1850,0.4,64218
93,1860,0.4,64510
93,1870,0.5,65077
93,1880,0.5,65603
93,1890,0.4,66027
93,1900,0.4,66297
93,1910,0.4,66864
93,1920,0.4,67264
93,1930,0.4,67609
93,1940,0.4,67960
93,1950,0.4,68188
93,1960,0.4,68416
93,1970,0.3,68642
93,1980,0.3,69037
93,1990,0.2,69313
93,2000,0.3,69846
93,2010,0.2,70193
93,2020,0.2,70447
92,2030,0.2,70817
92,2040,0.2,71215
92,2050,0.3,71566
92,2060,0.3,71843
92,2070,0.3,72353
92,2080,0.3,72720
92,2090,0.4,73098
92,2100,0.3,73460
92,2110,0.4,74015
92,2120,0.4,74340
92,2130,0.4,74614
92,2140,0.4,74983
92,2150,0.4,75316
92,2160,0.4,75668
92,2170,0.4,76087
92,2180,0.4,76511
92,2190,0.4,77020
92,2200,0.4,77391
92,2210,0.3,77694
92,2220,0.3,78044
92,2230,0.4,78501
92,2240,0.4,78828
92,2250,0.4,79082
92,2260,0.4,79491
92,2270,0.4,80090
92,2280,0.4,80316
92,2290,0.3,80587
91,2300,0.4,81068
91,2310,0.4,81364
91,2320,0.4,81723
91,2330,0.3,82058
91,2340,0.4,82635
91,2350,0.4,83042
91,2360,0.4,83361
91,2370,0.4,83930
91,2380,0.4,84158
91,2390,0.4,84465
91,2400,0.4,84786
91,2410,0.4,85193
91,2420,0.4,85476
91,2430,0.4,85826
91,2440,0.4,86299
91,2450,0.4,86676
91,2460,0.4,86976
91,2470,0.3,87498
91,2480,0.4,87876
91,2490,0.4,88222
91,2500,0.4,88570
91,2510,0.4,88893
91,2520,0.4,89216
91,2530,0.4,89672
91,2540,0.3,89927
91,2550,0.3,90273
91,2560,0.3,90546
91,2570,0.3,90843
90,2580,0.3,91219
90,2590,0.3,91499
90,2600,0.3,91994
90,2610,0.3,92222
90,2620,0.3,92648
90,2630,0.3,93099
90,2640,0.3,93376
90,2650,0.3,93630
90,2660,0.4,94200
90,2670,0.4,94472
90,2680,0.3,94840
90,2690,0.4,95206
90,2700,0.3,95621
