game,score
1,143.0
2,207.0
3,131.0
4,190.0
5,89.0
6,87.0
7,112.0
8,112.0
9,115.0
10,170.0
11,258.0
12,297.0
13,212.0
14,302.0
15,109.0
16,67.0
17,94.0
18,207.0
19,111.0
20,299.0
21,340.0
22,109.0
23,340.0
24,87.0
25,50.0
26,358.0
27,106.0
28,72.0
29,147.0
30,80.0
31,222.0
32,66.0
33,148.0
34,264.0
35,112.0
36,87.0
37,104.0
38,146.0
39,69.0
40,376.0
41,370.0
42,212.0
43,112.0
44,86.0
45,215.0
46,402.0
47,376.0
48,177.0
49,138.0
50,201.0
51,365.0
52,242.0
53,96.0
54,68.0
55,99.0
56,347.0
57,363.0
58,94.0
59,44.0
60,266.0
61,57.0
62,327.0
63,303.0
64,220.0
65,213.0
66,64.0
67,120.0
68,62.0
69,329.0
70,82.0
71,142.0
72,45.0
73,67.0
74,116.0
75,228.0
76,361.0
77,352.0
78,129.0
79,254.0
80,93.0
81,87.0
82,223.0
83,86.0
84,68.0
85,94.0
86,241.0
87,249.0
88,167.0
89,257.0
90,132.0
91,383.0
92,129.0
93,106.0
94,292.0
95,342.0
96,343.0
97,323.0
98,191.0
99,103.0
100,374.0
101,243.0
102,48.0
103,100.0
104,137.0
105,258.0
106,122.0
107,238.0
108,130.0
109,62.0
110,172.0
111,101.0
112,349.0
113,223.0
114,155.0
115,87.0
116,112.0
117,350.0
118,106.0
119,85.0
120,46.0
121,167.0
122,63.0
123,216.0
124,106.0
125,134.0
126,83.0
127,76.0
128,370.0
129,81.0
130,80.0
131,293.0
132,165.0
133,79.0
134,83.0
135,97.0
136,177.0
137,82.0
138,217.0
139,307.0
140,268.0
141,106.0
142,128.0
143,53.0
144,398.0
145,379.0
146,113.0
147,96.0
148,148.0
149,256.0
150,64.0
151,49.0
152,71.0
153,194.0
154,317.0
155,251.0
156,118.0
157,93.0
158,72.0
159,193.0
160,305.0
161,72.0
162,141.0
163,339.0
164,184.0
165,226.0
166,272.0
167,287.0
168,128.0
169,301.0
170,313.0
171,346.0
172,35.0
173,246.0
174,139.0
175,227.0
176,206.0
177,135.0
178,224.0
179,293.0
180,128.0
181,364.0
182,54.0
183,313.0
184,119.0
185,285.0
186,354.0
187,177.0
188,374.0
189,108.0
190,115.0
191,265.0
192,87.0
193,215.0
194,352.0
195,127.0
196,42.0
197,322.0
198,85.0
199,391.0
200,374.0
201,66.0
202,280.0
203,132.0
204,146.0
205,86.0
206,294.0
207,112.0
208,337.0
209,156.0
210,141.0
211,324.0
212,79.0
213,58.0
214,108.0
215,151.0
216,213.0
217,354.0
218,42.0
219,211.0
220,176.0
221,258.0
222,149.0
223,115.0
224,262.0
225,333.0
226,263.0
227,126.0
228,111.0
229,191.0
230,258.0
231,280.0
232,148.0
233,186.0
234,380.0
235,287.0
236,67.0
237,106.0
238,127.0
239,111.0
240,37.0
241,59.0
242,355.0
243,170.0
244,90.0
245,111.0
246,321.0
247,157.0
248,123.0
249,148.0
250,353.0
251,312.0
252,158.0
253,133.0
254,163.0
255,270.0
256,105.0
257,303.0
258,346.0
259,65.0
260,219.0
261,60.0
262,87.0
263,49.0
264,51.0
265,200.0
266,258.0
267,401.0
268,217.0
269,138.0
270,112.0
271,86.0
272,123.0
273,360.0
274,87.0
275,109.0
276,86.0
277,110.0
278,77.0
279,284.0
280,69.0
281,309.0
282,258.0
283,216.0
284,112.0
285,123.0
286,364.0
287,358.0
288,129.0
289,111.0
290,215.0
291,277.0
292,166.0
293,312.0
294,123.0
295,190.0
296,85.0
297,239.0
298,114.0
299,360.0
300,326.0
301,182.0
302,112.0
303,231.0
304,117.0
305,127.0
306,127.0
307,364.0
308,112.0
309,84.0
310,70.0
311,305.0
312,137.0
313,122.0
314,112.0
315,54.0
316,281.0
317,374.0
318,65.0
319,58.0
320,179.0
321,88.0
322,260.0
323,348.0
324,348.0
325,172.0
326,133.0
327,67.0
328,174.0
329,277.0
330,79.0
331,75.0
332,242.0
333,31.0
334,346.0
335,130.0
336,300.0
337,162.0
338,42.0
339,222.0
340,106.0
341,350.0
342,349.0
343,103.0
344,294.0
345,102.0
346,104.0
347,196.0
348,358.0
349,78.0
350,113.0
351,171.0
352,332.0
353,189.0
354,102.0
355,356.0
356,136.0
357,117.0
358,233.0
359,316.0
360,117.0
361,127.0
362,363.0
363,342.0
364,306.0
365,67.0
366,124.0
367,88.0
368,95.0
369,156.0
370,75.0
371,92.0
372,271.0
373,56.0
374,275.0
375,96.0
376,60.0
377,296.0
378,112.0
379,267.0
380,54.0
381,130.0
382,231.0
383,260.0
384,193.0
385,127.0
386,126.0
387,106.0
388,53.0
389,124.0
390,79.0
391,337.0
392,385.0
393,253.0
394,143.0
395,215.0
396,342.0
397,298.0
398,64.0
399,419.0
400,139.0
401,278.0
402,402.0
403,62.0
404,286.0
405,197.0
406,123.0
407,263.0
408,121.0
409,187.0
410,61.0
411,137.0
412,55.0
413,48.0
414,170.0
415,360.0
416,379.0
417,138.0
418,360.0
419,228.0
420,69.0
421,262.0
422,113.0
423,104.0
424,317.0
425,363.0
426,90.0
427,360.0
428,112.0
429,369.0
430,152.0
431,61.0
432,384.0
433,125.0
434,226.0
435,235.0
436,181.0
437,158.0
438,260.0
439,76.0
440,313.0
441,134.0
442,357.0
443,70.0
444,191.0
445,184.0
446,133.0
447,26.0
448,203.0
449,122.0
450,112.0
451,62.0
452,127.0
453,112.0
454,136.0
455,122.0
456,67.0
457,291.0
458,96.0
459,151.0
460,202.0
461,118.0
462,54.0
463,358.0
464,87.0
465,372.0
466,148.0
467,93.0
468,374.0
469,286.0
470,347.0
471,99.0
472,340.0
473,341.0
474,81.0
475,87.0
476,378.0
477,224.0
478,140.0
479,289.0
480,26.0
481,270.0
482,352.0
483,107.0
484,327.0
485,397.0
486,127.0
487,113.0
488,396.0
489,131.0
490,103.0
491,346.0
492,84.0
493,169.0
494,102.0
495,87.0
496,285.0
497,360.0
498,133.0
499,102.0
500,129.0
501,182.0
502,140.0
503,112.0
504,293.0
505,116.0
506,320.0
507,157.0
508,112.0
509,72.0
510,132.0
511,395.0
512,107.0
513,38.0
514,322.0
515,285.0
516,254.0
517,138.0
518,226.0
519,112.0
520,92.0
521,277.0
522,219.0
523,115.0
524,191.0
525,135.0
526,130.0
527,254.0
528,322.0
529,128.0
530,57.0
531,141.0
532,320.0
533,310.0
534,76.0
535,112.0
536,64.0
537,87.0
538,164.0
539,319.0
540,362.0
541,104.0
542,83.0
543,119.0
544,73.0
545,152.0
546,93.0
547,112.0
548,87.0
549,58.0
550,41.0
551,359.0
552,46.0
553,61.0
554,317.0
555,71.0
556,90.0
557,66.0
558,248.0
559,76.0
560,284.0
561,92.0
562,395.0
563,105.0
564,49.0
565,256.0
566,107.0
567,398.0
568,207.0
569,142.0
570,186.0
571,117.0
572,103.0
573,358.0
574,98.0
575,85.0
576,385.0
577,106.0
578,335.0
579,104.0
580,188.0
581,264.0
582,269.0
583,120.0
584,327.0
585,90.0
586,49.0
587,112.0
588,58.0
589,99.0
590,124.0
591,113.0
592,85.0
593,199.0
594,254.0
595,381.0
596,115.0
597,55.0
598,325.0
599,118.0
600,144.0
601,252.0
602,111.0
603,106.0
604,54.0
605,55.0
606,55.0
607,336.0
608,199.0
609,130.0
610,359.0
611,341.0
612,371.0
613,90.0
614,68.0
615,224.0
616,123.0
617,126.0
618,85.0
619,259.0
620,62.0
621,63.0
622,312.0
623,375.0
624,84.0
625,132.0
626,149.0
627,343.0
628,30.0
629,14.0
630,57.0
631,313.0
632,140.0
633,112.0
634,316.0
635,131.0
636,122.0
637,250.0
638,330.0
639,61.0
640,320.0
641,172.0
642,122.0
643,135.0
644,301.0
645,106.0
646,106.0
647,72.0
648,338.0
649,108.0
650,320.0
651,112.0
652,87.0
653,98.0
654,360.0
655,146.0
656,38.0
657,95.0
658,60.0
659,130.0
660,172.0
661,138.0
662,416.0
663,65.0
664,135.0
665,392.0
666,131.0
667,359.0
668,314.0
669,124.0
670,163.0
671,71.0
672,48.0
673,297.0
674,122.0
675,356.0
676,156.0
677,239.0
678,112.0
679,392.0
680,140.0
681,101.0
682,322.0
683,263.0
684,213.0
685,107.0
686,44.0
687,109.0
688,317.0
689,352.0
690,415.0
691,170.0
692,257.0
693,344.0
694,311.0
695,79.0
696,185.0
697,103.0
698,302.0
699,93.0
700,183.0
701,389.0
702,106.0
703,87.0
704,93.0
705,308.0
706,110.0
707,87.0
708,387.0
709,114.0
710,66.0
711,240.0
712,73.0
713,399.0
714,175.0
715,134.0
716,39.0
717,337.0
718,66.0
719,169.0
720,324.0
721,122.0
722,121.0
723,112.0
724,419.0
725,371.0
726,66.0
727,148.0
728,65.0
729,311.0
730,51.0
731,203.0
732,88.0
733,111.0
734,87.0
735,329.0
736,121.0
737,151.0
738,116.0
739,81.0
740,85.0
741,137.0
742,80.0
743,112.0
744,50.0
745,97.0
746,284.0
747,128.0
748,350.0
749,167.0
750,44.0
751,320.0
752,334.0
753,320.0
754,106.0
755,224.0
756,176.0
757,269.0
758,328.0
759,134.0
760,70.0
761,297.0
762,391.0
763,360.0
764,111.0
765,293.0
766,322.0
767,409.0
768,68.0
769,107.0
770,122.0
771,182.0
772,114.0
773,251.0
774,349.0
775,381.0
776,174.0
777,136.0
778,139.0
779,383.0
780,84.0
781,174.0
782,62.0
783,328.0
784,305.0
785,135.0
786,77.0
787,133.0
788,303.0
789,133.0
790,158.0
791,192.0
792,113.0
793,101.0
794,177.0
795,230.0
796,334.0
797,141.0
798,177.0
799,65.0
800,208.0
801,146.0
802,87.0
803,189.0
804,46.0
805,84.0
806,374.0
807,298.0
808,91.0
809,63.0
810,343.0
811,326.0
812,160.0
813,380.0
814,236.0
815,300.0
816,106.0
817,60.0
818,132.0
819,96.0
820,286.0
821,63.0
822,309.0
823,67.0
824,357.0
825,222.0
826,188.0
827,249.0
828,87.0
829,133.0
830,82.0
831,141.0
832,166.0
833,219.0
834,130.0
835,413.0
836,160.0
837,331.0
838,154.0
839,106.0
840,132.0
841,75.0
842,160.0
843,154.0
844,158.0
845,188.0
846,107.0
847,175.0
848,173.0
849,61.0
850,303.0
851,143.0
852,407.0
853,100.0
854,368.0
855,286.0
856,101.0
857,87.0
858,298.0
859,112.0
860,294.0
861,64.0
862,165.0
863,73.0
864,153.0
865,51.0
866,306.0
867,351.0
868,84.0
869,54.0
870,254.0
871,105.0
872,112.0
873,75.0
874,139.0
875,318.0
876,65.0
877,49.0
878,113.0
879,64.0
880,240.0
881,61.0
882,253.0
883,139.0
884,198.0
885,118.0
886,75.0
887,154.0
888,155.0
889,302.0
890,364.0
891,252.0
892,106.0
893,387.0
894,87.0
895,264.0
896,149.0
897,78.0
898,90.0
899,335.0
900,166.0
901,109.0
902,35.0
903,324.0
904,367.0
905,107.0
906,139.0
907,112.0
908,263.0
909,87.0
910,316.0
911,87.0
912,136.0
913,71.0
914,206.0
915,308.0
916,346.0
917,349.0
918,392.0
919,363.0
920,106.0
921,57.0
922,209.0
923,72.0
924,300.0
925,113.0
926,113.0
927,84.0
928,78.0
929,23.0
930,378.0
931,311.0
932,132.0
933,111.0
934,392.0
935,277.0
936,117.0
937,88.0
938,349.0
939,115.0
940,266.0
941,134.0
942,166.0
943,278.0
944,353.0
945,57.0
946,182.0
947,64.0
948,305.0
949,334.0
950,395.0
951,135.0
952,264.0
953,370.0
954,76.0
955,72.0
956,329.0
957,308.0
958,45.0
959,111.0
960,387.0
961,87.0
962,106.0
963,197.0
964,113.0
965,25.0
966,77.0
967,116.0
968,264.0
969,201.0
970,354.0
971,125.0
972,157.0
973,149.0
974,49.0
975,122.0
976,82.0
977,124.0
978,48.0
979,347.0
980,383.0
981,130.0
982,401.0
983,50.0
984,85.0
985,156.0
986,86.0
987,38.0
988,128.0
989,87.0
990,87.0
991,114.0
992,94.0
993,224.0
994,85.0
995,78.0
996,136.0
997,197.0
998,112.0
999,62.0
1000,286.0
