% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.3,329
98,20,0.2,601
98,30,0.2,949
97,40,0.2,1271
96,50,0.3,1726
95,60,0.4,2283
94,70,0.4,2585
94,80,0.4,2896
93,90,0.3,3173
92,100,0.3,3615
92,110,0.4,3992
91,120,0.4,4476
90,130,0.4,4873
89,140,0.4,5283
88,150,0.4,5584
87,160,0.4,6187
86,170,0.4,6595
86,180,0.4,6880
85,190,0.5,7284
84,200,0.5,7914
83,210,0.5,8293
82,220,0.5,8652
82,230,0.5,9069
81,240,0.5,9418
80,250,0.5,9771
79,260,0.5,10279
79,270,0.4,10565
78,280,0.4,10964
77,290,0.4,11334
76,300,0.4,11716
75,310,0.4,12166
75,320,0.4,12420
74,330,0.4,12777
73,340,0.4,13147
73,350,0.4,13555
72,360,0.4,13965
71,370,0.4,14265
69,380,0.5,15217
68,390,0.5,15663
67,400,0.6,16416
66,410,0.7,17011
64,420,0.8,17869
63,430,0.9,18544
61,440,0.9,19216
60,450,1.1,20195
58,460,1.1,20788
57,470,1.2,21479
56,480,1.1,21910
55,490,1.2,22543
53,500,1.2,23251
52,510,1.2,24091
50,520,1.2,24916
48,530,1.3,25833
47,540,1.3,26378
46,550,1.3,27216
43,560,1.4,28323
41,570,1.6,29502
40,580,1.7,30269
38,590,1.7,31040
35,600,2.0,32700
32,610,2.1,33886
30,620,2.1,34866
28,630,2.3,36123
26,640,2.4,37232
24,650,2.5,38350
21,660,2.6,39524
19,670,2.7,40889
16,680,3.0,42420
12,690,3.2,44077
9,700,3.2,45666
5,710,3.5,47832
1,720,3.9,50085
1,730,4.4,51861
1,740,4.5,53235
1,750,4.7,55144
1,760,4.9,57196
1,770,5.1,59156
1,780,5.1,60824
1,790,5.4,63346
1,800,5.5,65275
1,810,5.5,67221
1,820,5.3,68997
1,830,5.0,70598
1,840,5.3,72882
1,850,5.4,75266
1,860,5.6,77744
1,870,5.7,79820
1,880,5.8,82198
1,890,5.6,84097
1,900,5.8,86602
1,910,5.9,88768
1,920,5.9,90877
1,930,6.0,92955
1,940,6.1,95478
1,950,6.1,97629
1,960,5.8,99481
