% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.1,252
98,20,0.4,771
97,30,0.4,1135
97,40,0.4,1490
96,50,0.4,1777
95,60,0.4,2200
94,70,0.4,2546
94,80,0.4,2941
93,90,0.3,3215
93,100,0.3,3494
92,110,0.3,3724
92,120,0.2,3952
91,130,0.2,4304
90,140,0.2,4623
90,150,0.2,5023
89,160,0.2,5352
88,170,0.2,5699
88,180,0.2,5927
87,190,0.2,6322
86,200,0.2,6699
85,210,0.3,7229
84,220,0.4,7607
83,230,0.4,8270
82,240,0.4,8719
81,250,0.4,9145
80,260,0.5,9609
80,270,0.5,10056
79,280,0.6,10387
78,290,0.5,10643
78,300,0.5,10942
77,310,0.5,11319
77,320,0.4,11547
76,330,0.4,11975
75,340,0.4,12276
75,350,0.3,12526
74,360,0.3,12878
73,370,0.2,13180
72,380,0.3,13704
72,390,0.3,14104
70,400,0.4,14650
69,410,0.4,15274
69,420,0.4,15550
67,430,0.5,16325
67,440,0.5,16553
66,450,0.5,17129
65,460,0.5,17554
64,470,0.6,18057
63,480,0.6,18401
62,490,0.5,18722
62,500,0.5,18952
61,510,0.4,19384
61,520,0.4,19612
60,530,0.3,19886
60,540,0.3,20190
59,550,0.3,20551
58,560,0.3,20835
58,570,0.2,21107
57,580,0.2,21331
57,590,0.2,21617
56,600,0.2,21841
56,610,0.1,22110
55,620,0.1,22382
55,630,0.1,22656
54,640,0.1,22952
53,650,0.1,23368
53,660,0.1,23640
52,670,0.2,24145
51,680,0.2,24616
50,690,0.2,24928
49,700,0.3,25424
49,710,0.3,25727
48,720,0.4,26170
47,730,0.4,26396
47,740,0.3,26654
46,750,0.3,27027
45,760,0.4,27351
44,770,0.4,27860
44,780,0.3,28182
43,790,0.3,28482
43,800,0.3,28758
42,810,0.3,29093
41,820,0.3,29490
40,830,0.3,29891
39,840,0.4,30353
39,850,0.4,30750
38,860,0.4,31072
37,870,0.3,31395
37,880,0.3,31623
36,890,0.3,32001
35,900,0.3,32351
35,910,0.3,32604
34,920,0.3,32982
34,930,0.3,33330
32,940,0.3,33871
31,950,0.3,34394
31,960,0.4,34781
29,970,0.4,35383
28,980,0.5,36003
28,990,0.5,36293
27,1000,0.6,36772
26,1010,0.6,37242
24,1020,0.6,37896
23,1030,0.7,38503
22,1040,0.8,39225
20,1050,0.8,39937
18,1060,1.0,40989
17,1070,1.1,41865
14,1080,1.3,42973
13,1090,1.5,43930
10,1100,1.6,44982
9,1110,1.7,45780
6,1120,2.0,47163
4,1130,2.1,48113
2,1140,2.1,49089
1,1150,2.2,50044
1,1160,2.3,51308
1,1170,2.3,52085
1,1180,2.3,53332
1,1190,2.4,54725
1,1200,2.4,55826
1,1210,2.4,56770
1,1220,2.3,57642
1,1230,2.3,58742
1,1240,2.3,59636
1,1250,2.4,60784
1,1260,2.4,62010
1,1270,2.4,63087
1,1280,2.4,64430
1,1290,2.4,65688
1,1300,2.4,66909
1,1310,2.6,68478
1,1320,2.6,69393
1,1330,2.8,70899
1,1340,2.8,71859
1,1350,3.0,73505
1,1360,3.0,74760
1,1370,3.1,76095
1,1380,3.2,77709
1,1390,3.3,79444
1,1400,3.4,80597
1,1410,3.4,82151
1,1420,3.6,83702
1,1430,3.5,85053
1,1440,3.5,86217
1,1450,3.5,87844
1,1460,3.6,89390
1,1470,3.6,90483
1,1480,3.5,91785
1,1490,3.5,93486
1,1500,3.6,94824
1,1510,3.4,95895
1,1520,3.3,97136
1,1530,3.3,98297
1,1540,3.5,100010
1,1550,3.5,101511
1,1560,3.6,103344
1,1570,3.8,105227
1,1580,4.0,107234
1,1590,3.8,108449
1,1600,3.7,109625
1,1610,3.9,111368
1,1620,3.9,112625
1,1630,4.1,114656
1,1640,4.0,116122
1,1650,4.0,117631
1,1660,4.0,119662
1,1670,3.9,121156
1,1680,3.9,123009
1,1690,4.3,125195
1,1700,4.4,127009
1,1710,4.4,128562
1,1720,4.6,130218
1,1730,4.4,131886
1,1740,4.5,133501
1,1750,4.6,135289
1,1760,4.4,136637
1,1770,4.6,139027
1,1780,4.9,141625
1,1790,4.8,143636
1,1800,4.6,144928
1,1810,4.5,146065
1,1820,4.6,148160
1,1830,4.8,150377
1,1840,5.0,152691
1,1850,5.0,154681
1,1860,5.2,156672
1,1870,5.3,159064
1,1880,5.1,160859
1,1890,5.2,163328
1,1900,5.4,165119
1,1910,5.8,167330
1,1920,5.5,168733
1,1930,5.6,171066
1,1940,5.6,173338
1,1950,5.7,175559
1,1960,5.6,177306
1,1970,5.5,179339
1,1980,5.6,181588
1,1990,5.4,183532
1,2000,5.4,185617
1,2010,5.2,187319
1,2020,5.6,189978
1,2030,5.4,191775
1,2040,5.3,193617
1,2050,5.3,195662
1,2060,5.4,197854
1,2070,5.4,199829
1,2080,5.3,201787
1,2090,5.3,203167
1,2100,5.3,204887
1,2110,5.4,206817
1,2120,5.4,209083
1,2130,5.4,211166
1,2140,5.5,213387
1,2150,5.7,215905
1,2160,5.7,217871
1,2170,5.7,219749
1,2180,5.7,221643
