% time spent exploring,episodes,mean 100 episode reward,steps
98,10,0.3,346
96,20,0.3,676
94,30,0.3,1069
92,40,0.4,1444
90,50,0.4,1843
89,60,0.3,2113
87,70,0.4,2613
85,80,0.3,2889
84,90,0.3,3191
83,100,0.3,3421
81,110,0.3,3837
79,120,0.3,4140
78,130,0.3,4424
76,140,0.2,4654
75,150,0.2,4882
73,160,0.2,5281
71,170,0.2,5691
70,180,0.2,6024
68,190,0.2,6397
67,200,0.2,6655
65,210,0.2,7025
63,220,0.2,7347
61,230,0.3,7698
59,240,0.3,8127
57,250,0.4,8494
56,260,0.3,8764
55,270,0.3,9069
53,280,0.3,9325
52,290,0.2,9648
50,300,0.3,9996
48,310,0.3,10456
46,320,0.3,10754
44,330,0.3,11156
43,340,0.3,11410
42,350,0.2,11662
40,360,0.3,12073
38,370,0.3,12350
36,380,0.3,12772
35,390,0.3,13077
32,400,0.3,13589
30,410,0.4,14113
28,420,0.4,14454
27,430,0.3,14724
26,440,0.3,14946
24,450,0.3,15174
22,460,0.3,15746
19,470,0.4,16212
17,480,0.4,16656
16,490,0.4,16932
14,500,0.3,17200
13,510,0.3,17499
11,520,0.3,17905
9,530,0.3,18298
7,540,0.4,18670
5,550,0.4,19066
3,560,0.4,19442
2,570,0.3,19795
1,580,0.3,20048
1,590,0.3,20351
1,600,0.3,20775
1,610,0.4,21271
1,620,0.3,21499
1,630,0.3,21727
1,640,0.3,22058
1,650,0.3,22410
1,660,0.2,22686
1,670,0.2,22944
1,680,0.2,23299
1,690,0.3,23640
1,700,0.2,23864
1,710,0.2,24086
1,720,0.2,24310
1,730,0.2,24562
1,740,0.1,24816
1,750,0.1,25044
1,760,0.1,25365
1,770,0.2,25782
1,780,0.1,26008
1,790,0.1,26331
1,800,0.1,26559
1,810,0.1,26937
1,820,0.2,27240
1,830,0.2,27543
1,840,0.2,27818
1,850,0.2,28190
1,860,0.2,28476
1,870,0.2,28702
1,880,0.2,28958
1,890,0.2,29561
1,900,0.3,29902
1,910,0.2,30158
1,920,0.3,30507
1,930,0.3,30832
1,940,0.3,31080
1,950,0.2,31362
1,960,0.3,31670
1,970,0.3,31922
1,980,0.3,32144
1,990,0.2,32479
1,1000,0.2,32794
1,1010,0.2,33120
1,1020,0.2,33376
1,1030,0.2,33664
1,1040,0.2,33946
1,1050,0.2,34198
1,1060,0.2,34454
1,1070,0.2,34684
1,1080,0.2,34942
1,1090,0.2,35337
1,1100,0.2,35595
1,1110,0.2,35933
1,1120,0.2,36284
1,1130,0.2,36587
1,1140,0.2,36938
1,1150,0.2,37166
1,1160,0.2,37422
1,1170,0.2,37729
1,1180,0.2,38001
1,1190,0.2,38304
1,1200,0.2,38687
1,1210,0.2,38998
1,1220,0.2,39327
1,1230,0.3,39842
1,1240,0.3,40152
1,1250,0.3,40461
1,1260,0.3,40770
1,1270,0.4,41188
1,1280,0.4,41473
1,1290,0.4,41816
1,1300,0.4,42179
1,1310,0.4,42540
1,1320,0.4,42931
1,1330,0.4,43330
1,1340,0.5,43864
1,1350,0.5,44273
1,1360,0.5,44699
1,1370,0.5,45076
1,1380,0.6,45522
1,1390,0.6,46034
1,1400,0.7,46825
1,1410,0.8,47483
1,1420,0.8,47820
1,1430,0.8,48566
1,1440,0.9,49207
1,1450,0.9,49737
1,1460,0.9,50192
1,1470,1.0,50879
1,1480,1.2,51758
1,1490,1.2,52414
1,1500,1.1,52841
1,1510,1.1,53555
1,1520,1.2,54120
1,1530,1.1,54546
1,1540,1.1,55098
1,1550,1.1,55553
1,1560,1.0,56042
1,1570,0.9,56417
1,1580,0.8,56953
1,1590,0.7,57354
1,1600,0.7,57860
1,1610,0.7,58562
1,1620,0.7,58991
1,1630,0.7,59566
1,1640,0.7,59978
1,1650,0.8,60821
1,1660,0.9,61670
1,1670,1.1,62600
1,1680,1.1,63243
1,1690,1.2,64223
1,1700,1.3,64989
1,1710,1.4,65886
1,1720,1.5,66560
1,1730,1.6,67561
1,1740,1.8,68339
1,1750,1.8,69100
1,1760,1.7,69773
1,1770,1.8,70746
1,1780,1.8,71652
1,1790,1.8,72613
1,1800,1.8,73426
1,1810,1.8,74281
1,1820,1.9,75143
1,1830,1.8,75986
1,1840,1.8,76868
1,1850,1.8,77577
1,1860,1.7,78158
1,1870,1.6,78736
1,1880,1.6,79521
1,1890,1.6,80555
1,1900,1.6,81451
1,1910,1.7,82578
1,1920,1.6,83384
1,1930,1.7,84334
1,1940,1.7,85331
1,1950,1.7,85985
1,1960,1.8,87028
1,1970,2.0,88347
1,1980,2.1,89225
1,1990,2.1,90187
1,2000,2.1,91096
1,2010,2.1,91973
1,2020,2.1,92901
1,2030,2.1,93953
1,2040,2.1,94652
1,2050,2.2,95612
1,2060,2.1,96551
1,2070,2.4,97594
1,2080,2.3,98285
1,2090,2.3,99383
