game,score
1,132.0
2,223.0
3,403.0
4,170.0
5,87.0
6,380.0
7,188.0
8,301.0
9,153.0
10,123.0
11,54.0
12,257.0
13,166.0
14,268.0
15,268.0
16,92.0
17,259.0
18,62.0
19,123.0
20,204.0
21,259.0
22,122.0
23,140.0
24,260.0
25,327.0
26,268.0
27,268.0
28,259.0
29,158.0
30,259.0
31,339.0
32,270.0
33,99.0
34,159.0
35,305.0
36,94.0
37,257.0
38,244.0
39,242.0
40,133.0
41,268.0
42,250.0
43,92.0
44,66.0
45,110.0
46,321.0
47,71.0
48,132.0
49,349.0
50,171.0
51,234.0
52,92.0
53,245.0
54,83.0
55,217.0
56,123.0
57,365.0
58,244.0
59,259.0
60,289.0
61,243.0
62,259.0
63,262.0
64,41.0
65,259.0
66,77.0
67,302.0
68,123.0
69,217.0
70,268.0
71,412.0
72,309.0
73,158.0
74,93.0
75,349.0
76,216.0
77,268.0
78,325.0
79,125.0
80,151.0
81,285.0
82,92.0
83,259.0
84,112.0
85,285.0
86,113.0
87,259.0
88,78.0
89,392.0
90,71.0
91,108.0
92,110.0
93,96.0
94,328.0
95,97.0
96,84.0
97,355.0
98,91.0
99,150.0
100,389.0
101,137.0
102,263.0
103,134.0
104,349.0
105,212.0
106,163.0
107,301.0
108,251.0
109,259.0
110,367.0
111,50.0
112,181.0
113,223.0
114,301.0
115,268.0
116,119.0
117,259.0
118,111.0
119,259.0
120,115.0
121,123.0
122,70.0
123,162.0
124,138.0
125,250.0
126,255.0
127,92.0
128,196.0
129,272.0
130,89.0
131,200.0
132,268.0
133,245.0
134,204.0
135,89.0
136,240.0
137,347.0
138,178.0
139,262.0
140,201.0
141,92.0
142,339.0
143,160.0
144,154.0
145,305.0
146,344.0
147,259.0
148,123.0
149,169.0
150,155.0
151,82.0
152,92.0
153,52.0
154,182.0
155,253.0
156,177.0
157,100.0
158,254.0
159,283.0
160,91.0
161,268.0
162,78.0
163,92.0
164,268.0
165,124.0
166,147.0
167,121.0
168,262.0
169,155.0
170,289.0
171,258.0
172,238.0
173,118.0
174,167.0
175,54.0
176,99.0
177,253.0
178,148.0
179,309.0
180,259.0
181,351.0
182,91.0
183,291.0
184,86.0
185,349.0
186,194.0
187,404.0
188,184.0
189,201.0
190,87.0
191,221.0
192,259.0
193,106.0
194,244.0
195,92.0
196,118.0
197,349.0
198,311.0
199,90.0
200,204.0
201,97.0
202,253.0
203,325.0
204,92.0
205,181.0
206,112.0
207,259.0
208,213.0
209,119.0
210,349.0
211,237.0
212,179.0
213,368.0
214,79.0
215,92.0
216,259.0
217,102.0
218,259.0
219,158.0
220,92.0
221,124.0
222,281.0
223,146.0
224,259.0
225,202.0
226,160.0
227,115.0
228,111.0
229,234.0
230,100.0
231,262.0
232,259.0
233,131.0
234,95.0
235,160.0
236,131.0
237,92.0
238,326.0
239,291.0
240,259.0
241,263.0
242,186.0
243,338.0
244,264.0
245,394.0
246,77.0
247,316.0
248,301.0
249,321.0
250,271.0
251,259.0
252,179.0
253,176.0
254,139.0
255,181.0
256,217.0
257,73.0
258,187.0
259,285.0
260,93.0
261,259.0
262,188.0
263,112.0
264,87.0
265,126.0
266,204.0
267,349.0
268,268.0
269,301.0
270,211.0
271,152.0
272,268.0
273,297.0
274,259.0
275,68.0
276,223.0
277,76.0
278,351.0
279,137.0
280,240.0
281,250.0
282,362.0
283,349.0
284,143.0
285,191.0
286,390.0
287,259.0
288,112.0
289,122.0
290,243.0
291,92.0
292,201.0
293,176.0
294,136.0
295,337.0
296,268.0
297,100.0
298,289.0
299,152.0
300,84.0
301,98.0
302,278.0
303,141.0
304,204.0
305,119.0
306,281.0
307,187.0
308,276.0
309,259.0
310,168.0
311,219.0
312,352.0
313,264.0
314,259.0
315,223.0
316,134.0
317,253.0
318,311.0
319,137.0
320,132.0
321,204.0
322,107.0
323,100.0
324,251.0
325,177.0
326,208.0
327,58.0
328,406.0
329,338.0
330,258.0
331,268.0
332,260.0
333,200.0
334,350.0
335,132.0
336,117.0
337,57.0
338,73.0
339,273.0
340,310.0
341,47.0
342,259.0
343,259.0
344,132.0
345,260.0
346,259.0
347,154.0
348,224.0
349,278.0
350,259.0
351,69.0
352,289.0
353,268.0
354,85.0
355,92.0
356,167.0
357,74.0
358,259.0
359,259.0
360,342.0
361,117.0
362,259.0
363,259.0
364,110.0
365,259.0
366,157.0
367,232.0
368,342.0
369,218.0
370,253.0
371,162.0
372,294.0
373,56.0
374,109.0
375,409.0
376,221.0
377,226.0
378,111.0
379,92.0
380,92.0
381,63.0
382,299.0
383,223.0
384,355.0
385,324.0
386,259.0
387,150.0
388,281.0
389,292.0
390,146.0
391,335.0
392,219.0
393,117.0
394,139.0
395,257.0
396,256.0
397,69.0
398,306.0
399,260.0
400,300.0
401,62.0
402,116.0
403,102.0
404,236.0
405,268.0
406,147.0
407,114.0
408,341.0
409,36.0
410,200.0
411,236.0
412,159.0
413,93.0
414,313.0
415,259.0
416,259.0
417,258.0
418,97.0
419,302.0
420,259.0
421,183.0
422,142.0
423,268.0
424,249.0
425,259.0
426,83.0
427,140.0
428,92.0
429,367.0
430,268.0
431,371.0
432,381.0
433,247.0
434,207.0
435,259.0
436,128.0
437,259.0
438,268.0
439,223.0
440,268.0
441,226.0
442,187.0
443,60.0
444,92.0
445,361.0
446,241.0
447,296.0
448,202.0
449,188.0
450,259.0
451,259.0
452,89.0
453,268.0
454,83.0
455,266.0
456,320.0
457,306.0
458,165.0
459,259.0
460,127.0
461,92.0
462,302.0
463,84.0
464,349.0
465,94.0
466,273.0
467,149.0
468,259.0
469,352.0
470,92.0
471,259.0
472,353.0
473,206.0
474,334.0
475,383.0
476,257.0
477,264.0
478,315.0
479,391.0
480,192.0
481,375.0
482,259.0
483,239.0
484,98.0
485,338.0
486,331.0
487,252.0
488,302.0
489,260.0
490,110.0
491,268.0
492,88.0
493,294.0
494,107.0
495,186.0
496,259.0
497,269.0
498,77.0
499,118.0
500,79.0
501,83.0
502,100.0
503,367.0
504,92.0
505,80.0
506,166.0
507,156.0
508,190.0
509,93.0
510,85.0
511,259.0
512,66.0
513,39.0
514,268.0
515,283.0
516,381.0
517,97.0
518,259.0
519,166.0
520,174.0
521,92.0
522,97.0
523,155.0
524,241.0
525,160.0
526,259.0
527,78.0
528,268.0
529,271.0
530,139.0
531,127.0
532,110.0
533,348.0
534,224.0
535,62.0
536,259.0
537,42.0
538,259.0
539,92.0
540,310.0
541,259.0
542,92.0
543,179.0
544,51.0
545,182.0
546,110.0
547,268.0
548,310.0
549,271.0
550,268.0
551,223.0
552,92.0
553,89.0
554,195.0
555,284.0
556,259.0
557,303.0
558,245.0
559,395.0
560,92.0
561,160.0
562,92.0
563,208.0
564,373.0
565,259.0
566,183.0
567,177.0
568,219.0
569,259.0
570,259.0
571,62.0
572,95.0
573,180.0
574,97.0
575,168.0
576,268.0
577,218.0
578,328.0
579,260.0
580,268.0
581,305.0
582,259.0
583,152.0
584,92.0
585,164.0
586,279.0
587,62.0
588,259.0
589,303.0
590,192.0
591,307.0
592,268.0
593,112.0
594,281.0
595,106.0
596,92.0
597,193.0
598,271.0
599,424.0
600,128.0
601,299.0
602,268.0
603,268.0
604,235.0
605,289.0
606,89.0
607,381.0
608,348.0
609,278.0
610,253.0
611,268.0
612,107.0
613,68.0
614,259.0
615,249.0
616,259.0
617,122.0
618,92.0
619,301.0
620,260.0
621,230.0
622,309.0
623,68.0
624,102.0
625,132.0
626,259.0
627,89.0
628,182.0
629,338.0
630,92.0
631,244.0
632,206.0
633,384.0
634,268.0
635,117.0
636,258.0
637,93.0
638,91.0
639,74.0
640,280.0
641,279.0
642,268.0
643,332.0
644,259.0
645,121.0
646,159.0
647,220.0
648,89.0
649,80.0
650,294.0
651,328.0
652,82.0
653,310.0
654,240.0
655,111.0
656,106.0
657,73.0
658,343.0
659,123.0
660,66.0
661,352.0
662,63.0
663,268.0
664,69.0
665,259.0
666,338.0
667,92.0
668,259.0
669,105.0
670,76.0
671,92.0
672,137.0
673,102.0
674,289.0
675,271.0
676,104.0
677,259.0
678,349.0
679,172.0
680,210.0
681,182.0
682,182.0
683,178.0
684,217.0
685,368.0
686,102.0
687,182.0
688,154.0
689,259.0
690,158.0
691,195.0
692,97.0
693,139.0
694,338.0
695,160.0
696,268.0
697,204.0
698,61.0
699,92.0
700,316.0
701,371.0
702,232.0
703,92.0
704,326.0
705,272.0
706,128.0
707,269.0
708,342.0
709,70.0
710,92.0
711,268.0
712,400.0
713,302.0
714,234.0
715,215.0
716,268.0
717,349.0
718,259.0
719,100.0
720,84.0
721,327.0
722,245.0
723,316.0
724,189.0
725,350.0
726,92.0
727,318.0
728,227.0
729,260.0
730,92.0
731,371.0
732,330.0
733,117.0
734,271.0
735,259.0
736,78.0
737,186.0
738,268.0
739,76.0
740,315.0
741,94.0
742,80.0
743,92.0
744,97.0
745,305.0
746,260.0
747,72.0
748,339.0
749,268.0
750,210.0
751,302.0
752,268.0
753,157.0
754,262.0
755,144.0
756,68.0
757,78.0
758,327.0
759,116.0
760,203.0
761,251.0
762,268.0
763,70.0
764,285.0
765,316.0
766,157.0
767,177.0
768,212.0
769,280.0
770,72.0
771,191.0
772,294.0
773,268.0
774,358.0
775,223.0
776,176.0
777,78.0
778,178.0
779,396.0
780,331.0
781,297.0
782,66.0
783,223.0
784,152.0
785,299.0
786,259.0
787,259.0
788,236.0
789,310.0
790,134.0
791,259.0
792,389.0
793,114.0
794,328.0
795,102.0
796,152.0
797,289.0
798,189.0
799,250.0
800,92.0
801,160.0
802,152.0
803,76.0
804,73.0
805,377.0
806,226.0
807,268.0
808,145.0
809,199.0
810,88.0
811,305.0
812,355.0
813,259.0
814,349.0
815,261.0
816,76.0
817,92.0
818,174.0
819,349.0
820,349.0
821,320.0
822,330.0
823,312.0
824,232.0
825,136.0
826,182.0
827,80.0
828,259.0
829,77.0
830,65.0
831,92.0
832,283.0
833,219.0
834,97.0
835,259.0
836,124.0
837,291.0
838,136.0
839,112.0
840,294.0
841,180.0
842,223.0
843,268.0
844,268.0
845,140.0
846,58.0
847,268.0
848,92.0
849,147.0
850,338.0
851,288.0
852,297.0
853,268.0
854,97.0
855,124.0
856,207.0
857,146.0
858,187.0
859,301.0
860,350.0
861,307.0
862,259.0
863,183.0
864,92.0
865,153.0
866,259.0
867,268.0
868,217.0
869,170.0
870,92.0
871,259.0
872,157.0
873,318.0
874,76.0
875,343.0
876,168.0
877,268.0
878,268.0
879,350.0
880,259.0
881,259.0
882,342.0
883,53.0
884,324.0
885,259.0
886,284.0
887,375.0
888,63.0
889,349.0
890,188.0
891,259.0
892,57.0
893,279.0
894,268.0
895,32.0
896,375.0
897,259.0
898,212.0
899,388.0
900,244.0
901,220.0
902,245.0
903,189.0
904,135.0
905,375.0
906,235.0
907,186.0
908,315.0
909,113.0
910,251.0
911,268.0
912,192.0
913,134.0
914,294.0
915,244.0
916,294.0
917,404.0
918,259.0
919,206.0
920,76.0
921,253.0
922,259.0
923,100.0
924,346.0
925,92.0
926,168.0
927,143.0
928,289.0
929,41.0
930,294.0
931,112.0
932,268.0
933,88.0
934,268.0
935,146.0
936,325.0
937,297.0
938,92.0
939,189.0
940,373.0
941,253.0
942,349.0
943,100.0
944,157.0
945,141.0
946,92.0
947,268.0
948,248.0
949,240.0
950,268.0
951,78.0
952,249.0
953,92.0
954,366.0
955,159.0
956,164.0
957,268.0
958,62.0
959,303.0
960,147.0
961,375.0
962,198.0
963,223.0
964,92.0
965,268.0
966,259.0
967,364.0
968,223.0
969,268.0
970,151.0
971,376.0
972,182.0
973,309.0
974,268.0
975,259.0
976,260.0
977,318.0
978,259.0
979,281.0
980,268.0
981,230.0
982,213.0
983,387.0
984,245.0
985,343.0
986,210.0
987,276.0
988,243.0
989,324.0
990,282.0
991,70.0
992,395.0
993,162.0
994,295.0
995,235.0
996,92.0
997,163.0
998,115.0
999,42.0
1000,355.0
