game,score
1,95.0
2,139.0
3,100.0
4,70.0
5,127.0
6,284.0
7,123.0
8,61.0
9,243.0
10,42.0
11,270.0
12,95.0
13,57.0
14,45.0
15,57.0
16,198.0
17,106.0
18,144.0
19,70.0
20,125.0
21,100.0
22,68.0
23,57.0
24,161.0
25,37.0
26,60.0
27,54.0
28,86.0
29,85.0
30,73.0
31,168.0
32,328.0
33,325.0
34,46.0
35,218.0
36,189.0
37,117.0
38,185.0
39,119.0
40,78.0
41,82.0
42,158.0
43,102.0
44,209.0
45,92.0
46,98.0
47,102.0
48,125.0
49,241.0
50,77.0
51,175.0
52,67.0
53,130.0
54,85.0
55,165.0
56,61.0
57,142.0
58,50.0
59,93.0
60,92.0
61,39.0
62,91.0
63,19.0
64,39.0
65,59.0
66,144.0
67,149.0
68,186.0
69,294.0
70,69.0
71,94.0
72,350.0
73,63.0
74,54.0
75,85.0
76,190.0
77,136.0
78,61.0
79,203.0
80,252.0
81,111.0
82,90.0
83,56.0
84,270.0
85,53.0
86,29.0
87,234.0
88,34.0
89,61.0
90,56.0
91,105.0
92,194.0
93,52.0
94,42.0
95,70.0
96,61.0
97,46.0
98,71.0
99,63.0
100,73.0
101,91.0
102,72.0
103,56.0
104,79.0
105,87.0
106,56.0
107,86.0
108,89.0
109,141.0
110,39.0
111,92.0
112,68.0
113,61.0
114,174.0
115,235.0
116,29.0
117,52.0
118,51.0
119,54.0
120,82.0
121,155.0
122,59.0
123,130.0
124,85.0
125,42.0
126,152.0
127,104.0
128,87.0
129,114.0
130,126.0
131,142.0
132,102.0
133,101.0
134,53.0
135,96.0
136,176.0
137,153.0
138,94.0
139,101.0
140,137.0
141,84.0
142,358.0
143,57.0
144,146.0
145,129.0
146,55.0
147,70.0
148,145.0
149,93.0
150,82.0
151,79.0
152,78.0
153,132.0
154,102.0
155,162.0
156,115.0
157,56.0
158,66.0
159,132.0
160,118.0
161,65.0
162,122.0
163,204.0
164,100.0
165,327.0
166,72.0
167,50.0
168,51.0
169,80.0
170,245.0
171,171.0
172,92.0
173,133.0
174,111.0
175,66.0
176,261.0
177,87.0
178,328.0
179,66.0
180,103.0
181,53.0
182,117.0
183,62.0
184,189.0
185,92.0
186,100.0
187,113.0
188,172.0
189,46.0
190,68.0
191,76.0
192,272.0
193,338.0
194,190.0
195,165.0
196,80.0
197,69.0
198,80.0
199,51.0
200,88.0
201,44.0
202,139.0
203,79.0
204,39.0
205,100.0
206,62.0
207,158.0
208,188.0
209,69.0
210,62.0
211,113.0
212,88.0
213,266.0
214,42.0
215,97.0
216,114.0
217,249.0
218,96.0
219,56.0
220,64.0
221,78.0
222,43.0
223,102.0
224,114.0
225,45.0
226,153.0
227,48.0
228,181.0
229,197.0
230,94.0
231,77.0
232,110.0
233,220.0
234,122.0
235,70.0
236,180.0
237,178.0
238,54.0
239,345.0
240,43.0
241,84.0
242,39.0
243,136.0
244,218.0
245,164.0
246,49.0
247,50.0
248,60.0
249,188.0
250,190.0
251,202.0
252,165.0
253,120.0
254,111.0
255,44.0
256,59.0
257,116.0
258,56.0
259,107.0
260,115.0
261,62.0
262,206.0
263,66.0
264,93.0
265,103.0
266,206.0
267,156.0
268,48.0
269,207.0
270,109.0
271,73.0
272,115.0
273,87.0
274,60.0
275,41.0
276,338.0
277,61.0
278,110.0
279,273.0
280,30.0
281,94.0
282,163.0
283,212.0
284,114.0
285,139.0
286,84.0
287,58.0
288,74.0
289,59.0
290,120.0
291,158.0
292,72.0
293,63.0
294,74.0
295,75.0
296,102.0
297,143.0
298,99.0
299,302.0
300,232.0
301,61.0
302,141.0
303,170.0
304,291.0
305,84.0
306,105.0
307,43.0
308,100.0
309,104.0
310,86.0
311,108.0
312,123.0
313,169.0
314,244.0
315,86.0
316,74.0
317,66.0
318,117.0
319,49.0
320,102.0
321,147.0
322,132.0
323,58.0
324,33.0
325,99.0
326,33.0
327,56.0
328,219.0
329,76.0
330,178.0
331,259.0
332,62.0
333,93.0
334,183.0
335,238.0
336,120.0
337,71.0
338,61.0
339,48.0
340,37.0
341,150.0
342,69.0
343,78.0
344,155.0
345,97.0
346,84.0
347,251.0
348,106.0
349,147.0
350,162.0
351,209.0
352,59.0
353,77.0
354,60.0
355,59.0
356,85.0
357,162.0
358,231.0
359,123.0
360,39.0
361,178.0
362,76.0
363,52.0
364,326.0
365,102.0
366,107.0
367,91.0
368,34.0
369,63.0
370,244.0
371,162.0
372,110.0
373,75.0
374,143.0
375,126.0
376,151.0
377,75.0
378,109.0
379,52.0
380,90.0
381,92.0
382,39.0
383,200.0
384,93.0
385,57.0
386,116.0
387,67.0
388,60.0
389,69.0
390,97.0
391,56.0
392,300.0
393,76.0
394,87.0
395,55.0
396,120.0
397,53.0
398,131.0
399,199.0
400,114.0
401,89.0
402,133.0
403,46.0
404,80.0
405,117.0
406,203.0
407,62.0
408,91.0
409,230.0
410,80.0
411,92.0
412,91.0
413,63.0
414,322.0
415,107.0
416,270.0
417,99.0
418,55.0
419,276.0
420,99.0
421,81.0
422,147.0
423,46.0
424,54.0
425,38.0
426,151.0
427,77.0
428,74.0
429,92.0
430,86.0
431,119.0
432,116.0
433,304.0
434,51.0
435,232.0
436,44.0
437,69.0
438,79.0
439,77.0
440,282.0
441,134.0
442,101.0
443,82.0
444,110.0
445,45.0
446,71.0
447,137.0
448,89.0
449,337.0
450,187.0
451,94.0
452,52.0
453,248.0
454,86.0
455,196.0
456,30.0
457,193.0
458,42.0
459,122.0
460,61.0
461,85.0
462,67.0
463,32.0
464,85.0
465,295.0
466,294.0
467,217.0
468,241.0
469,42.0
470,65.0
471,231.0
472,216.0
473,79.0
474,121.0
475,100.0
476,64.0
477,65.0
478,151.0
479,31.0
480,172.0
481,236.0
482,262.0
483,94.0
484,114.0
485,73.0
486,101.0
487,281.0
488,92.0
489,171.0
490,80.0
491,109.0
492,92.0
493,82.0
494,98.0
495,70.0
496,337.0
497,63.0
498,116.0
499,112.0
500,240.0
501,83.0
502,315.0
503,69.0
504,67.0
505,40.0
506,36.0
507,123.0
508,259.0
509,78.0
510,217.0
511,108.0
512,177.0
513,103.0
514,73.0
515,94.0
516,112.0
517,41.0
518,106.0
519,100.0
520,138.0
521,69.0
522,104.0
523,143.0
524,68.0
525,176.0
526,73.0
527,206.0
528,73.0
529,88.0
530,349.0
531,88.0
532,270.0
533,235.0
534,73.0
535,103.0
536,91.0
537,70.0
538,102.0
539,64.0
540,91.0
541,113.0
542,49.0
543,96.0
544,94.0
545,32.0
546,98.0
547,98.0
548,98.0
549,160.0
550,64.0
551,90.0
552,112.0
553,329.0
554,63.0
555,146.0
556,44.0
557,132.0
558,90.0
559,319.0
560,88.0
561,68.0
562,108.0
563,81.0
564,111.0
565,237.0
566,149.0
567,110.0
568,80.0
569,121.0
570,100.0
571,248.0
572,43.0
573,109.0
574,46.0
575,18.0
576,35.0
577,83.0
578,47.0
579,96.0
580,173.0
581,344.0
582,156.0
583,75.0
584,67.0
585,50.0
586,86.0
587,35.0
588,78.0
589,309.0
590,100.0
591,113.0
592,68.0
593,72.0
594,111.0
595,80.0
596,60.0
597,76.0
598,216.0
599,117.0
600,52.0
601,70.0
602,251.0
603,42.0
604,118.0
605,197.0
606,290.0
607,96.0
608,44.0
609,182.0
610,97.0
611,79.0
612,96.0
613,62.0
614,202.0
615,7.0
616,233.0
617,117.0
618,257.0
619,288.0
620,119.0
621,189.0
622,45.0
623,228.0
624,91.0
625,40.0
626,49.0
627,44.0
628,62.0
629,24.0
630,95.0
631,52.0
632,80.0
633,60.0
634,73.0
635,101.0
636,77.0
637,97.0
638,253.0
639,30.0
640,31.0
641,105.0
642,70.0
643,129.0
644,102.0
645,165.0
646,103.0
647,244.0
648,63.0
649,71.0
650,91.0
651,164.0
652,77.0
653,178.0
654,122.0
655,137.0
656,76.0
657,85.0
658,94.0
659,67.0
660,136.0
661,76.0
662,142.0
663,330.0
664,115.0
665,58.0
666,111.0
667,101.0
668,105.0
669,200.0
670,43.0
671,205.0
672,132.0
673,226.0
674,101.0
675,55.0
676,43.0
677,72.0
