% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.0,204
98,20,0.4,727
98,30,0.3,994
97,40,0.3,1295
96,50,0.3,1854
95,60,0.4,2280
94,70,0.4,2752
93,80,0.4,3173
92,90,0.4,3550
92,100,0.4,3957
91,110,0.4,4287
90,120,0.4,4733
89,130,0.5,5166
89,140,0.5,5439
88,150,0.4,5854
87,160,0.4,6262
86,170,0.4,6599
86,180,0.4,6922
85,190,0.4,7242
84,200,0.3,7598
84,210,0.4,8001
83,220,0.3,8344
82,230,0.4,8817
81,240,0.4,9217
80,250,0.4,9704
80,260,0.4,10013
79,270,0.4,10346
79,280,0.4,10598
78,290,0.4,10895
77,300,0.4,11326
76,310,0.5,11987
75,320,0.4,12217
74,330,0.5,12858
73,340,0.5,13362
72,350,0.5,14086
71,360,0.6,14557
70,370,0.6,14893
69,380,0.6,15412
68,390,0.7,15934
67,400,0.8,16633
65,410,0.8,17452
64,420,0.8,17898
63,430,0.8,18309
62,440,0.8,18966
61,450,0.8,19533
59,460,0.9,20518
58,470,1.0,21190
56,480,1.1,21975
54,490,1.2,22834
53,500,1.3,23606
51,510,1.2,24373
50,520,1.3,25076
49,530,1.4,25747
46,540,1.5,26787
45,550,1.6,27747
42,560,1.7,28806
41,570,1.7,29667
39,580,1.8,30543
37,590,1.8,31561
35,600,2.0,32802
32,610,2.2,34111
30,620,2.3,35283
27,630,2.4,36455
25,640,2.5,37606
21,650,2.9,39827
18,660,3.0,41346
15,670,3.2,42764
13,680,3.3,43932
8,690,3.7,46244
4,700,4.0,48207
1,710,4.0,49719
1,720,4.2,51493
1,730,4.5,53751
1,740,4.8,55994
1,750,4.7,57932
1,760,5.2,60354
1,770,5.6,62875
1,780,5.9,65076
1,790,5.9,67438
1,800,5.9,69428
1,810,6.0,71442
1,820,6.2,73577
1,830,6.3,75830
1,840,6.4,78143
1,850,6.4,80076
1,860,6.1,82197
1,870,6.1,84585
1,880,6.0,86648
1,890,5.8,88252
1,900,6.0,90901
1,910,6.2,93277
1,920,6.2,95444
1,930,6.1,97672
1,940,6.2,100054
1,950,6.2,101921
1,960,6.3,104382
1,970,6.2,106759
1,980,6.3,109144
1,990,6.7,111281
1,1000,6.7,113647
1,1010,6.6,116037
1,1020,6.5,117985
1,1030,6.7,120743
1,1040,6.6,122824
1,1050,6.6,124752
1,1060,6.5,126657
1,1070,6.5,128947
1,1080,6.6,131471
1,1090,6.5,134024
1,1100,6.7,136302
1,1110,7.0,138898
1,1120,7.1,141272
1,1130,7.0,143599
1,1140,6.9,145792
1,1150,7.0,147755
1,1160,7.4,150786
1,1170,7.7,153173
1,1180,7.7,155432
1,1190,7.6,157779
1,1200,7.7,160381
1,1210,7.3,162256
1,1220,7.4,164660
1,1230,7.4,167138
1,1240,7.7,169402
1,1250,7.7,171495
1,1260,7.7,174082
1,1270,7.5,177157
1,1280,7.7,180118
1,1290,8.0,182995
1,1300,8.0,185664
1,1310,8.3,188436
