% time spent exploring,episodes,mean 100 episode reward,steps
96,10,0.3,323
93,20,0.3,646
89,30,0.3,1092
86,40,0.3,1373
83,50,0.3,1643
80,60,0.3,1963
78,70,0.2,2189
74,80,0.2,2552
70,90,0.3,2990
66,100,0.3,3401
62,110,0.3,3745
59,120,0.3,4115
54,130,0.3,4551
51,140,0.3,4890
48,150,0.3,5185
45,160,0.3,5478
40,170,0.4,5983
38,180,0.4,6199
35,190,0.3,6521
32,200,0.3,6859
29,210,0.3,7079
26,220,0.3,7417
23,230,0.3,7759
19,240,0.3,8154
15,250,0.3,8522
11,260,0.3,8936
8,270,0.3,9233
3,280,0.4,9793
1,290,0.4,10118
1,300,0.4,10475
1,310,0.4,10776
1,320,0.4,11219
1,330,0.5,11691
1,340,0.4,11945
1,350,0.4,12270
1,360,0.4,12639
1,370,0.4,13160
1,380,0.4,13434
1,390,0.4,13831
1,400,0.3,14101
1,410,0.3,14375
1,420,0.3,14680
1,430,0.2,14936
1,440,0.2,15221
1,450,0.2,15556
1,460,0.2,15810
1,470,0.2,16084
1,480,0.2,16543
1,490,0.2,16937
1,500,0.2,17237
1,510,0.2,17560
1,520,0.2,17790
1,530,0.2,18046
1,540,0.2,18331
1,550,0.2,18660
1,560,0.2,18946
1,570,0.2,19222
1,580,0.2,19600
1,590,0.2,19966
1,600,0.2,20240
1,610,0.2,20539
1,620,0.2,20767
1,630,0.2,21041
1,640,0.2,21269
1,650,0.2,21553
1,660,0.2,21853
1,670,0.2,22077
1,680,0.1,22380
1,690,0.2,22808
1,700,0.2,23190
1,710,0.2,23456
1,720,0.2,23877
1,730,0.2,24155
1,740,0.3,24570
1,750,0.3,24854
1,760,0.3,25082
1,770,0.3,25485
1,780,0.3,25769
1,790,0.3,26244
1,800,0.3,26520
1,810,0.3,26985
1,820,0.3,27270
1,830,0.3,27707
1,840,0.3,28005
1,850,0.3,28233
1,860,0.3,28658
1,870,0.3,29009
1,880,0.4,29377
1,890,0.3,29607
1,900,0.3,29837
1,910,0.2,30093
1,920,0.2,30317
1,930,0.2,30694
1,940,0.2,31045
1,950,0.2,31401
1,960,0.2,31736
1,970,0.2,32076
1,980,0.2,32377
1,990,0.2,32726
1,1000,0.2,32975
1,1010,0.3,33579
1,1020,0.3,33809
1,1030,0.3,34159
1,1040,0.4,34724
1,1050,0.4,35296
1,1060,0.5,35638
1,1070,0.5,36030
1,1080,0.6,36634
1,1090,0.6,37055
1,1100,0.6,37518
1,1110,0.6,38043
1,1120,0.7,38551
1,1130,0.7,38891
1,1140,0.7,39305
1,1150,0.7,39864
1,1160,0.7,40458
1,1170,0.8,41263
1,1180,0.8,41811
1,1190,0.9,42328
1,1200,0.8,42732
1,1210,0.8,43347
1,1220,1.0,44306
1,1230,1.2,45452
1,1240,1.3,46316
1,1250,1.4,47038
1,1260,1.5,47795
1,1270,1.5,48665
1,1280,1.5,49522
1,1290,1.6,50126
1,1300,1.7,51079
1,1310,1.8,52348
1,1320,1.8,53273
1,1330,1.7,54211
1,1340,1.8,55401
1,1350,1.8,56219
1,1360,1.8,56985
1,1370,1.8,57974
1,1380,1.8,58467
1,1390,1.9,59407
1,1400,1.8,60049
1,1410,1.6,60533
1,1420,1.6,61439
1,1430,1.5,62022
1,1440,1.4,62722
1,1450,1.5,63669
1,1460,1.6,64753
1,1470,1.7,66088
1,1480,1.8,67061
1,1490,1.8,68290
1,1500,1.9,69395
1,1510,2.1,70405
1,1520,2.2,71620
1,1530,2.2,72489
1,1540,2.4,73846
1,1550,2.4,74940
1,1560,2.3,75658
1,1570,2.2,76532
1,1580,2.1,77327
1,1590,2.1,78312
1,1600,2.1,79530
1,1610,2.1,80583
1,1620,2.1,81577
1,1630,2.2,82697
1,1640,2.2,84135
1,1650,2.3,85480
1,1660,2.4,86582
1,1670,2.5,87679
1,1680,2.6,88690
1,1690,2.7,89875
1,1700,2.7,91193
1,1710,2.8,92364
1,1720,2.8,93632
1,1730,2.9,95028
1,1740,2.7,95829
1,1750,2.7,97199
1,1760,2.8,98774
