% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.4,357
99,20,0.3,633
98,30,0.4,1109
98,40,0.4,1482
98,50,0.4,1860
97,60,0.4,2325
97,70,0.4,2701
97,80,0.4,3005
96,90,0.3,3259
96,100,0.3,3579
96,110,0.3,3859
95,120,0.3,4184
95,130,0.3,4487
95,140,0.3,4815
95,150,0.2,5043
94,160,0.2,5390
94,170,0.2,5662
94,180,0.2,5997
93,190,0.2,6217
93,200,0.2,6518
93,210,0.2,6818
92,220,0.2,7168
92,230,0.2,7446
92,240,0.2,7973
91,250,0.3,8399
91,260,0.3,8758
91,270,0.3,8986
90,280,0.2,9243
90,290,0.2,9467
90,300,0.3,9875
89,310,0.3,10415
89,320,0.3,10641
89,330,0.3,10946
88,340,0.3,11325
88,350,0.3,11722
88,360,0.3,12097
87,370,0.3,12371
87,380,0.3,12643
87,390,0.3,12915
86,400,0.3,13264
86,410,0.3,13732
86,420,0.3,14084
85,430,0.3,14433
85,440,0.3,14756
85,450,0.2,15012
84,460,0.2,15268
84,470,0.2,15597
84,480,0.3,15927
83,490,0.3,16298
83,500,0.3,16617
82,510,0.3,17212
82,520,0.3,17480
82,530,0.3,17961
81,540,0.3,18405
81,550,0.4,19035
80,560,0.5,19560
80,570,0.5,19829
80,580,0.5,20185
79,590,0.4,20466
79,600,0.4,20696
79,610,0.3,20922
79,620,0.3,21196
78,630,0.3,21584
78,640,0.3,21967
77,650,0.2,22241
77,660,0.2,22542
77,670,0.2,22867
77,680,0.2,23214
76,690,0.2,23583
76,700,0.2,23841
76,710,0.3,24218
75,720,0.3,24476
75,730,0.3,24827
75,740,0.2,25051
74,750,0.2,25420
74,760,0.2,25646
74,770,0.2,25970
73,780,0.2,26274
73,790,0.2,26573
73,800,0.2,26843
73,810,0.2,27173
72,820,0.2,27401
72,830,0.2,27878
72,840,0.2,28152
71,850,0.2,28503
71,860,0.2,28777
71,870,0.2,29047
71,880,0.2,29277
70,890,0.2,29507
70,900,0.2,29957
70,910,0.2,30226
69,920,0.2,30527
69,930,0.2,30896
68,940,0.2,31343
68,950,0.2,31642
68,960,0.2,32069
67,970,0.3,32369
67,980,0.3,32797
67,990,0.3,33057
66,1000,0.3,33363
66,1010,0.3,33765
66,1020,0.3,34041
65,1030,0.3,34363
65,1040,0.3,34772
65,1050,0.3,35070
64,1060,0.3,35423
64,1070,0.3,35767
64,1080,0.3,36246
63,1090,0.4,36698
63,1100,0.4,37002
63,1110,0.3,37258
62,1120,0.4,37633
62,1130,0.4,37983
62,1140,0.3,38316
61,1150,0.4,38794
61,1160,0.4,39329
60,1170,0.5,39857
60,1180,0.4,40282
59,1190,0.4,40710
59,1200,0.5,41125
58,1210,0.5,41458
