game,score
1,152.0
2,46.0
3,70.0
4,49.0
5,131.0
6,144.0
7,46.0
8,127.0
9,46.0
10,99.0
11,73.0
12,91.0
13,131.0
14,61.0
15,233.0
16,77.0
17,107.0
18,46.0
19,46.0
20,99.0
21,81.0
22,289.0
23,224.0
24,94.0
25,222.0
26,56.0
27,196.0
28,63.0
29,76.0
30,50.0
31,94.0
32,54.0
33,197.0
34,95.0
35,100.0
36,126.0
37,88.0
38,102.0
39,240.0
40,160.0
41,72.0
42,278.0
43,46.0
44,46.0
45,100.0
46,53.0
47,101.0
48,93.0
49,233.0
50,104.0
51,112.0
52,46.0
53,49.0
54,142.0
55,265.0
56,196.0
57,74.0
58,78.0
59,100.0
60,54.0
61,60.0
62,35.0
63,110.0
64,206.0
65,118.0
66,249.0
67,64.0
68,129.0
69,105.0
70,203.0
71,82.0
72,76.0
73,54.0
74,143.0
75,160.0
76,54.0
77,233.0
78,46.0
79,78.0
80,66.0
81,101.0
82,87.0
83,91.0
84,108.0
85,44.0
86,65.0
87,63.0
88,72.0
89,112.0
90,82.0
91,91.0
92,52.0
93,66.0
94,49.0
95,104.0
96,42.0
97,67.0
98,87.0
99,216.0
100,158.0
101,58.0
102,35.0
103,58.0
104,233.0
105,249.0
106,192.0
107,58.0
108,71.0
109,78.0
110,95.0
111,40.0
112,81.0
113,95.0
114,63.0
115,222.0
116,53.0
117,220.0
118,55.0
119,116.0
120,62.0
121,49.0
122,95.0
123,106.0
124,60.0
125,86.0
126,113.0
127,250.0
128,139.0
129,76.0
130,49.0
131,42.0
132,58.0
133,70.0
134,34.0
135,113.0
136,264.0
137,139.0
138,46.0
139,64.0
140,238.0
141,209.0
142,60.0
143,222.0
144,46.0
145,156.0
146,70.0
147,64.0
148,173.0
149,315.0
150,108.0
151,125.0
152,85.0
153,264.0
154,105.0
155,102.0
156,79.0
157,45.0
158,41.0
159,135.0
160,41.0
161,215.0
162,152.0
163,87.0
164,67.0
165,104.0
166,100.0
167,214.0
168,126.0
169,72.0
170,115.0
171,69.0
172,58.0
173,63.0
174,176.0
175,82.0
176,53.0
177,140.0
178,65.0
179,87.0
180,216.0
181,82.0
182,145.0
183,46.0
184,222.0
185,222.0
186,147.0
187,49.0
188,233.0
189,95.0
190,97.0
191,37.0
192,59.0
193,219.0
194,236.0
195,94.0
196,34.0
197,58.0
198,210.0
199,208.0
200,80.0
201,265.0
202,250.0
203,58.0
204,49.0
205,46.0
206,98.0
207,43.0
208,46.0
209,74.0
210,164.0
211,248.0
212,105.0
213,46.0
214,73.0
215,108.0
216,74.0
217,200.0
218,132.0
219,44.0
220,55.0
221,42.0
222,156.0
223,46.0
224,49.0
225,64.0
226,245.0
227,88.0
228,82.0
229,65.0
230,41.0
231,76.0
232,49.0
233,182.0
234,141.0
235,92.0
236,80.0
237,222.0
238,251.0
239,82.0
240,41.0
241,139.0
242,79.0
243,112.0
244,123.0
245,41.0
246,107.0
247,49.0
248,62.0
249,64.0
250,81.0
251,49.0
252,49.0
253,222.0
254,45.0
255,297.0
256,46.0
257,86.0
258,235.0
259,50.0
260,44.0
261,75.0
262,230.0
263,102.0
264,31.0
265,46.0
266,206.0
267,46.0
268,239.0
269,200.0
270,191.0
271,102.0
272,222.0
273,176.0
274,49.0
275,127.0
276,92.0
277,117.0
278,249.0
279,66.0
280,44.0
281,46.0
282,125.0
283,107.0
284,135.0
285,224.0
286,55.0
287,191.0
288,49.0
289,106.0
290,54.0
291,255.0
292,106.0
293,242.0
294,76.0
295,75.0
296,46.0
297,222.0
298,101.0
299,224.0
300,49.0
301,266.0
302,49.0
303,48.0
304,65.0
305,264.0
306,272.0
307,265.0
308,80.0
309,69.0
310,46.0
311,54.0
312,83.0
313,46.0
314,174.0
315,49.0
316,73.0
317,164.0
318,71.0
319,140.0
320,126.0
321,65.0
322,234.0
323,55.0
324,46.0
325,222.0
326,206.0
327,113.0
328,74.0
329,77.0
330,161.0
331,257.0
332,222.0
333,50.0
334,48.0
335,55.0
336,63.0
337,68.0
338,61.0
339,45.0
340,222.0
341,41.0
342,40.0
343,251.0
344,237.0
345,53.0
346,86.0
347,102.0
348,40.0
349,140.0
350,326.0
351,46.0
352,99.0
353,352.0
354,72.0
355,132.0
356,94.0
357,55.0
358,46.0
359,51.0
360,83.0
361,56.0
362,36.0
363,118.0
364,112.0
365,54.0
366,52.0
367,104.0
368,95.0
369,82.0
370,85.0
371,111.0
372,105.0
373,98.0
374,260.0
375,103.0
376,49.0
377,82.0
378,140.0
379,82.0
380,60.0
381,40.0
382,233.0
383,45.0
384,46.0
385,233.0
386,130.0
387,73.0
388,87.0
389,34.0
390,63.0
391,68.0
392,69.0
393,35.0
394,66.0
395,255.0
396,121.0
397,118.0
398,127.0
399,63.0
400,63.0
401,168.0
402,181.0
403,46.0
404,49.0
405,109.0
406,115.0
407,233.0
408,218.0
409,74.0
410,58.0
411,106.0
412,118.0
413,98.0
414,78.0
415,113.0
416,118.0
417,56.0
418,63.0
419,90.0
420,111.0
421,64.0
422,218.0
