game,score
1,59.0
2,58.0
3,94.0
4,200.0
5,39.0
6,84.0
7,74.0
8,94.0
9,79.0
10,53.0
11,93.0
12,56.0
13,87.0
14,69.0
15,94.0
16,179.0
17,65.0
18,48.0
19,63.0
20,57.0
21,32.0
22,44.0
23,39.0
24,68.0
25,29.0
26,112.0
27,18.0
28,195.0
29,34.0
30,93.0
31,39.0
32,67.0
33,65.0
34,226.0
35,58.0
36,16.0
37,73.0
38,65.0
39,17.0
40,86.0
41,25.0
42,49.0
43,15.0
44,79.0
45,52.0
46,63.0
47,302.0
48,39.0
49,62.0
50,119.0
51,44.0
52,60.0
53,113.0
54,41.0
55,36.0
56,40.0
57,64.0
58,125.0
59,39.0
60,56.0
61,250.0
62,46.0
63,200.0
64,93.0
65,39.0
66,234.0
67,57.0
68,64.0
69,54.0
70,51.0
71,66.0
72,195.0
73,277.0
74,38.0
75,60.0
76,43.0
77,200.0
78,200.0
79,29.0
80,76.0
81,76.0
82,91.0
83,108.0
84,69.0
85,66.0
86,195.0
87,179.0
88,86.0
89,62.0
90,68.0
91,108.0
92,62.0
93,64.0
94,23.0
95,34.0
96,53.0
97,70.0
98,78.0
99,199.0
100,39.0
101,93.0
102,93.0
103,61.0
104,90.0
105,65.0
106,220.0
107,28.0
108,48.0
109,43.0
110,200.0
111,280.0
112,51.0
113,65.0
114,51.0
115,195.0
116,70.0
117,76.0
118,91.0
119,39.0
120,50.0
121,48.0
122,84.0
123,56.0
124,51.0
125,32.0
126,78.0
127,34.0
128,66.0
129,74.0
130,24.0
131,39.0
132,64.0
133,45.0
134,72.0
135,93.0
136,96.0
137,58.0
138,60.0
139,68.0
140,54.0
141,52.0
142,37.0
143,29.0
144,58.0
145,24.0
146,92.0
147,195.0
148,57.0
149,68.0
150,60.0
151,200.0
152,77.0
153,62.0
154,69.0
155,65.0
156,86.0
157,56.0
158,195.0
159,69.0
160,57.0
161,77.0
162,124.0
163,64.0
164,63.0
165,166.0
166,350.0
167,50.0
168,81.0
169,159.0
170,89.0
171,28.0
172,49.0
173,46.0
174,200.0
175,83.0
176,48.0
177,78.0
178,70.0
179,200.0
180,64.0
181,78.0
182,70.0
183,56.0
184,233.0
185,89.0
186,211.0
187,39.0
188,315.0
189,89.0
190,66.0
191,226.0
192,64.0
193,200.0
194,26.0
195,61.0
196,84.0
197,65.0
198,83.0
199,41.0
200,55.0
201,54.0
202,39.0
203,42.0
204,64.0
205,91.0
206,75.0
207,200.0
208,179.0
209,47.0
210,54.0
211,93.0
212,53.0
213,88.0
214,39.0
215,59.0
216,46.0
217,200.0
218,39.0
219,13.0
220,92.0
221,34.0
222,91.0
223,36.0
224,195.0
225,69.0
226,55.0
227,70.0
228,13.0
229,87.0
230,34.0
231,63.0
232,65.0
233,46.0
234,39.0
235,56.0
236,55.0
237,39.0
238,39.0
239,70.0
240,65.0
241,179.0
242,87.0
243,117.0
244,92.0
245,66.0
246,13.0
247,38.0
248,66.0
249,78.0
250,74.0
251,57.0
252,151.0
253,268.0
254,200.0
255,208.0
256,52.0
257,71.0
258,12.0
259,39.0
260,168.0
261,93.0
262,13.0
263,200.0
264,195.0
265,76.0
266,22.0
267,68.0
268,78.0
269,38.0
270,64.0
271,106.0
272,39.0
273,50.0
274,200.0
275,179.0
276,39.0
277,89.0
278,69.0
279,72.0
280,33.0
281,60.0
282,36.0
283,76.0
284,39.0
285,195.0
286,38.0
287,56.0
288,28.0
289,195.0
290,70.0
291,60.0
292,229.0
293,61.0
294,20.0
295,46.0
296,74.0
297,77.0
298,68.0
299,195.0
300,58.0
301,44.0
302,33.0
303,27.0
304,195.0
305,53.0
306,62.0
307,16.0
308,80.0
309,200.0
310,41.0
311,65.0
312,89.0
313,51.0
314,38.0
315,62.0
316,54.0
317,83.0
318,90.0
319,101.0
320,50.0
321,83.0
322,42.0
323,89.0
324,65.0
325,114.0
326,36.0
327,68.0
328,70.0
329,54.0
330,78.0
331,47.0
332,30.0
333,81.0
334,58.0
335,53.0
336,28.0
337,93.0
338,117.0
339,65.0
340,52.0
341,40.0
342,60.0
343,50.0
344,40.0
345,60.0
346,56.0
347,50.0
348,65.0
349,38.0
350,74.0
351,75.0
352,195.0
353,65.0
354,259.0
355,121.0
356,195.0
357,259.0
358,81.0
359,55.0
360,102.0
361,68.0
362,167.0
363,29.0
364,112.0
365,39.0
366,23.0
367,71.0
368,59.0
369,211.0
370,78.0
371,70.0
372,78.0
373,200.0
374,46.0
375,57.0
376,47.0
377,63.0
378,69.0
379,195.0
380,81.0
381,70.0
382,54.0
383,64.0
384,34.0
385,302.0
386,80.0
387,69.0
388,68.0
389,43.0
390,149.0
391,19.0
392,67.0
393,99.0
394,200.0
395,163.0
396,58.0
397,50.0
398,55.0
399,113.0
400,71.0
401,39.0
402,37.0
403,179.0
404,22.0
405,59.0
406,79.0
407,65.0
408,189.0
409,39.0
410,56.0
411,39.0
412,65.0
413,49.0
414,82.0
415,80.0
416,71.0
417,51.0
418,39.0
419,76.0
420,69.0
421,69.0
422,91.0
423,46.0
424,43.0
425,39.0
426,60.0
427,55.0
428,88.0
429,35.0
430,66.0
431,23.0
432,117.0
433,199.0
434,29.0
435,39.0
436,73.0
437,62.0
438,87.0
439,49.0
440,66.0
441,94.0
442,200.0
443,39.0
444,55.0
445,59.0
446,195.0
447,305.0
448,41.0
449,108.0
450,37.0
451,93.0
452,195.0
453,41.0
454,61.0
455,200.0
456,200.0
457,67.0
458,98.0
459,200.0
460,99.0
461,24.0
462,58.0
463,48.0
464,195.0
465,42.0
466,208.0
467,56.0
468,65.0
469,105.0
470,60.0
471,84.0
472,91.0
473,51.0
474,41.0
475,177.0
476,43.0
477,60.0
478,45.0
479,62.0
480,83.0
481,36.0
482,78.0
483,31.0
484,90.0
485,61.0
486,212.0
487,195.0
488,77.0
489,41.0
490,62.0
491,76.0
492,200.0
493,31.0
494,104.0
495,41.0
496,61.0
497,114.0
498,323.0
499,57.0
500,30.0
501,50.0
502,66.0
503,195.0
504,195.0
505,52.0
506,48.0
507,66.0
508,23.0
509,200.0
510,101.0
511,55.0
512,79.0
513,44.0
514,69.0
515,55.0
516,70.0
517,114.0
518,56.0
519,200.0
520,66.0
521,50.0
522,39.0
523,198.0
524,61.0
525,46.0
526,56.0
527,90.0
528,80.0
529,233.0
530,65.0
531,53.0
532,49.0
533,268.0
534,149.0
535,69.0
536,32.0
537,269.0
538,87.0
539,67.0
540,38.0
541,195.0
542,59.0
543,200.0
544,179.0
545,102.0
546,195.0
547,39.0
548,41.0
549,65.0
550,92.0
551,48.0
552,65.0
553,200.0
554,60.0
555,200.0
556,44.0
557,70.0
558,206.0
559,76.0
560,62.0
561,39.0
562,78.0
563,79.0
564,63.0
565,89.0
566,46.0
567,39.0
568,199.0
569,50.0
570,102.0
571,59.0
572,200.0
573,58.0
574,146.0
575,257.0
576,45.0
577,63.0
578,54.0
579,83.0
580,65.0
581,18.0
582,107.0
583,61.0
584,39.0
585,93.0
586,80.0
587,87.0
588,42.0
589,79.0
590,69.0
591,39.0
592,47.0
593,35.0
594,94.0
595,114.0
596,19.0
597,48.0
598,61.0
599,41.0
600,55.0
601,72.0
602,135.0
603,43.0
604,195.0
605,39.0
606,138.0
607,65.0
608,52.0
609,12.0
610,67.0
611,73.0
612,74.0
613,39.0
614,177.0
615,39.0
616,64.0
617,27.0
618,336.0
619,195.0
620,50.0
621,110.0
622,70.0
623,80.0
624,74.0
625,83.0
626,66.0
627,177.0
628,315.0
629,52.0
630,72.0
631,82.0
632,339.0
633,73.0
634,48.0
635,82.0
636,74.0
637,71.0
638,67.0
639,89.0
640,84.0
641,29.0
642,12.0
643,62.0
644,72.0
645,73.0
646,94.0
647,62.0
648,112.0
649,90.0
650,91.0
651,62.0
652,45.0
653,37.0
654,56.0
655,59.0
656,66.0
657,53.0
658,47.0
659,50.0
660,208.0
661,195.0
662,50.0
663,65.0
664,39.0
665,57.0
666,63.0
667,32.0
668,39.0
669,80.0
670,75.0
671,37.0
672,117.0
673,49.0
674,200.0
675,62.0
676,29.0
677,24.0
678,336.0
679,25.0
680,39.0
681,61.0
682,195.0
683,41.0
684,55.0
685,60.0
686,61.0
687,200.0
688,195.0
689,51.0
690,54.0
691,40.0
692,36.0
693,30.0
694,74.0
695,64.0
696,114.0
697,42.0
698,256.0
699,198.0
700,66.0
701,39.0
702,93.0
703,48.0
704,68.0
705,107.0
706,200.0
707,50.0
708,36.0
709,36.0
710,184.0
711,90.0
712,33.0
713,164.0
714,76.0
715,37.0
716,211.0
717,26.0
718,45.0
719,315.0
720,42.0
721,83.0
722,62.0
723,39.0
724,98.0
725,39.0
726,295.0
727,30.0
728,53.0
729,58.0
730,63.0
731,27.0
732,64.0
733,152.0
734,61.0
735,54.0
736,68.0
737,73.0
738,93.0
739,200.0
740,55.0
741,164.0
742,179.0
743,53.0
744,71.0
745,79.0
746,199.0
747,79.0
748,69.0
749,39.0
750,40.0
751,66.0
752,39.0
753,195.0
754,76.0
755,40.0
756,59.0
757,24.0
758,78.0
759,80.0
760,118.0
761,38.0
762,39.0
763,42.0
764,59.0
765,39.0
766,116.0
767,78.0
768,39.0
769,251.0
770,74.0
771,80.0
772,26.0
773,50.0
774,74.0
775,34.0
776,93.0
777,289.0
778,70.0
779,211.0
780,60.0
