% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.7,453
98,20,0.6,949
96,30,0.7,1520
96,40,0.7,1994
95,50,0.6,2310
94,60,0.5,2568
94,70,0.5,2929
93,80,0.5,3276
92,90,0.5,3749
91,100,0.4,4046
91,110,0.4,4473
90,120,0.4,4777
90,130,0.3,5007
89,140,0.3,5411
88,150,0.3,5731
87,160,0.3,6163
87,170,0.3,6543
86,180,0.3,6894
85,190,0.3,7199
84,200,0.3,7677
84,210,0.3,8069
83,220,0.3,8293
83,230,0.3,8583
82,240,0.4,9015
81,250,0.4,9469
80,260,0.4,9950
79,270,0.4,10329
78,280,0.4,10725
77,290,0.4,11250
77,300,0.4,11523
76,310,0.4,11856
75,320,0.4,12350
74,330,0.5,12870
73,340,0.5,13277
73,350,0.5,13632
71,360,0.5,14144
70,370,0.5,14896
69,380,0.6,15429
68,390,0.6,16027
66,400,0.7,16714
65,410,0.8,17332
64,420,0.8,17885
63,430,0.8,18374
62,440,0.9,19006
61,450,0.9,19579
60,460,1.0,20163
59,470,0.9,20696
57,480,1.1,21693
55,490,1.1,22365
54,500,1.1,22982
52,510,1.2,23944
51,520,1.2,24554
49,530,1.3,25361
47,540,1.4,26283
45,550,1.5,27274
43,560,1.6,28364
41,570,1.8,29589
39,580,1.8,30597
37,590,1.9,31723
34,600,2.2,33212
30,610,2.4,34855
28,620,2.6,36221
25,630,3.1,37689
22,640,3.2,39089
20,650,3.3,40299
17,660,3.4,41612
13,670,3.7,43614
10,680,3.9,45354
4,690,4.4,48095
1,700,4.6,50029
1,710,4.8,51937
1,720,5.0,54089
1,730,4.9,56139
1,740,5.2,58501
1,750,5.5,60630
1,760,5.8,62570
1,770,5.9,64901
1,780,6.1,67374
1,790,6.0,69718
1,800,6.1,72204
1,810,6.2,74167
1,820,6.1,76146
1,830,6.1,77741
1,840,6.5,80347
1,850,6.6,82522
1,860,6.5,84473
1,870,6.3,85926
1,880,6.1,87712
1,890,6.2,90167
1,900,6.0,92137
1,910,6.0,94170
1,920,5.9,96004
1,930,6.0,98388
1,940,6.0,100955
1,950,6.1,103335
1,960,6.2,105639
1,970,6.7,107440
1,980,6.9,109609
1,990,7.0,112214
1,1000,7.2,114777
1,1010,7.2,116741
1,1020,7.3,118544
1,1030,7.3,121191
1,1040,6.9,123207
1,1050,7.3,126156
1,1060,7.7,128674
1,1070,7.5,131178
1,1080,7.4,133179
1,1090,7.3,135844
1,1100,7.2,137551
1,1110,7.3,139914
1,1120,7.4,142124
1,1130,7.4,144198
1,1140,7.4,146209
1,1150,7.0,148719
1,1160,6.8,150992
1,1170,6.9,153803
1,1180,7.1,156182
1,1190,7.1,158108
1,1200,7.4,161148
1,1210,7.3,163789
1,1220,7.1,165498
1,1230,7.1,167457
1,1240,7.2,170155
1,1250,7.2,172370
1,1260,6.9,174148
1,1270,6.8,176555
1,1280,6.9,179464
1,1290,7.1,182375
1,1300,7.0,184915
1,1310,7.1,187287
1,1320,7.2,189077
1,1330,7.9,191585
1,1340,7.8,194026
1,1350,7.7,195955
1,1360,8.0,198257
1,1370,8.0,200662
1,1380,7.7,202687
1,1390,8.0,205624
1,1400,8.0,208046
1,1410,7.8,210498
1,1420,7.8,212629
1,1430,7.2,214584
1,1440,7.1,216564
1,1450,7.4,219242
1,1460,7.3,221906
1,1470,7.4,224153
1,1480,7.5,226116
1,1490,7.2,228781
1,1500,7.0,230952
1,1510,7.2,233772
1,1520,7.3,236001
1,1530,7.6,238911
1,1540,7.7,241279
1,1550,7.6,243091
1,1560,7.4,245361
1,1570,7.1,247001
1,1580,7.2,249632
1,1590,7.1,252310
1,1600,7.3,255344
1,1610,7.3,258194
1,1620,7.4,260997
1,1630,7.4,263713
1,1640,7.6,266313
1,1650,7.5,268302
1,1660,7.6,270755
1,1670,7.8,272878
1,1680,8.0,275739
1,1690,8.0,278451
1,1700,8.1,280718
1,1710,8.0,283247
1,1720,7.8,285555
1,1730,7.8,287961
1,1740,7.9,291201
1,1750,7.9,293555
1,1760,7.8,296125
1,1770,8.2,298756
1,1780,8.0,300932
1,1790,8.1,303776
1,1800,8.0,306542
1,1810,8.3,309351
1,1820,8.5,311689
1,1830,8.8,314304
1,1840,8.6,316588
1,1850,8.9,319441
1,1860,9.2,322065
1,1870,9.0,324534
1,1880,8.9,326384
1,1890,8.9,329692
1,1900,8.9,332386
1,1910,8.6,335030
1,1920,8.4,337410
1,1930,8.3,340248
1,1940,8.2,342628
1,1950,7.9,345072
1,1960,7.7,347500
1,1970,7.4,349260
1,1980,7.5,351111
1,1990,7.8,354256
1,2000,7.6,356317
1,2010,7.7,359040
1,2020,7.8,361361
1,2030,7.7,363847
1,2040,7.6,366001
1,2050,7.8,368697
1,2060,8.1,372118
1,2070,8.4,374521
1,2080,8.7,377169
1,2090,8.6,380156
1,2100,9.0,382956
1,2110,8.7,385071
1,2120,9.1,388520
1,2130,9.4,391068
1,2140,9.8,394016
1,2150,9.6,396113
1,2160,8.6,397166
1,2170,8.8,399234
1,2180,8.6,401450
1,2190,8.2,403790
1,2200,7.8,406154
1,2210,8.4,409124
1,2220,8.0,411231
1,2230,7.7,413571
1,2240,7.6,416144
1,2250,7.8,418544
1,2260,8.7,421192
1,2270,8.9,423577
1,2280,9.4,426867
1,2290,9.8,429426
1,2300,9.8,431557
1,2310,10.0,434517
1,2320,10.1,437128
1,2330,10.3,439359
1,2340,10.3,442163
1,2350,10.3,444552
1,2360,10.1,446926
1,2370,9.6,448872
1,2380,9.4,451808
1,2390,9.1,454276
1,2400,9.5,456909
1,2410,9.1,459643
1,2420,9.2,462532
1,2430,9.5,465082
1,2440,9.1,467117
1,2450,9.3,470020
1,2460,9.7,472554
1,2470,9.8,474590
1,2480,9.8,477496
1,2490,10.1,480370
1,2500,10.0,483313
1,2510,9.9,485938
1,2520,10.2,489188
1,2530,9.7,491740
1,2540,9.9,494506
1,2550,9.6,496773
1,2560,9.1,498817
