game,score
1,221.0
2,89.0
3,99.0
4,203.0
5,168.0
6,90.0
7,168.0
8,66.0
9,72.0
10,168.0
11,221.0
12,224.0
13,197.0
14,204.0
15,183.0
16,105.0
17,225.0
18,90.0
19,61.0
20,34.0
21,63.0
22,90.0
23,265.0
24,168.0
25,168.0
26,122.0
27,113.0
28,63.0
29,146.0
30,228.0
31,102.0
32,58.0
33,68.0
34,282.0
35,103.0
36,44.0
37,126.0
38,122.0
39,204.0
40,112.0
41,73.0
42,51.0
43,168.0
44,189.0
45,80.0
46,144.0
47,73.0
48,168.0
49,68.0
50,90.0
51,122.0
52,73.0
53,239.0
54,90.0
55,79.0
56,98.0
57,168.0
58,73.0
59,77.0
60,179.0
61,91.0
62,240.0
63,63.0
64,54.0
65,89.0
66,90.0
67,90.0
68,168.0
69,170.0
70,61.0
71,179.0
72,45.0
73,168.0
74,115.0
75,134.0
76,61.0
77,239.0
78,79.0
79,267.0
80,221.0
81,69.0
82,183.0
83,297.0
84,77.0
85,89.0
86,55.0
87,168.0
88,327.0
89,45.0
90,89.0
91,90.0
92,81.0
93,39.0
94,79.0
95,168.0
96,164.0
97,89.0
98,84.0
99,209.0
100,73.0
101,168.0
102,168.0
103,86.0
104,89.0
105,41.0
106,128.0
107,63.0
108,60.0
109,124.0
110,105.0
111,67.0
112,67.0
113,84.0
114,121.0
115,66.0
116,63.0
117,168.0
118,89.0
119,222.0
120,99.0
121,190.0
122,81.0
123,73.0
124,106.0
125,112.0
126,73.0
127,95.0
128,124.0
129,90.0
130,82.0
131,90.0
132,90.0
133,89.0
134,66.0
135,89.0
136,48.0
137,104.0
138,127.0
139,89.0
140,78.0
141,68.0
142,308.0
143,170.0
144,93.0
145,130.0
146,117.0
147,89.0
148,162.0
149,168.0
150,73.0
151,69.0
152,103.0
153,201.0
154,308.0
155,335.0
156,73.0
157,106.0
158,98.0
159,168.0
160,91.0
161,89.0
162,196.0
163,90.0
164,84.0
165,45.0
166,99.0
167,86.0
168,187.0
169,89.0
170,88.0
171,96.0
172,122.0
173,73.0
174,72.0
175,141.0
176,65.0
177,89.0
178,168.0
179,111.0
180,74.0
181,90.0
182,145.0
183,60.0
184,72.0
185,180.0
186,174.0
187,249.0
188,88.0
189,45.0
190,147.0
191,168.0
192,52.0
193,41.0
194,141.0
195,90.0
196,144.0
197,174.0
198,89.0
199,44.0
200,83.0
201,89.0
202,30.0
203,61.0
204,40.0
205,224.0
206,73.0
207,143.0
208,51.0
209,141.0
210,187.0
211,73.0
212,106.0
213,207.0
214,68.0
215,168.0
216,297.0
217,156.0
218,69.0
219,89.0
220,90.0
221,62.0
222,63.0
223,157.0
224,89.0
225,126.0
226,76.0
227,75.0
228,65.0
229,20.0
230,130.0
231,74.0
232,73.0
233,71.0
234,90.0
235,287.0
236,67.0
237,73.0
238,90.0
239,61.0
240,91.0
241,233.0
242,42.0
243,68.0
244,200.0
245,218.0
246,42.0
247,79.0
248,102.0
249,168.0
250,101.0
251,89.0
252,61.0
253,168.0
254,75.0
255,89.0
256,41.0
257,75.0
258,72.0
259,90.0
260,84.0
261,40.0
262,73.0
263,97.0
264,64.0
265,253.0
266,168.0
267,253.0
268,72.0
269,136.0
270,73.0
271,73.0
272,191.0
273,168.0
274,89.0
275,43.0
276,89.0
277,35.0
