% time spent exploring,episodes,mean 100 episode reward,steps
98,10,1.2,551
98,20,0.7,883
97,30,0.5,1105
96,40,0.6,1656
96,50,0.5,1882
95,60,0.5,2232
94,70,0.4,2576
94,80,0.4,2800
93,90,0.4,3165
93,100,0.4,3492
92,110,0.3,3819
91,120,0.3,4123
91,130,0.3,4425
90,140,0.2,4748
89,150,0.3,5164
89,160,0.3,5449
88,170,0.3,5945
87,180,0.3,6291
86,190,0.3,6597
86,200,0.3,7035
85,210,0.3,7415
84,220,0.4,7792
83,230,0.4,8344
82,240,0.5,8751
81,250,0.5,9205
80,260,0.5,9732
80,270,0.5,10066
79,280,0.5,10524
78,290,0.5,10857
78,300,0.5,11111
77,310,0.5,11461
76,320,0.5,11814
75,330,0.4,12147
75,340,0.4,12618
74,350,0.4,13029
73,360,0.4,13447
72,370,0.4,13895
71,380,0.4,14416
70,390,0.6,15147
68,400,0.6,15748
68,410,0.7,16144
67,420,0.7,16570
66,430,0.7,17152
64,440,0.8,17719
63,450,0.8,18398
62,460,0.9,18947
60,470,1.0,19938
59,480,1.0,20464
57,490,1.0,21300
57,500,1.0,21629
55,510,1.0,22312
54,520,1.1,22827
52,530,1.2,23755
51,540,1.3,24671
50,550,1.2,25187
48,560,1.3,26031
46,570,1.4,26993
44,580,1.5,27934
43,590,1.5,28588
41,600,1.7,29669
38,610,2.0,31289
35,620,2.4,32541
33,630,2.4,33418
30,640,2.8,34911
27,650,3.2,36459
25,660,3.4,37711
23,670,3.7,38774
19,680,4.0,40556
16,690,4.5,41921
12,700,5.0,43959
9,710,5.1,45717
6,720,5.4,47304
2,730,6.1,49365
1,740,6.2,51102
1,750,6.1,52639
1,760,6.3,54249
1,770,6.6,56307
1,780,6.4,57800
1,790,6.4,59621
1,800,9.5,61877
1,810,9.8,63968
1,820,10.2,66542
1,830,10.0,68245
1,840,14.4,70597
1,850,15.6,72876
1,860,16.2,74625
1,870,16.8,76941
1,880,17.2,79187
1,890,17.2,80695
1,900,14.4,82688
1,910,16.7,85010
1,920,16.7,86641
1,930,18.4,88382
1,940,14.4,90572
1,950,13.8,92770
1,960,15.1,94758
1,970,14.6,96843
1,980,15.0,99030
1,990,15.4,101248
1,1000,15.2,102841
1,1010,13.1,105288
1,1020,13.0,107436
1,1030,12.0,109536
1,1040,13.4,111491
1,1050,13.0,112960
1,1060,11.5,115331
1,1070,11.3,116884
1,1080,11.4,119780
1,1090,13.2,121702
1,1100,13.6,124081
1,1110,13.7,125982
1,1120,13.5,127523
1,1130,13.1,129297
1,1140,11.7,132111
1,1150,12.0,133999
1,1160,13.6,136443
1,1170,14.6,138807
1,1180,13.8,140321
1,1190,11.8,142414
1,1200,11.3,143889
1,1210,10.9,145481
1,1220,11.0,147261
1,1230,11.2,149778
1,1240,10.9,151652
1,1250,11.4,153772
1,1260,10.3,156369
1,1270,12.4,158574
1,1280,12.6,160073
1,1290,13.2,162742
1,1300,14.1,165316
1,1310,14.5,167519
1,1320,14.5,170110
1,1330,15.8,172382
1,1340,15.8,174652
1,1350,14.9,176038
1,1360,14.3,178043
1,1370,11.1,180042
1,1380,11.3,182181
1,1390,10.5,183845
1,1400,10.2,186112
1,1410,9.9,188254
1,1420,10.0,190123
1,1430,8.6,191848
1,1440,9.2,194711
1,1450,10.3,197260
1,1460,10.5,199183
1,1470,11.6,201596
1,1480,12.9,203615
1,1490,13.5,205736
1,1500,18.0,208186
1,1510,17.9,210627
1,1520,18.0,212842
1,1530,18.1,214988
1,1540,17.7,217077
1,1550,16.8,218948
1,1560,16.7,221148
1,1570,15.7,223074
1,1580,14.5,225300
1,1590,14.7,228222
1,1600,10.5,230992
1,1610,10.6,233606
1,1620,10.6,235839
1,1630,11.5,238335
1,1640,13.6,241414
1,1650,13.9,243148
1,1660,13.7,244961
1,1670,14.4,247144
1,1680,14.3,249218
1,1690,13.3,250331
1,1700,14.4,251896
1,1710,14.6,254150
1,1720,16.7,257067
1,1730,15.8,259015
1,1740,14.0,261309
1,1750,14.4,263565
1,1760,15.0,266640
1,1770,15.2,269450
1,1780,14.8,271012
1,1790,15.1,272812
1,1800,13.6,274999
1,1810,13.7,276529
1,1820,11.4,278894
1,1830,11.3,281182
1,1840,11.6,284024
1,1850,13.1,285525
1,1860,12.6,287770
1,1870,11.6,289432
1,1880,12.0,291805
1,1890,11.5,292639
1,1900,11.2,294457
1,1910,10.8,296670
1,1920,10.9,298571
1,1930,10.6,300559
1,1940,10.2,302702
1,1950,8.2,304443
1,1960,12.1,306871
1,1970,12.4,308812
1,1980,14.3,311915
1,1990,15.0,313996
1,2000,15.0,316130
1,2010,16.4,317760
1,2020,16.8,320621
1,2030,16.8,322627
1,2040,16.2,324006
1,2050,16.6,326259
1,2060,13.0,328515
1,2070,13.1,330719
1,2080,11.0,332452
1,2090,11.9,335324
1,2100,13.8,337937
1,2110,12.4,339781
1,2120,12.0,341840
1,2130,12.5,344044
1,2140,12.6,345450
1,2150,12.6,347747
1,2160,12.9,350345
1,2170,13.1,352667
1,2180,13.2,354689
1,2190,12.9,357399
1,2200,11.4,359504
1,2210,12.0,361664
1,2220,12.1,364143
1,2230,11.9,366452
1,2240,18.5,369013
1,2250,18.0,370815
1,2260,17.5,372961
1,2270,17.5,375176
1,2280,18.1,377681
1,2290,17.9,380019
1,2300,19.5,382662
1,2310,18.3,383407
1,2320,18.2,385716
1,2330,19.7,387327
1,2340,13.8,389589
1,2350,14.5,392040
1,2360,15.1,394649
1,2370,15.4,397315
1,2380,16.6,399842
1,2390,16.1,401935
1,2400,14.0,403678
1,2410,14.8,405590
1,2420,15.0,408203
1,2430,13.5,410505
1,2440,13.5,412514
1,2450,13.5,415276
1,2460,14.3,417395
1,2470,13.9,419384
1,2480,12.4,421513
1,2490,12.6,423334
1,2500,13.3,426050
1,2510,14.8,428268
1,2520,14.8,430081
1,2530,14.6,431995
1,2540,16.3,434330
1,2550,16.1,436625
1,2560,15.3,439010
1,2570,16.6,441798
1,2580,16.2,443543
1,2590,16.4,445717
1,2600,15.9,447972
1,2610,16.2,450412
1,2620,15.5,452052
1,2630,15.6,453909
1,2640,13.8,456044
1,2650,16.1,458709
1,2660,15.8,460810
1,2670,15.9,463550
1,2680,15.8,465163
1,2690,15.3,466753
1,2700,17.2,468763
1,2710,15.0,469884
1,2720,16.0,472261
1,2730,18.6,474279
1,2740,19.8,476536
1,2750,17.4,478733
1,2760,17.6,481231
1,2770,16.3,483335
1,2780,16.7,485925
1,2790,17.0,488063
1,2800,15.6,490452
1,2810,19.0,493426
1,2820,19.4,495952
1,2830,17.5,498600
