% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.3,325
98,20,0.2,553
98,30,0.1,825
97,40,0.1,1055
97,50,0.1,1329
96,60,0.1,1676
96,70,0.1,1973
95,80,0.2,2444
94,90,0.2,2800
93,100,0.2,3077
93,110,0.2,3395
92,120,0.2,3694
92,130,0.2,4011
91,140,0.2,4231
91,150,0.2,4501
90,160,0.2,4769
89,170,0.2,5200
89,180,0.2,5456
88,190,0.2,5907
87,200,0.2,6257
86,210,0.3,6695
86,220,0.3,6994
85,230,0.3,7295
85,240,0.3,7568
84,250,0.3,8048
83,260,0.3,8350
82,270,0.3,8622
81,280,0.4,9165
80,290,0.4,9645
80,300,0.4,10038
79,310,0.4,10266
79,320,0.3,10538
78,330,0.4,10946
77,340,0.4,11388
76,350,0.4,11738
75,360,0.4,12205
74,370,0.5,12838
73,380,0.5,13168
73,390,0.4,13550
72,400,0.4,14010
71,410,0.5,14391
70,420,0.6,15015
68,430,0.6,15726
67,440,0.6,16300
66,450,0.7,16722
65,460,0.8,17404
63,470,0.8,18203
62,480,1.0,18819
61,490,1.0,19395
60,500,1.1,19890
59,510,1.1,20420
58,520,1.2,21081
56,530,1.1,21728
55,540,1.2,22425
54,550,1.3,23110
52,560,1.3,23848
51,570,1.2,24449
50,580,1.2,25141
48,590,1.3,26033
46,600,1.4,26950
44,610,1.5,27815
42,620,1.7,28858
40,630,1.8,29885
39,640,1.9,30669
37,650,2.0,31505
35,660,2.1,32505
33,670,2.3,33803
31,680,2.5,34804
28,690,2.6,36014
25,700,2.8,37684
22,710,3.2,39275
19,720,3.4,40495
16,730,3.7,42062
13,740,4.0,43668
11,750,4.0,44711
8,760,4.3,46382
5,770,4.5,47971
1,780,4.9,49931
1,790,5.0,51386
1,800,5.4,53650
1,810,5.9,55719
1,820,6.0,56896
1,830,6.0,58706
1,840,6.1,60697
1,850,6.4,62373
1,860,6.6,64361
1,870,6.5,66004
1,880,6.4,67459
1,890,6.6,68867
1,900,6.3,70761
1,910,6.2,73078
1,920,6.5,75146
1,930,6.4,76552
1,940,6.5,78714
1,950,6.9,81006
1,960,7.0,83081
1,970,6.9,84383
1,980,6.9,85713
1,990,7.0,87452
1,1000,7.2,89675
1,1010,7.1,91505
1,1020,6.7,92877
1,1030,8.5,94342
1,1040,8.1,95636
1,1050,8.1,97951
1,1060,8.0,100087
1,1070,8.4,102004
1,1080,8.6,103704
1,1090,8.7,105731
1,1100,8.6,107810
1,1110,8.7,109832
1,1120,9.0,111999
1,1130,7.9,114363
1,1140,8.4,116747
1,1150,8.6,118840
1,1160,9.0,121069
1,1170,8.9,122933
1,1180,8.7,124812
1,1190,8.6,126428
1,1200,8.8,129138
1,1210,9.1,130991
1,1220,9.2,133024
1,1230,8.8,135422
1,1240,9.3,137811
1,1250,10.9,140558
1,1260,11.2,143108
1,1270,11.6,145362
1,1280,12.1,147644
1,1290,12.3,149667
1,1300,12.6,152273
1,1310,13.1,154885
1,1320,13.4,157056
1,1330,13.7,159079
1,1340,15.7,161336
1,1350,14.8,163687
1,1360,13.9,165569
1,1370,13.9,167835
1,1380,16.1,170085
1,1390,16.2,172174
1,1400,15.6,173462
1,1410,14.6,175337
1,1420,13.8,176213
1,1430,13.6,178234
1,1440,11.4,180492
1,1450,10.2,181746
1,1460,10.9,184459
1,1470,11.4,187037
1,1480,9.1,189054
1,1490,9.2,191355
1,1500,9.4,193764
1,1510,10.0,196224
1,1520,10.9,198562
1,1530,10.7,200283
1,1540,10.3,202446
1,1550,10.6,204290
1,1560,10.8,206704
1,1570,10.4,208916
1,1580,10.6,211190
1,1590,11.4,213935
1,1600,11.8,216046
1,1610,12.3,218234
1,1620,12.4,220356
1,1630,12.7,222842
1,1640,12.7,224632
1,1650,13.1,227166
1,1660,13.3,229688
1,1670,13.7,232361
1,1680,13.8,234954
1,1690,14.7,237424
1,1700,14.4,239663
1,1710,14.0,242225
1,1720,13.5,244163
1,1730,13.4,246728
1,1740,13.4,248298
1,1750,13.2,250402
1,1760,14.8,252919
1,1770,14.4,255237
1,1780,16.3,257615
1,1790,14.9,260181
1,1800,16.5,263034
1,1810,16.8,265472
1,1820,18.2,268205
1,1830,18.2,270758
1,1840,18.6,273266
1,1850,18.9,275530
1,1860,16.3,277265
1,1870,16.1,278615
1,1880,13.9,281101
1,1890,13.9,283446
1,1900,12.6,285694
1,1910,13.4,288249
1,1920,12.5,291146
1,1930,12.5,293286
1,1940,12.5,295597
1,1950,12.5,298130
1,1960,12.3,299877
1,1970,12.2,301821
1,1980,12.0,303578
1,1990,11.3,305493
1,2000,10.8,307437
1,2010,9.6,309825
1,2020,9.8,312380
1,2030,9.5,314166
1,2040,9.2,315571
1,2050,8.2,316605
1,2060,9.1,319784
1,2070,11.1,322310
1,2080,11.2,324161
1,2090,11.2,325907
1,2100,13.1,328393
1,2110,12.7,330307
1,2120,14.5,332879
1,2130,15.1,335287
1,2140,16.3,337197
1,2150,17.3,339798
1,2160,16.8,341861
1,2170,14.6,343355
1,2180,14.8,345820
1,2190,14.9,347949
1,2200,13.6,350668
1,2210,13.8,352491
1,2220,11.7,355263
1,2230,14.1,357333
1,2240,13.5,359994
1,2250,13.6,362706
1,2260,14.2,365340
1,2270,14.9,367630
1,2280,14.8,369561
1,2290,15.0,371889
1,2300,14.1,373400
1,2310,15.7,375329
1,2320,15.5,377242
1,2330,12.8,379108
1,2340,12.6,381637
1,2350,17.5,384845
1,2360,16.6,386645
1,2370,15.7,388092
1,2380,16.0,390395
1,2390,18.2,392562
1,2400,18.5,394753
1,2410,18.7,396641
1,2420,18.4,398493
1,2430,18.1,400213
1,2440,18.2,403299
1,2450,13.2,405224
1,2460,13.8,407394
1,2470,16.4,409665
1,2480,17.9,412122
1,2490,15.8,414044
1,2500,15.7,415588
1,2510,13.5,417364
1,2520,13.5,419385
1,2530,13.6,421382
1,2540,13.3,423545
1,2550,13.3,426214
1,2560,13.0,427801
1,2570,11.1,430005
1,2580,9.4,432173
1,2590,9.1,434215
1,2600,9.2,435929
1,2610,11.6,438608
1,2620,16.2,441131
1,2630,16.5,442807
1,2640,17.7,444553
1,2650,17.9,446851
1,2660,17.6,448647
1,2670,17.4,450711
1,2680,17.1,452203
1,2690,17.3,454553
1,2700,17.8,456764
1,2710,16.1,459553
1,2720,12.3,461926
1,2730,12.5,464863
1,2740,12.2,468164
1,2750,11.6,470159
1,2760,12.1,472245
1,2770,13.8,473918
1,2780,17.0,476428
1,2790,17.0,478304
1,2800,16.8,480326
1,2810,16.1,482063
1,2820,16.5,484439
1,2830,16.6,486682
1,2840,16.0,488823
1,2850,15.6,490203
1,2860,15.2,491756
1,2870,13.9,494424
1,2880,11.4,496409
1,2890,11.0,497625
1,2900,13.0,499690
