% time spent exploring,episodes,mean 100 episode reward,steps
97,10,0.2,274
95,20,0.1,502
91,30,0.2,872
88,40,0.2,1200
84,50,0.2,1531
82,60,0.2,1787
79,70,0.2,2094
76,80,0.2,2350
73,90,0.2,2670
70,100,0.2,2971
68,110,0.2,3197
65,120,0.2,3499
62,130,0.2,3771
59,140,0.2,4102
55,150,0.2,4465
51,160,0.3,4860
48,170,0.3,5241
42,180,0.4,5773
40,190,0.3,6034
38,200,0.3,6262
35,210,0.3,6492
32,220,0.4,6841
29,230,0.4,7156
26,240,0.4,7386
22,250,0.4,7779
20,260,0.3,8007
18,270,0.2,8237
14,280,0.2,8639
11,290,0.3,8927
9,300,0.3,9157
7,310,0.3,9387
4,320,0.2,9617
2,330,0.2,9847
1,340,0.2,10071
1,350,0.1,10376
1,360,0.2,10694
1,370,0.2,11066
1,380,0.2,11413
1,390,0.1,11666
1,400,0.1,11967
1,410,0.1,12191
1,420,0.2,12464
1,430,0.2,12692
1,440,0.2,13125
1,450,0.2,13523
1,460,0.2,13747
1,470,0.2,14076
1,480,0.2,14395
1,490,0.2,14738
1,500,0.2,15055
1,510,0.2,15378
1,520,0.3,15827
1,530,0.3,16051
1,540,0.2,16397
1,550,0.2,16677
1,560,0.3,17026
1,570,0.2,17279
1,580,0.2,17643
1,590,0.3,18086
1,600,0.3,18410
1,610,0.3,18800
1,620,0.3,19127
1,630,0.4,19525
1,640,0.4,19852
1,650,0.4,20177
1,660,0.4,20449
1,670,0.4,20732
1,680,0.4,21277
1,690,0.4,21578
1,700,0.4,21901
1,710,0.4,22252
1,720,0.4,22527
1,730,0.2,22811
1,740,0.2,23035
1,750,0.2,23332
1,760,0.2,23560
1,770,0.2,23925
1,780,0.2,24155
1,790,0.2,24577
1,800,0.2,24856
1,810,0.2,25328
1,820,0.2,25550
1,830,0.2,25850
1,840,0.2,26127
1,850,0.2,26445
1,860,0.2,26715
1,870,0.2,27135
1,880,0.2,27410
1,890,0.2,27680
1,900,0.3,28165
1,910,0.3,28412
1,920,0.3,28726
1,930,0.3,28954
1,940,0.3,29415
1,950,0.3,29795
1,960,0.4,30200
1,970,0.4,30706
1,980,0.4,30928
1,990,0.4,31246
1,1000,0.3,31599
1,1010,0.3,31874
1,1020,0.3,32132
1,1030,0.4,32588
1,1040,0.4,33032
1,1050,0.4,33500
1,1060,0.4,33888
1,1070,0.3,34170
1,1080,0.4,34635
1,1090,0.4,34993
1,1100,0.4,35304
1,1110,0.4,35586
1,1120,0.5,36012
1,1130,0.4,36294
1,1140,0.4,36639
1,1150,0.3,36895
1,1160,0.3,37165
1,1170,0.3,37467
1,1180,0.3,37811
1,1190,0.2,38079
1,1200,0.2,38378
1,1210,0.2,38604
1,1220,0.2,38906
1,1230,0.2,39190
1,1240,0.2,39795
1,1250,0.2,40138
1,1260,0.3,40489
1,1270,0.3,40972
1,1280,0.4,41536
1,1290,0.4,41859
1,1300,0.4,42083
1,1310,0.5,42546
1,1320,0.6,43227
1,1330,0.7,43619
1,1340,0.7,44133
1,1350,0.7,44444
1,1360,0.7,44907
1,1370,0.8,45443
1,1380,0.8,46133
1,1390,0.9,46582
1,1400,0.9,46989
1,1410,0.9,47498
1,1420,0.8,47980
1,1430,0.8,48297
1,1440,0.8,48672
1,1450,0.9,49144
1,1460,0.9,49749
1,1470,1.0,50379
1,1480,1.0,51179
1,1490,1.0,51635
1,1500,1.0,52039
1,1510,1.0,52582
1,1520,1.1,53052
1,1530,1.3,53829
1,1540,1.3,54358
1,1550,1.3,54985
1,1560,1.4,55598
1,1570,1.3,56006
1,1580,1.2,56390
1,1590,1.2,56907
1,1600,1.2,57438
1,1610,1.2,57947
1,1620,1.1,58665
1,1630,1.0,59158
1,1640,0.9,59586
1,1650,0.8,60017
1,1660,0.8,60427
1,1670,0.9,60966
1,1680,0.9,61385
1,1690,0.9,61888
1,1700,0.9,62663
1,1710,1.0,63323
1,1720,1.0,63941
1,1730,1.1,64663
1,1740,1.2,65216
1,1750,1.2,65900
1,1760,1.4,66741
1,1770,1.3,67336
1,1780,1.4,67995
1,1790,1.6,68774
1,1800,1.6,69600
1,1810,1.8,70491
1,1820,1.9,71172
1,1830,1.9,71984
1,1840,1.8,72476
1,1850,2.0,73432
1,1860,2.0,74201
1,1870,2.0,74738
1,1880,1.9,75328
1,1890,1.8,76169
1,1900,1.8,76927
1,1910,1.6,77583
1,1920,1.7,78386
1,1930,1.7,79114
1,1940,1.9,80106
1,1950,1.8,80999
1,1960,1.9,81990
1,1970,2.1,82826
1,1980,2.3,83842
1,1990,2.4,84510
1,2000,2.3,85133
1,2010,2.2,85663
1,2020,2.2,86237
1,2030,2.2,86998
1,2040,2.0,87530
1,2050,1.8,88080
1,2060,1.6,88614
1,2070,1.5,89253
1,2080,1.4,89935
1,2090,1.4,90578
1,2100,1.5,91316
1,2110,1.6,92178
1,2120,1.6,92990
1,2130,1.6,93708
1,2140,1.7,94396
1,2150,1.8,95244
1,2160,1.8,95991
1,2170,2.0,96899
1,2180,1.9,97655
1,2190,2.0,98685
1,2200,2.2,99650
