game,score
1,46.0
2,37.0
3,23.0
4,24.0
5,10.0
6,73.0
7,71.0
8,25.0
9,14.0
10,72.0
11,33.0
12,50.0
13,45.0
14,65.0
15,33.0
16,53.0
17,31.0
18,34.0
19,49.0
20,21.0
21,37.0
22,42.0
23,21.0
24,23.0
25,33.0
26,32.0
27,19.0
28,21.0
29,34.0
30,30.0
31,32.0
32,39.0
33,27.0
34,21.0
35,45.0
36,84.0
37,21.0
38,37.0
39,35.0
40,21.0
41,55.0
42,37.0
43,46.0
44,34.0
45,9.0
46,43.0
47,27.0
48,17.0
49,16.0
50,10.0
51,51.0
52,45.0
53,71.0
54,10.0
55,14.0
56,21.0
57,52.0
58,42.0
59,29.0
60,31.0
61,37.0
62,52.0
63,25.0
64,38.0
65,43.0
66,70.0
67,21.0
68,10.0
69,10.0
70,51.0
71,71.0
72,10.0
73,71.0
74,63.0
75,14.0
76,87.0
77,45.0
78,68.0
79,10.0
80,13.0
81,33.0
82,26.0
83,45.0
84,45.0
85,26.0
86,42.0
87,45.0
88,43.0
89,53.0
90,46.0
91,47.0
92,10.0
93,31.0
94,34.0
95,39.0
96,10.0
97,51.0
98,71.0
99,44.0
100,85.0
101,56.0
102,53.0
103,33.0
104,71.0
105,35.0
106,32.0
107,42.0
108,63.0
109,33.0
110,42.0
111,63.0
112,104.0
113,71.0
114,43.0
115,10.0
116,21.0
117,31.0
118,44.0
119,33.0
120,71.0
121,271.0
122,53.0
123,48.0
124,62.0
125,39.0
126,21.0
127,66.0
128,52.0
129,28.0
130,28.0
131,33.0
132,54.0
133,286.0
134,13.0
135,11.0
136,13.0
137,10.0
138,28.0
139,52.0
140,67.0
141,49.0
142,41.0
143,10.0
144,10.0
145,31.0
146,10.0
147,58.0
148,66.0
149,10.0
150,10.0
151,37.0
152,38.0
153,33.0
154,30.0
155,14.0
156,33.0
157,21.0
158,30.0
159,40.0
160,46.0
161,10.0
162,10.0
163,9.0
164,37.0
165,52.0
166,66.0
167,30.0
168,28.0
169,11.0
170,51.0
171,35.0
172,20.0
173,33.0
174,21.0
175,19.0
176,31.0
177,33.0
178,30.0
179,39.0
180,42.0
181,30.0
182,84.0
183,71.0
184,65.0
185,30.0
186,37.0
187,51.0
188,14.0
189,43.0
190,29.0
191,30.0
192,50.0
193,16.0
194,62.0
195,58.0
196,25.0
197,21.0
198,36.0
199,52.0
200,70.0
201,26.0
202,53.0
203,49.0
204,220.0
205,35.0
206,14.0
207,34.0
208,56.0
209,35.0
210,22.0
211,57.0
212,10.0
213,20.0
214,45.0
215,19.0
216,35.0
217,55.0
218,32.0
219,52.0
220,51.0
221,48.0
222,48.0
223,28.0
224,37.0
225,49.0
226,39.0
227,10.0
228,14.0
229,10.0
230,23.0
231,33.0
232,55.0
233,34.0
234,49.0
235,44.0
236,13.0
237,45.0
238,50.0
239,55.0
240,13.0
241,49.0
242,49.0
243,19.0
244,21.0
245,14.0
246,44.0
247,61.0
248,48.0
249,10.0
250,35.0
251,21.0
252,53.0
253,71.0
254,39.0
255,10.0
256,48.0
257,10.0
258,52.0
259,10.0
260,26.0
261,55.0
262,30.0
263,19.0
264,10.0
265,54.0
266,79.0
267,45.0
268,47.0
269,50.0
270,43.0
271,32.0
272,10.0
273,34.0
274,21.0
275,76.0
276,39.0
277,23.0
278,26.0
279,28.0
280,21.0
281,30.0
282,59.0
283,71.0
284,37.0
285,14.0
286,43.0
287,33.0
288,30.0
289,24.0
290,10.0
291,49.0
292,40.0
293,26.0
294,46.0
295,20.0
296,41.0
297,78.0
298,10.0
299,45.0
300,56.0
301,54.0
302,58.0
303,53.0
304,40.0
305,10.0
306,23.0
307,39.0
308,41.0
309,21.0
310,43.0
311,71.0
312,37.0
313,26.0
314,29.0
315,45.0
316,10.0
317,25.0
318,110.0
319,32.0
320,42.0
321,55.0
322,45.0
323,62.0
324,29.0
325,62.0
326,42.0
327,21.0
328,15.0
329,23.0
330,26.0
331,51.0
332,31.0
333,34.0
334,51.0
335,60.0
336,81.0
337,89.0
338,74.0
339,53.0
340,49.0
341,19.0
342,45.0
343,40.0
344,47.0
345,51.0
346,56.0
347,10.0
348,29.0
349,44.0
350,23.0
351,75.0
352,57.0
353,29.0
354,56.0
355,10.0
356,36.0
357,53.0
358,79.0
359,60.0
360,61.0
361,10.0
362,55.0
363,56.0
364,35.0
365,52.0
366,40.0
367,43.0
368,28.0
369,46.0
370,69.0
371,41.0
372,42.0
373,25.0
374,68.0
375,10.0
376,10.0
377,97.0
378,44.0
379,21.0
380,10.0
381,55.0
382,35.0
383,28.0
384,33.0
385,10.0
386,25.0
387,49.0
388,40.0
389,21.0
390,10.0
391,10.0
392,10.0
393,21.0
394,19.0
395,9.0
396,42.0
397,23.0
398,27.0
399,48.0
400,30.0
401,17.0
402,56.0
403,53.0
404,57.0
405,28.0
406,80.0
407,27.0
408,23.0
409,30.0
410,44.0
411,38.0
412,38.0
413,10.0
414,30.0
415,10.0
416,23.0
417,44.0
418,46.0
419,32.0
420,29.0
421,45.0
422,14.0
423,30.0
424,56.0
425,37.0
426,53.0
427,23.0
428,56.0
429,20.0
430,17.0
431,57.0
432,87.0
433,21.0
434,45.0
435,61.0
436,41.0
437,53.0
438,33.0
439,50.0
440,14.0
441,26.0
442,21.0
443,17.0
444,49.0
445,16.0
446,32.0
447,33.0
448,72.0
449,67.0
450,30.0
451,41.0
452,40.0
453,21.0
454,41.0
455,10.0
456,18.0
457,28.0
458,38.0
459,10.0
460,22.0
461,50.0
462,46.0
463,66.0
464,32.0
465,49.0
466,21.0
467,35.0
468,59.0
469,53.0
470,36.0
471,34.0
472,25.0
473,25.0
474,45.0
475,43.0
476,45.0
477,35.0
478,9.0
479,64.0
480,55.0
481,12.0
482,26.0
483,10.0
484,10.0
485,50.0
486,30.0
487,71.0
488,10.0
489,45.0
490,40.0
491,38.0
492,21.0
493,27.0
494,45.0
495,21.0
496,35.0
497,30.0
498,309.0
499,10.0
500,36.0
501,10.0
502,40.0
503,53.0
504,46.0
505,32.0
506,19.0
507,51.0
508,327.0
509,13.0
510,19.0
511,43.0
512,23.0
513,67.0
514,61.0
515,37.0
516,19.0
517,37.0
518,23.0
519,10.0
520,32.0
521,43.0
522,42.0
523,58.0
524,59.0
525,23.0
526,51.0
527,51.0
528,77.0
529,15.0
530,21.0
531,26.0
532,36.0
533,72.0
534,13.0
535,71.0
536,14.0
537,50.0
538,44.0
539,10.0
540,20.0
541,52.0
542,52.0
543,38.0
544,14.0
545,33.0
546,56.0
547,10.0
548,34.0
549,10.0
550,25.0
551,32.0
552,41.0
553,50.0
554,35.0
555,13.0
556,14.0
557,11.0
558,58.0
559,25.0
560,10.0
561,28.0
562,60.0
563,46.0
564,28.0
565,68.0
566,28.0
567,53.0
568,80.0
569,33.0
570,58.0
571,20.0
572,47.0
573,75.0
574,50.0
575,53.0
576,45.0
577,64.0
578,60.0
579,10.0
580,19.0
581,51.0
582,57.0
583,17.0
584,62.0
585,12.0
586,52.0
587,38.0
588,45.0
589,28.0
590,10.0
591,34.0
592,18.0
593,30.0
594,51.0
595,17.0
596,51.0
597,54.0
598,10.0
599,44.0
600,42.0
601,67.0
602,51.0
603,63.0
604,88.0
605,32.0
606,50.0
607,47.0
608,46.0
609,57.0
610,21.0
611,10.0
612,40.0
613,20.0
614,53.0
615,35.0
616,55.0
617,43.0
618,34.0
619,30.0
620,10.0
621,40.0
622,51.0
623,11.0
624,58.0
625,54.0
626,45.0
627,21.0
628,71.0
629,97.0
630,71.0
631,299.0
632,74.0
633,65.0
634,37.0
635,62.0
636,38.0
637,79.0
638,49.0
639,50.0
640,21.0
641,10.0
642,57.0
643,10.0
644,80.0
645,144.0
646,71.0
647,10.0
648,62.0
649,10.0
650,45.0
651,18.0
652,64.0
653,23.0
654,95.0
655,53.0
656,19.0
657,32.0
658,55.0
659,62.0
660,96.0
661,21.0
662,31.0
663,10.0
664,10.0
665,31.0
666,27.0
667,40.0
668,32.0
669,44.0
670,55.0
671,10.0
672,18.0
673,25.0
674,42.0
675,46.0
676,57.0
677,27.0
678,25.0
679,10.0
680,56.0
681,10.0
682,29.0
683,56.0
684,23.0
685,51.0
686,41.0
687,71.0
688,10.0
689,21.0
690,19.0
691,43.0
692,34.0
693,44.0
694,41.0
695,38.0
696,29.0
697,57.0
698,24.0
699,67.0
700,85.0
701,22.0
702,52.0
703,49.0
704,36.0
705,10.0
706,26.0
707,9.0
708,42.0
709,45.0
710,28.0
711,31.0
712,10.0
713,69.0
714,55.0
715,44.0
716,47.0
717,9.0
718,46.0
719,28.0
720,23.0
721,10.0
722,59.0
723,38.0
724,71.0
725,62.0
726,10.0
727,28.0
728,25.0
729,49.0
730,38.0
731,35.0
732,71.0
733,55.0
734,10.0
735,25.0
736,25.0
737,10.0
738,46.0
739,77.0
740,24.0
741,28.0
742,25.0
743,62.0
744,60.0
745,79.0
746,30.0
747,64.0
748,10.0
749,79.0
750,42.0
751,63.0
752,38.0
753,69.0
754,45.0
