% time spent exploring,episodes,mean 100 episode reward,steps
99,10,0.3,328
98,20,0.3,608
98,30,0.3,921
97,40,0.3,1271
96,50,0.3,1622
96,60,0.3,1921
95,70,0.3,2253
95,80,0.3,2507
94,90,0.3,2941
93,100,0.3,3243
92,110,0.3,3612
92,120,0.3,4013
91,130,0.3,4336
90,140,0.3,4790
89,150,0.3,5131
88,160,0.4,5606
88,170,0.3,5924
87,180,0.4,6350
86,190,0.4,6783
85,200,0.4,7168
85,210,0.4,7500
84,220,0.4,7728
84,230,0.4,8030
83,240,0.3,8288
82,250,0.3,8745
81,260,0.3,9199
81,270,0.3,9501
80,280,0.4,9949
79,290,0.4,10443
78,300,0.4,10848
77,310,0.4,11230
76,320,0.4,11637
75,330,0.5,12193
74,340,0.6,12718
73,350,0.6,13197
72,360,0.6,13645
72,370,0.6,14034
71,380,0.6,14466
70,390,0.6,14871
69,400,0.6,15442
68,410,0.6,15892
67,420,0.6,16348
66,430,0.7,16921
65,440,0.7,17659
63,450,0.8,18408
62,460,0.8,19009
60,470,0.9,19703
58,480,1.0,20722
57,490,1.1,21257
56,500,1.1,21911
55,510,1.2,22661
53,520,1.3,23488
51,530,1.4,24467
49,540,1.5,25361
47,550,1.5,26346
46,560,1.6,27203
43,570,1.8,28560
41,580,1.8,29743
39,590,2.0,30715
37,600,2.1,31575
34,610,2.3,32924
32,620,2.5,34251
29,630,2.5,35426
27,640,2.6,36581
24,650,2.8,38196
21,660,2.9,39408
19,670,2.9,40621
17,680,2.9,41598
14,690,3.0,43100
12,700,3.0,44121
9,710,3.2,45707
5,720,3.3,47497
2,730,3.4,49117
1,740,3.7,51092
1,750,3.7,52931
1,760,3.9,54598
1,770,4.1,56404
1,780,4.6,59103
1,790,4.8,61315
1,800,5.2,63539
1,810,5.5,65604
1,820,5.5,67279
1,830,5.7,69521
1,840,5.7,71731
1,850,5.7,73514
1,860,5.9,76043
1,870,6.1,78440
1,880,6.0,80612
1,890,6.0,82926
1,900,6.2,85504
1,910,6.2,87532
1,920,6.2,89200
1,930,6.0,90342
1,940,6.2,92680
1,950,6.3,94247
1,960,6.2,96308
1,970,6.2,98750
1,980,6.2,101231
1,990,6.0,102819
1,1000,6.0,105018
1,1010,5.6,106853
1,1020,5.8,108980
1,1030,6.1,111261
1,1040,5.8,113135
1,1050,5.7,114679
1,1060,6.0,117325
1,1070,5.7,119103
1,1080,5.6,121184
1,1090,6.0,123347
1,1100,6.1,125350
1,1110,6.3,127746
1,1120,6.0,129100
1,1130,6.0,131058
1,1140,6.0,133259
1,1150,6.0,135011
1,1160,5.9,137340
1,1170,6.0,139065
1,1180,5.9,140825
1,1190,5.7,143015
1,1200,5.7,145440
1,1210,5.8,147864
1,1220,5.9,149794
1,1230,6.1,152504
1,1240,6.3,154459
1,1250,6.5,156767
1,1260,6.5,159416
1,1270,6.8,162296
1,1280,6.9,164356
1,1290,6.9,166712
1,1300,6.5,168239
1,1310,6.5,170738
1,1320,6.8,173221
1,1330,6.5,175106
1,1340,6.3,177267
1,1350,6.7,180009
1,1360,6.6,182037
1,1370,6.5,184188
1,1380,6.4,185854
1,1390,6.5,188270
1,1400,6.8,190385
1,1410,6.7,192957
1,1420,6.4,194934
1,1430,6.6,197349
1,1440,6.8,199669
1,1450,6.6,202323
1,1460,6.4,204323
1,1470,6.2,206076
1,1480,6.8,209175
1,1490,7.1,211217
1,1500,7.3,214227
1,1510,7.3,216793
1,1520,7.8,219728
1,1530,7.4,221254
1,1540,7.4,223625
1,1550,7.7,226357
1,1560,7.7,228128
1,1570,8.0,230760
1,1580,7.9,233186
1,1590,8.1,235635
1,1600,7.7,237577
1,1610,7.6,239774
1,1620,7.3,242129
1,1630,7.8,245062
1,1640,7.9,246888
1,1650,7.4,249422
1,1660,7.5,251684
1,1670,7.6,254229
1,1680,7.3,256685
1,1690,6.7,258682
1,1700,6.7,260499
1,1710,6.8,262902
1,1720,6.9,265610
1,1730,6.7,267856
1,1740,6.6,270073
1,1750,7.0,272913
1,1760,7.1,275380
1,1770,7.2,278247
1,1780,6.8,279614
1,1790,7.0,281929
1,1800,7.1,284171
1,1810,7.1,286039
1,1820,7.1,288695
1,1830,7.1,291222
1,1840,7.0,293332
1,1850,6.5,295488
1,1860,6.5,297418
1,1870,6.5,299937
1,1880,6.8,302163
1,1890,6.7,304426
1,1900,6.7,306540
1,1910,6.7,308741
1,1920,6.5,310621
1,1930,6.6,313108
1,1940,6.7,315511
1,1950,7.0,318415
1,1960,7.1,321104
1,1970,6.9,323488
1,1980,7.2,326414
1,1990,7.3,329227
1,2000,7.6,331871
1,2010,7.5,333886
1,2020,7.5,336072
1,2030,7.6,338574
1,2040,7.4,340670
1,2050,7.2,342857
1,2060,7.2,345552
1,2070,7.3,347714
1,2080,7.1,349780
1,2090,6.8,351670
1,2100,6.5,353425
1,2110,6.6,355911
1,2120,7.0,358080
1,2130,7.0,360686
1,2140,7.0,362853
1,2150,7.2,365762
1,2160,7.0,367618
1,2170,7.0,369980
1,2180,7.1,372504
1,2190,7.1,374444
1,2200,7.5,376911
1,2210,7.6,379941
1,2220,7.2,381690
1,2230,7.0,383514
1,2240,7.1,385969
1,2250,6.9,388327
1,2260,6.9,390291
1,2270,7.0,392506
1,2280,6.9,394680
1,2290,6.9,396602
1,2300,6.7,398273
1,2310,6.6,400677
1,2320,6.8,403252
1,2330,7.3,405751
1,2340,7.2,407767
1,2350,7.1,410164
1,2360,7.4,412265
1,2370,7.2,414093
1,2380,6.8,415590
1,2390,6.9,417753
1,2400,6.9,420228
1,2410,7.0,422800
1,2420,7.0,425181
1,2430,6.9,427616
1,2440,7.4,430970
1,2450,7.6,433527
1,2460,7.3,435775
1,2470,7.6,438749
1,2480,8.0,441608
1,2490,8.3,444411
1,2500,8.3,446953
1,2510,8.2,449134
1,2520,7.9,450954
1,2530,7.7,453169
1,2540,7.0,454699
1,2550,7.2,457714
1,2560,7.7,460323
1,2570,7.7,463099
1,2580,7.5,465653
1,2590,7.8,468637
1,2600,7.8,470689
1,2610,8.0,473211
1,2620,8.4,476390
1,2630,8.5,478991
