game,score
1,-13.0
2,-9.0
3,-15.0
4,-11.0
5,-10.0
6,-8.0
7,-10.0
8,-10.0
9,-16.0
10,-12.0
11,-11.0
12,-10.0
13,-14.0
14,-15.0
15,-14.0
16,-13.0
17,-15.0
18,-10.0
19,-9.0
20,-11.0
21,-12.0
22,-11.0
23,-9.0
24,-11.0
25,-11.0
26,-10.0
27,-8.0
28,-7.0
29,-10.0
30,-11.0
31,-12.0
32,-6.0
33,-8.0
34,-9.0
35,-7.0
36,-13.0
37,-11.0
38,-12.0
39,-9.0
40,-9.0
41,-13.0
42,-7.0
43,-10.0
44,-11.0
45,-16.0
46,-9.0
47,-10.0
48,-6.0
49,-10.0
50,-12.0
51,-12.0
52,-13.0
53,-12.0
54,-12.0
55,-12.0
56,-9.0
57,-15.0
58,-13.0
59,-14.0
60,-14.0
61,-6.0
62,-10.0
63,-13.0
64,-14.0
65,-9.0
66,-10.0
67,-14.0
68,-10.0
69,-12.0
70,-14.0
71,-11.0
72,-11.0
73,-10.0
74,-8.0
75,-11.0
76,-11.0
77,-9.0
78,-10.0
79,-10.0
80,-9.0
81,-8.0
82,-13.0
83,-10.0
84,-13.0
85,-17.0
86,-17.0
87,-10.0
88,-14.0
89,-11.0
90,-13.0
91,-11.0
92,-8.0
93,-12.0
94,-7.0
95,-14.0
96,-14.0
97,-4.0
98,-15.0
99,-8.0
100,-12.0
101,-11.0
102,-6.0
103,4.0
104,-8.0
105,-12.0
106,-11.0
107,-10.0
108,-13.0
109,-12.0
110,-9.0
111,-11.0
112,-12.0
113,-7.0
114,-13.0
115,-14.0
116,-12.0
117,-10.0
118,-12.0
119,-9.0
120,-7.0
121,-9.0
122,-12.0
123,-14.0
124,-11.0
125,-11.0
126,-11.0
127,-10.0
128,-11.0
129,-14.0
130,-15.0
131,-10.0
132,-10.0
133,-11.0
134,-6.0
135,-7.0
136,-15.0
137,-10.0
138,-9.0
139,-15.0
140,-7.0
141,-10.0
142,-15.0
143,-15.0
144,-7.0
145,-12.0
146,-14.0
147,-11.0
148,-12.0
149,-14.0
150,-15.0
151,-13.0
152,-11.0
153,-12.0
154,-16.0
155,-10.0
156,-12.0
157,-11.0
158,-15.0
159,-13.0
160,-12.0
161,-14.0
162,-13.0
163,-16.0
164,-8.0
165,-5.0
166,-11.0
167,-10.0
168,-11.0
169,-7.0
170,-14.0
171,-11.0
172,-15.0
173,-12.0
174,-10.0
175,-10.0
176,-12.0
177,-11.0
178,2.0
179,-11.0
180,-13.0
181,-14.0
182,-12.0
183,-10.0
184,-10.0
185,-13.0
186,-8.0
187,-13.0
188,-15.0
189,-10.0
190,-14.0
191,-10.0
